city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Balbalan,Mayor,"Mangaoang, Kenneth Dale Capuyan",Kenneth,Nacionalista Party,4154
Balbalan,Vice-Mayor,"Gonayon, Eric Labbutan",Eric,Independent,4023
Balbalan,Councilor,"Dulansi, Rex Layugan",Illek,Independent,1848
Balbalan,Councilor,"Yacapin, Jeanette Saboy",Jenet,Independent,1858
Balbalan,Councilor,"Paganao, Edwin Billo",Edwin,Independent,1870
Balbalan,Councilor,"Damian, Mario Joseph Dacayan",Mar,Independent,1873
Balbalan,Councilor,"Esteban, Pacio Abuac",Iso,Independent,2106
Balbalan,Councilor,"Ande, Denis Balicao",Denis,Independent,2173
Balbalan,Councilor,"Dagwat, Jefferson Balitnang",Jefferson,Independent,2227
Balbalan,Councilor,"Tangkib, Miguel Tawagon",Mike,Independent,2310
Lubuagan,Mayor,"Dickpus, Johnny Agyao",Abi,Lakas-Kampi,3381
Lubuagan,Vice-Mayor,"Pallogan, Elizabeth Camacam",Ambit,Lakas-Kampi,3180
Lubuagan,Councilor,"Ayangdo, Peter Manadao",Cosisi,Lakas-Kampi,3592
Lubuagan,Councilor,"Lang-Ay, Alfonso Patongao",Ponso,Independent,3922
Lubuagan,Councilor,"Maestre, Florence Palicpic",Polen,Independent,4032
Lubuagan,Councilor,"Alicog, Emy Aggal",Poking,Independent,4063
Lubuagan,Councilor,"Maloc, Cuesta Sugao",Cowista,Independent,4077
Lubuagan,Councilor,"Cadater, Harren Oddoc",Kusidon,Independent,4101
Lubuagan,Councilor,"Batalao, Wagason Abangan",Ama-Wagason,Independent,4319
Lubuagan,Councilor,"Dickly, Victor Dickpus",Adjong,Independent,5382
Pasil,Mayor,"Edduba, James Sagmayao",James,Lakas-Kampi,4401
Pasil,Vice-Mayor,"Mosing, Charlemagne Ao-as",Chally,Lakas-Kampi,3181
Pasil,Councilor,"Bommogas, Nick Cayag",Ambol,Independent,2542
Pasil,Councilor,"Sawil, Eddie Leon Mosing",Eddie,Independent,2578
Pasil,Councilor,"Saga-Oc, Leonora Puttiyao",Solid,Liberal Party,2598
Pasil,Councilor,"Maiyao, Albert Balangui",Malannag,Independent,2607
Pasil,Councilor,"Kitongan, Emilio Taya-an",Lunes,Nacionalista Party,2646
Pasil,Councilor,"Taya-An, Samuel Waggawag",Chollot,Nacionalista Party,3014
Pasil,Councilor,"Malannag, Ellen Batalao",Elin,Independent,3249
Pasil,Councilor,"Andomang, Rosemarie Lingayo",Ennet,Independent,3332
Pinukuk,Mayor,"Dasayon, Irving Balicao",Bing,Lakas-Kampi,8176
Pinukuk,Vice-Mayor,"Cabannag, Salvador Duga",Badol,Lakas-Kampi,7439
Pinukuk,Councilor,"Baluyan, Jeremias, Sr. Cabannag",Jerry,Liberal Party,4755
Pinukuk,Councilor,"Lumawig, Roy Angalao",Gappak,Lakas-Kampi,5105
Pinukuk,Councilor,"Iddoba, Lolito Aromin",Itong,Lakas-Kampi,5301
Pinukuk,Councilor,"Balagso, Teodoro Gaano",Doro,Lakas-Kampi,5485
Pinukuk,Councilor,"Hortelano, Salvador Ligsay",Badol,Lakas-Kampi,5545
Pinukuk,Councilor,"Mabanag, Pedro Faire",Peter,Liberal Party,5850
Pinukuk,Councilor,"Tongdo, George Lawagan",Ogie,Lakas-Kampi,5890
