city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Agoo,Mayor,"Eriguel, Sandra Young",Sandra,Independent,19351
Agoo,Vice-Mayor,"Boado, Jaime Jr. Aldaba",Boyet,Nacionalista Party,13641
Agoo,Councilor,"Balderas, Renato Dulce",Atong,Nacionalista Party,10229
Agoo,Councilor,"Bulatao, Leonard Florent Ocasion",Florent,Nacionalista Party,12185
Agoo,Councilor,"Colobong, Crisogono, Jr. Llavore",Cris,Independent,14080
Agoo,Councilor,"Ninalga, Romano Fontanilla",Roni,Nacionalista Party,14109
Agoo,Councilor,"Komiya, Josephus Dela Rosa",Pot-Pot,Independent,14243
Agoo,Councilor,"Eriguel, Erwina Chan",Wina,Nacionalista Party,14423
Agoo,Councilor,"Rivera, Dominador Pagar",Doming,Nacionalista Party,15416
Agoo,Councilor,"De Vera, Rogelio Rivera",Doc,Nacionalista Party,16479
Aringay,Mayor,"Ong, Teresita Abad",Tessie,Nacionalista Party,10880
Aringay,Vice-Mayor,"Sibuma, Eric Ong",Superman,Nacionalista Party,7774
Aringay,Councilor,"Batario, Victoriano Castro",Vic,Lakas-Kampi,6591
Aringay,Councilor,"Obra, Genoveva Lopez",Bebang,Nacionalista Party,6673
Aringay,Councilor,"Carino, Romeo Bernal",Omy,Nacionalista Party,7118
Aringay,Councilor,"Balangue, Vito Dacanay",V2,Lakas-Kampi,7203
Aringay,Councilor,"Garcia, Teresita Oculto",Tess,Nacionalista Party,8110
Aringay,Councilor,"Yaranon, Emelio Roland Salting",Melio,Nacionalista Party,8199
Aringay,Councilor,"Sibuma, Benjamin Ong",Ben,Nacionalista Party,9433
Aringay,Councilor,"Juloya, Charlie C Chan",Charlie,Lakas-Kampi,11271
Bacnotan,Mayor,"Fontanilla, Rufino Hernandez",Pinong,Nacionalista Party,17319
Bacnotan,Vice-Mayor,"Fontanilla, Ma Minda Liban",Minda,Lakas-Kampi,17406
Bacnotan,Councilor,"Almojuela, Onofre, Sr. Ganalon",Opring,Nacionalista Party,8637
Bacnotan,Councilor,"Corpuz, Federico Rellera",Rico,Lakas-Kampi,9687
Bacnotan,Councilor,"Cabuco, Marivic Rodriguez",Abet,Nacionalista Party,10045
Bacnotan,Councilor,"Abad, Florante Cariaso",Boy,Lakas-Kampi,10842
Bacnotan,Councilor,"Alminiana, Angeles Vengazo",Ayong,Independent,11141
Bacnotan,Councilor,"Almodovar, Franklin Nebres",Frank,Independent,11987
Bacnotan,Councilor,"Rodriguez, Mario Gonzales",Mario,Nacionalista Party,13125
Bacnotan,Councilor,"Fontanilla, Francisco Jr. Hernandez",Padi,Nacionalista Party,15538
Bagulin,Mayor,"Tumbaga, Ferdinand Dumaguing",Pal-Og,Nacionalista Party,3275
Bagulin,Vice-Mayor,"Bestre, Carlito Bauyan",Lito,Nacionalista Party,2577
Bagulin,Councilor,"Camarao, Ruben Lictao",Bentot,Independent,1929
Bagulin,Councilor,"Buyacao, William Badian",William,Independent,1992
Bagulin,Councilor,"De Leon, Sotera Paredes",Felisa,Nacionalista Party,2033
Bagulin,Councilor,"Lictao, Jaime Apiit",Kalo,Independent,2117
Bagulin,Councilor,"Jucutan, Ernesto Gomez",Boy,Nacionalista Party,2239
Bagulin,Councilor,"Nang-Is, Joel Esnada",Joel,Independent,2245
Bagulin,Councilor,"Soriano, Corazon Caluza",Y-We,Nacionalista Party,2294
Bagulin,Councilor,"Lictao, George Jucutan",Tomas,Nacionalista Party,2544
Balaoan,Mayor,"Concepcion, Al-Fred Ordinario",Fred,Lakas-Kampi,16724
Balaoan,Vice-Mayor,"Ostrea, Gerard Jose Galliguez",Boy,Nacionalista Party,16684
