city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Basco,Mayor,"Narag, Demetrius Paul Caballero",Demy,Lakas-Kampi,1383
Basco,Vice-Mayor,"Viola, Anastacia Balles",Ann,Liberal Party,1882
Basco,Councilor,"Gabas, Domingo Cantero",Jigs,Liberal Party,1037
Basco,Councilor,"Caccam, Romarico Amboy",Jun,Liberal Party,1051
Basco,Councilor,"Fabi, Amada Estamo",Mading,Liberal Party,1071
Basco,Councilor,"Puriran, Romeo Amboy",Romy,Lakas-Kampi,1212
Basco,Councilor,"Cabugao, Jonathan Galolo",Jun,Liberal Party,1429
Basco,Councilor,"Estamo, Tomas, Jr. Reyes",Tom,Liberal Party,1511
Basco,Councilor,"Abela, Sergio, Jr. Agudo",Gaji,Liberal Party,1524
Basco,Councilor,"Castillo, Francisco",Paking,Liberal Party,1525
Itbayat,Mayor,"Gonzales, Romeo Legarda",Romy,Independent,827
Itbayat,Vice-Mayor,"De Sagon, Sabas Castillo",Sabas,Independent,582
Itbayat,Councilor,"Alcazar, Pablo Jr. Balanoba",Jun,Independent,387
Itbayat,Councilor,"Valiente, Alexander",Alex,Independent,395
Itbayat,Councilor,"Gutierrez, Ronald Valdesancho",Ronald,Independent,398
Itbayat,Councilor,"Gutierrez, Simaco Valdesancho",Maco,Independent,399
Itbayat,Councilor,"Dita, Efren Antas",Efren,Independent,456
Itbayat,Councilor,"Labrador, Stephen Castro",Steve,Independent,505
Itbayat,Councilor,"Gonzales, Marcelino",Inong,Independent,522
Itbayat,Councilor,"Asa, Alejandria Cano",Diding,Independent,556
Ivana,Mayor,"Barsana, Anastacio Adalla",Tacio,Liberal Party,267
Ivana,Vice-Mayor,"Cataluna, Oscar Adalla",Boyan,Liberal Party,465
Ivana,Councilor,"Acaya, Martin Gamo",Retin,Liberal Party,234
Ivana,Councilor,"Agudo, Jhonas Adalla",Nas,Liberal Party,240
Ivana,Councilor,"Agana, Jerry Adalla",,Lakas-Kampi,264
Ivana,Councilor,"Acebes, Roland Gari",Boyan,Nacionalista Party,281
Ivana,Councilor,"Aguto, Franz Dante Barcelona",Anchit,Liberal Party,312
Ivana,Councilor,"Cabugao, Anastacio, Jr. Verza",Junior,Independent,321
Ivana,Councilor,"Elica, Paulino Cultura",Paul,Liberal Party,329
Ivana,Councilor,"Fidel, Romeo Enfesta",Romel,Independent,367
Mahatao,Mayor,"Poncio, Pedro Fainza",Pinding,Lakas-Kampi,473
Mahatao,Vice-Mayor,"Carzon, Victor Fagut",Vic,Lakas-Kampi,459
Mahatao,Councilor,"Galana, Mariano Rarela",Boy,Lakas-Kampi,288
Mahatao,Councilor,"De Mata, Engracia Caronilla",Cesa,Liberal Party,303
Mahatao,Councilor,"Paco, Nicanor Rarela",Canor,Nacionalista Party,315
Mahatao,Councilor,"Rarela, Olivia Balasbas",Olive,Nacionalista Party,369
Mahatao,Councilor,"Gaa, Magdalena Balasbas",Dely,Independent,405
Mahatao,Councilor,"Maduro, Evelyn Galarion",Beyin,Liberal Party,425
Mahatao,Councilor,"Fabro, Noe Avelino Fagut",Noe,Lakas-Kampi,466
Mahatao,Councilor,"Tabuso, Thomas",Thom,Liberal Party,477
Sabtang,Mayor,"Babalo, Maxilindo Emilio Alavado",Max,Nacionalista Party,512
Sabtang,Vice-Mayor,"Castellon, Luis Cielo",Louie,Liberal Party,494
Sabtang,Councilor,"Acebes, Romeo Gari",Romy,Liberal Party,374
Sabtang,Councilor,"Horcajo, Julia Cultura",Julie,Liberal Party,376
Sabtang,Councilor,"Loreto, Janelyn Laureli Horcajo",Jane,Nacionalista Party,389
Sabtang,Councilor,"Castro, Marx ISr.hael Gastaldo",Marx,Nacionalista Party,401
Sabtang,Councilor,"Neyala, Silvano Abarquez",Bano,Liberal Party,413
Sabtang,Councilor,"Trillana, Roberto Bertillo",Berto,Nacionalista Party,439
Sabtang,Councilor,"Cervillon, Juliana Alasco",Juling,Nacionalista Party,443
Sabtang,Councilor,"Ladreza, Clemente Jr. Cultura",Memen,Nacionalista Party,624
Uyugan,Mayor,"Blackburn, Oliva Valiente",Olive,Nacionalista Party,325
Uyugan,Vice-Mayor,"Nanud, Jonathan Enrique, Jr. Valiente",Jhong,Nacionalista Party,420
Uyugan,Councilor,"Ortiz, Candelaria Comaya",Deling,Nacionalista Party,239
Uyugan,Councilor,"Ybay, Maryfral Camaddo",Mayeth,Nacionalista Party,242
Uyugan,Councilor,"Nanud, Emma Mata",Emma,Nacionalista Party,264
Uyugan,Councilor,"Cobaria, Oscar Cabugao",Oca,Lakas-Kampi,271
Uyugan,Councilor,"Adami, Casiano Cadid",Siano,Nacionalista Party,280
Uyugan,Councilor,"Delos Santos, Bernardo Cabugao",Bernard,Lakas-Kampi,281
Uyugan,Councilor,"Velasco, Juanito",Boy,Nacionalista Party,293
Uyugan,Councilor,"Nanud, Arthur Mata",Aton,Nacionalista Party,313
