city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Aglipay,Mayor,"Agsalda, Jerry Tiburcio",Jerry,Liberal Party,8757
Aglipay,Vice-Mayor,"Quebral, Teresita Dela Cruz",Tita,Lakas-Kampi,8100
Aglipay,Councilor,"Alberto, Warlita Gollayan",Warly,Independent,4762
Aglipay,Councilor,"Ganitano, Nardito Calaputoc",Narding,Independent,4790
Aglipay,Councilor,"Delos Reyes, Manuel Publico",Manny,Lakas-Kampi,4856
Aglipay,Councilor,"Marcos, Michelle Martin",She She,Lakas-Kampi,5255
Aglipay,Councilor,"Domingo, Fernando Reyes",Boyet,Puwersa ng Masang Pilipino,5320
Aglipay,Councilor,"Baldos, Fernando Tubera",Belleng,Lakas-Kampi,5366
Aglipay,Councilor,"Eustaquio, Giovanni Marinas",Vanni,Lakas-Kampi,5684
Aglipay,Councilor,"Saladino, Magdalena Angel",Dolly,Lakas-Kampi,5696
Cabarroguis,Mayor,"Agustin, Avelino, Jr. Noveda",Ave,Lakas-Kampi,11034
Cabarroguis,Vice-Mayor,"Aduca, Gilbert Agaloos",Bong,Liberal Party,6595
Cabarroguis,Councilor,"Lopez, Virgilio Abon",Gil,Lakas-Kampi,4794
Cabarroguis,Councilor,"Calpatura, Jovito Trinidad",Bitong,Nacionalista Party,4796
Cabarroguis,Councilor,"Agbayani, Arwin Pinto",Win,Lakas-Kampi,4909
Cabarroguis,Councilor,"Dela Cruz, Kris - Ian Gumarac",Ian,Lakas-Kampi,5475
Cabarroguis,Councilor,"Tuguinayo, Teresita Bermudez",Tessie,Lakas-Kampi,6015
Cabarroguis,Councilor,"Ubando, Roldan Eclar",Atty.,Lakas-Kampi,6329
Cabarroguis,Councilor,"Kitan, Narciso Cawilan",Pantal,Lakas-Kampi,6424
Cabarroguis,Councilor,"Abuan, Willard, Sr. Viloria",Willard,Independent,7901
Diffun,Mayor,"Guillermo, Marlo Serrano",Marlo,Lakas-Kampi,11853
Diffun,Vice-Mayor,"Agustin, Cesar Matias",Ceasar,Lakas-Kampi,14015
Diffun,Councilor,"Gaudia, Ruben Tabio",Ruben,Lakas-Kampi,7344
Diffun,Councilor,"Corpuz, Marlito Garnace",Itong,Lakas-Kampi,8718
Diffun,Councilor,"Reyes, Babylyn Gabatin",Gabatin,Lakas-Kampi,9064
Diffun,Councilor,"Navalta, Jovino Fajardo",Vino,Lakas-Kampi,9105
Diffun,Councilor,"Unite, Corazon Pimentel",Azon,Lakas-Kampi,9262
Diffun,Councilor,"Gatchalian, Ofelia Caingat",Oping,Liberal Party,9403
Diffun,Councilor,"Cabe, Macaria Blanco",Caring,Liberal Party,9483
Diffun,Councilor,"Antolin, Gloria Calica",Glo,Lakas-Kampi,10519
Maddela,Mayor,"Ylanan, Renato Ganda",Rey,Liberal Party,10012
Maddela,Vice-Mayor,"Ruiz, Florante Tomas",Pong,Lakas-Kampi,6807
Maddela,Councilor,"Cadavis, Alberto, Jr. Sanchez",Jun,Lakas-Kampi,3755
Maddela,Councilor,"Ayap, Virginia Ambrocio",Ging,Lakas-Kampi,3878
Maddela,Councilor,"Albano, Celso Javier",Javier,Lakas-Kampi,4512
Maddela,Councilor,"Asuncion, Arce Panaligan",Atty. Arce,Lakas-Kampi,5046
Maddela,Councilor,"Cardenas, Nellie Sarandi",Nel,Liberal Party,5547
Maddela,Councilor,"Ranchez, Filemon Viernes",Fvr,Lakas-Kampi,5783
Maddela,Councilor,"Tolentino, Rimel Carrera",Lippuok,Liberal Party,7194
Maddela,Councilor,"Badongen, Joel Baingan",Jo,Lakas-Kampi,7361
Nagtipunan,Mayor,"Meneses, Nieverose Camma",Belot,Liberal Party,4730
Nagtipunan,Vice-Mayor,"Tigas, Nolie Santos",Nolie,Liberal Party,5004
Nagtipunan,Councilor,"Blanza, Emilio, Jr. Luzong",Emil,Puwersa ng Masang Pilipino,3153
Nagtipunan,Councilor,"Perez, Policarpio Montalbo",Pol,Liberal Party,3229
Nagtipunan,Councilor,"Cumlat, Richmond Alejandro",Mon,Liberal Party,3491
Nagtipunan,Councilor,"Coronado, Keith Decapia",-,Liberal Party,3500
Nagtipunan,Councilor,"Lito-Ong, Tito Bayaweng",Pastor,Lakas-Kampi,3634
Nagtipunan,Councilor,"Toloy, Lozado Pagie",Loyd,Liberal Party,3744
Nagtipunan,Councilor,"Duldulao, Benjamin Pasilios",Gunyong,Lakas-Kampi,4820
Nagtipunan,Councilor,"Fiesta, Arnel Reyes",Nel,Lakas-Kampi,4977
Saguday,Mayor,"Vicmudo, Dionicio Macabitas",Onggel,Lakas-Kampi,4792
Saguday,Vice-Mayor,"Pagbilao, Marcelina Marzan",Mercy,Lakas-Kampi,4527
Saguday,Councilor,"Cadiente, Ric Bustillos",Tapuak,Lakas-Kampi,2812
Saguday,Councilor,"Dasalla, Federico, Jr. Pallasigue",Rico,Lakas-Kampi,2900
Saguday,Councilor,"Celestino, Dannie Pioquinto",Dannie,Independent,2902
Saguday,Councilor,"Brillantes, Denis Barbado",Denis,Nacionalista Party,3037
Saguday,Councilor,"Canto, Alfredo Calimlim",Fred,Liberal Party,3398
Saguday,Councilor,"Cardenas, Larry, Jr. Songcuan",Balong,Independent,3470
Saguday,Councilor,"Barcelona, Rommel Salviejo",Banyas,Independent,3575
Saguday,Councilor,"Feliciano, Dennis Pagbilao",Den,Lakas-Kampi,4342
