city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Baler,Mayor,"Angara, Arturo Javier",Arthur,Laban ng Demokratikong Pilipino,8899
Baler,Vice-Mayor,"Bihasa, Nelianto Carrasco",Pilot,Laban ng Demokratikong Pilipino,8095
Baler,Councilor,"Amatorio, Sonia Gomez",Ka Sonia,Laban ng Demokratikong Pilipino,5680
Baler,Councilor,"Gonzales, Nenita Delos Santos",Nitz,Laban ng Demokratikong Pilipino,5709
Baler,Councilor,"Ritual, Gina Trinidad",Gina,Laban ng Demokratikong Pilipino,6140
Baler,Councilor,"Mapindan, Reynaldo Esteban",Rey,Laban ng Demokratikong Pilipino,6248
Baler,Councilor,"Sanchez, Arthur Lopez",Boy,Laban ng Demokratikong Pilipino,6293
Baler,Councilor,"Go, Noel Paulo",Noel,Nacionalista Party,6782
Baler,Councilor,"Angara, Karen Gonzales",Karen,Laban ng Demokratikong Pilipino,7122
Baler,Councilor,"Ong, Danilo Montes",Dan,Nacionalista Party,7638
Casiguran,Mayor,"Bitong, Reynaldo Teh",Binsu,Liberal Party,3972
Casiguran,Vice-Mayor,"Roxas, Lordan Brigancia",Daning,Liberal Party,3918
Casiguran,Councilor,"Roxas, Jhon De Luna",Jun,Independent,2784
Casiguran,Councilor,"Danay, Zosimo, Jr. Cardenas",Manong,Liberal Party,2818
Casiguran,Councilor,"Alipio, Roy Soriano",Caloy,Independent,2856
Casiguran,Councilor,"Sayago, Joseph Tarroza",Don-Don,Liberal Party,3241
Casiguran,Councilor,"Chavez, Manuel Jr. Trucilla",Bobby,Liberal Party,3391
Casiguran,Councilor,"Calugtong, Eugene Bernas",Eugene,Laban ng Demokratikong Pilipino,3689
Casiguran,Councilor,"Arana, Jennifer Aliangan",Jen,Laban ng Demokratikong Pilipino,4161
Casiguran,Councilor,"Esteves, Marian TreSr.eyes",Mean,Laban ng Demokratikong Pilipino,4918
Dilasag,Mayor,"Briones, Victorio Bagawisan",Vic,Laban ng Demokratikong Pilipino,3210
Dilasag,Vice-Mayor,"Soriben, Enrique Cacanindin",Ricky,Laban ng Demokratikong Pilipino,3180
Dilasag,Councilor,"Moises, Jacinto Galasi",Cito,Laban ng Demokratikong Pilipino,2397
Dilasag,Councilor,"Dizo, Rufino Agrayon",Perong,Liberal Party,2448
Dilasag,Councilor,"Dizon, Lauro Reganit",Larry Boy,Laban ng Demokratikong Pilipino,2449
Dilasag,Councilor,"De Gracia, Joey Acosta",Marivic,Laban ng Demokratikong Pilipino,2650
Dilasag,Councilor,"Bernabe, Emmanuel Gacilan",Em,Nacionalista Party,2663
Dilasag,Councilor,"Marzan, Domingo, Jr. Embisan",Jhun,Laban ng Demokratikong Pilipino,2884
Dilasag,Councilor,"Bartolome, Reydee Gordo",Reydee,Nacionalista Party,2941
Dilasag,Councilor,"Agustin, Romner Andres",Romner,Laban ng Demokratikong Pilipino,3365
Dinalungan,Mayor,"Tubigan, Tito Torres",Tito,Laban ng Demokratikong Pilipino,3461
Dinalungan,Vice-Mayor,"Torres, Manuel Acosta",Tamang,Laban ng Demokratikong Pilipino,2647
Dinalungan,Councilor,"Rada, Larry Moral",Borong,Laban ng Demokratikong Pilipino,1955
Dinalungan,Councilor,"Sioson, Rhodalynn Rada",Rhoda,Independent,1985
Dinalungan,Councilor,"Galamgam, Marcelino Nerona",Adan,Laban ng Demokratikong Pilipino,2056
Dinalungan,Councilor,"Alamani, Gene Tomas",Gene,Laban ng Demokratikong Pilipino,2242
Dinalungan,Councilor,"Del Rosario, Severino Escueta",Bola-Bola,Laban ng Demokratikong Pilipino,2376
Dinalungan,Councilor,"Madridano, Marlyn Acosta",Lyn,Laban ng Demokratikong Pilipino,2485
Dinalungan,Councilor,"Perpose, Joel Alombro",Manong,Laban ng Demokratikong Pilipino,2652
Dinalungan,Councilor,"Curitana, Dominador Gonzales",Doming,Laban ng Demokratikong Pilipino,2699
Dingalan,Mayor,"Padiernos, Zenaida Quejada",Zeny,Laban ng Demokratikong Pilipino,4215
Dingalan,Vice-Mayor,"Liu, Hiram Maddara",Edgar,Laban ng Demokratikong Pilipino,5108
