city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Angat,Mayor,"Santos, Gilberto Cruz",Reggie,Liberal Party,13236
Angat,Vice-Mayor,"De Leon, Leonardo Rivera",Narding,Liberal Party,14376
Angat,Councilor,"Estrada, Ricarte Valderama",Carte,Liberal Party,9754
Angat,Councilor,"Illescas, Erwinio Marcelo",Erwin,Independent,10372
Angat,Councilor,"Vergel De Dios, William Santiago",William,Nacionalista Party,10507
Angat,Councilor,"Cruz, Robin Paredes",Patay,Liberal Party,10688
Angat,Councilor,"San Pedro, Emelita Manuel",Emy,Nacionalista Party,11014
Angat,Councilor,"Garcia, Crisostomo Sanchez",Resty,Liberal Party,11230
Angat,Councilor,"Suarez, Oscar Cruz",Oca,Liberal Party,12290
Angat,Councilor,"Cruz, Richard Castro",Eric,Liberal Party,13370
Balagtas Bigaa,Mayor,"Castro, Romeo Millena",Romy,Liberal Party,20561
Balagtas Bigaa,Vice-Mayor,"Galvez, Emmanuel Tanjuan",Lito,Liberal Party,13922
Balagtas Bigaa,Councilor,"De Guzman, Alejandro Pangilinan",Andy,Liberal Party,13190
Balagtas Bigaa,Councilor,"Nuguit, Mark Anthony Malgapo",Mark,Liberal Party,13274
Balagtas Bigaa,Councilor,"Puatu, Ariel Hipolito",Ariel,Liberal Party,14332
Balagtas Bigaa,Councilor,"Galvez, Gilbert Lumidao",Obet,Liberal Party,14600
Balagtas Bigaa,Councilor,"Santos, Rodrigo Santos",Rod,Liberal Party,14657
Balagtas Bigaa,Councilor,"Aruelo, Jonathan Manabat",Jun,Liberal Party,16549
Balagtas Bigaa,Councilor,"De Guzman, Ian Santos",Ian,Liberal Party,18185
Balagtas Bigaa,Councilor,"Carating, Alberto II Gatchalian",Bobby,Independent,18696
Baliuag,Mayor,"Estrella, Romeo Maniego",Romy,Del Pilar,23398
Baliuag,Vice-Mayor,"Patawaran, Antonio Santos",Tony,Independent,17094
Baliuag,Councilor,"Santiago, Carolyn Santos",Kintaro,Liberal Party,14517
Baliuag,Councilor,"Cruz, Andronicus Ortega",Roncruz,Del Pilar,15438
Baliuag,Councilor,"Agtarap, Dionisio Opinaldo",Diony,Lakas-Kampi,15667
Baliuag,Councilor,"Trinidad, Reynaldo Mocorro",Rey,Independent,17374
Baliuag,Councilor,"Taruc, Romeo Pantaleon",Kaka,Del Pilar,17391
Baliuag,Councilor,"Dellosa, Carolina Lacson",Carol,Independent,17606
Baliuag,Councilor,"Balicanta, Emmanuel Tanedo",Manny,Del Pilar,17764
Baliuag,Councilor,"Pascual, Jose Noel Santiago",Joel,Del Pilar,21231
Bocaue,Mayor,"Villanueva, Eduardo Jr. Jose",Jonjon Jjv,Bangon Pilipinas,22446
Bocaue,Vice-Mayor,"Santiago, Jose Jr. Cruz",Jonjon Jjs,Bangon Pilipinas,27793
Bocaue,Councilor,"Ofracio, Josey Cordero",Joey,Bangon Pilipinas,15845
Bocaue,Councilor,"Santos, Rolando Vicente",Rolly,Bangon Pilipinas,16208
Bocaue,Councilor,"Reyes, Francis Jerome Gumatay",Alaxan,Bangon Pilipinas,16608
Bocaue,Councilor,"Carpio, Dennis Castro",Bestfriend,Nacionalista Party,18371
Bocaue,Councilor,"Salonga, Agapito Vistan",Gigi,Nacionalista Party,20639
Bocaue,Councilor,"Juan, Dioscoro, Jr. Roxas",Coro,Bangon Pilipinas,21598
Bocaue,Councilor,"Sta Ana, Aldrin Binalla",Abs,Bangon Pilipinas,22001
Bocaue,Councilor,"Mendoza, Donnabel Morales",Donna,Nacionalista Party,24050
Bulacan,Mayor,"Meneses, Patrick Neil Francisco",Pat,Liberal Party,17793
Bulacan,Vice-Mayor,"Bituin, Alberto Gonzales",Berting,Liberal Party,16407
Bulacan,Councilor,"Ramos, Marian Serrano",Yan,Nacionalista Party,12972
Bulacan,Councilor,"Sevilla, Rodolfo Jr. Galvez",Jun,Liberal Party,13105
Bulacan,Councilor,"Tansinsin, Jeff Cruz",Jeff,Nacionalista Party,13232
Bulacan,Councilor,"Sanchez, Reina Rica Cruz",Aika,Independent,13258
Bulacan,Councilor,"Ramirez, Reynaldo II Gerodias",King,Liberal Party,13899
Bulacan,Councilor,"Concepcion, Val Hernandez",Val,Liberal Party,14203
Bulacan,Councilor,"Trinidad, Jay-Ryan Morales",Ryan,Liberal Party,14309
Bulacan,Councilor,"Lava, Rosalie Villanueva",Ining,Liberal Party,17856
Bustos,Mayor,"Mendoza, Arnel Fernandez",Arnel,Liberal Party,12215
Bustos,Vice-Mayor,"Rivera, Leonida Lopez",Loida,Del Pilar,9458
Bustos,Councilor,"Santos, Rodrigo Marquez",Ading,Del Pilar,7556
Bustos,Councilor,"De Guzman, Orlando Lopez",Orly,Independent,8626
Bustos,Councilor,"Ramos, Felicisimo Del Rosario",Bunso,Del Pilar,8672
Bustos,Councilor,"Principio, Aileen Santos",Aset,Independent,9282
Bustos,Councilor,"Cruz, Wilfredo Canoza",Willy,Del Pilar,9575
Bustos,Councilor,"Punongbayan, Antonio Lopez",Tommy,Independent,9611
Bustos,Councilor,"Lazaro, Romulo Dela Fuente",Mulong,Independent,9766
