city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Anao,Mayor,"Felipe, Edgardo Santiago",Edgar,Lakas-Kampi,3956
Anao,Vice-Mayor,"Obena, Alberto, Sr. Parayno",Bitto,Lakas-Kampi,2158
Anao,Councilor,"Concepcion, Gil Lacamento",Gil,Nationalist People's Coalition,1842
Anao,Councilor,"Lacbayan, Betty Badar",Bbl,Lakas-Kampi,1845
Anao,Councilor,"Santos, Carlito, Sr. Barnachia",Boyong,Lakas-Kampi,1889
Anao,Councilor,"Hailar, Nemesio, Jr. Rabara",Kerbas,Lakas-Kampi,2272
Anao,Councilor,"Naral, Rafael Mercado",Paeng,Nationalist People's Coalition,2323
Anao,Councilor,"Rivera, Emerenciana Rala",Mering,Nationalist People's Coalition,2397
Anao,Councilor,"Oliveros, Arnel Santos",Arnel,Independent,2490
Anao,Councilor,"Concepcion, Jocelyn Montero",Joy,Lakas-Kampi,3094
Banban,Mayor,"Anunciacion, Leonardo Dela Cruz",Ding,Nationalist People's Coalition,9586
Banban,Vice-Mayor,"Cura, William Policarpio",Sk Cura,Lakas-Kampi,11311
Banban,Councilor,"Pangilinan, Reynaldo, Sr. Lugtu",Rey,Nationalist People's Coalition,6505
Banban,Councilor,"Sablan, Jose Muldong",Joe,Nationalist People's Coalition,6660
Banban,Councilor,"Rivera, Noel Sibal",Nockgie,Lakas-Kampi,6843
Banban,Councilor,"Go, Ernesto Pangan",Boy Go,Liberal Party,7716
Banban,Councilor,"Mejia, Fortunato Visda",Fortun,Nationalist People's Coalition,8053
Banban,Councilor,"Vitug, July Anunciacion",July,Nationalist People's Coalition,8355
Banban,Councilor,"Lugtu, Danilo Lacson",Dan,Nationalist People's Coalition,8497
Banban,Councilor,"Sibal, William Mariash",Boybao,Nationalist People's Coalition,8517
Camiling,Mayor,"Agustin, Neil Tan",Neil,Nationalist People's Coalition,22868
Camiling,Vice-Mayor,"Agustin, Erlon Clemente",Erlon,Nationalist People's Coalition,17475
Camiling,Councilor,"Castillo, James Tomas",Boyet,Nationalist People's Coalition,11440
Camiling,Councilor,"Caoagdan, Julio Felipe",Julio,Nationalist People's Coalition,11736
Camiling,Councilor,"Manuel, Exaltacion Perez",Sally,Nationalist People's Coalition,12982
Camiling,Councilor,"Andres, Ricarte Diego",Carte,Nationalist People's Coalition,13699
Camiling,Councilor,"Legaspi, Kristine Anne Salvador",Do,Lakas-Kampi,14335
Camiling,Councilor,"Rosete, Editha Lorenzo",Edith,Nationalist People's Coalition,14519
Camiling,Councilor,"Gorospe, Antonio Felix Lopez",Tony,Lakas-Kampi,15035
Camiling,Councilor,"Felix, Wrancudo Perez",Randy,Nationalist People's Coalition,15293
Capas,Mayor,"Rodriguez, Antonio Jr. Capitulo",Tj,Nationalist People's Coalition,19092
Capas,Vice-Mayor,"Ebbay, Alma Corazon De Jesus",Alma,Nationalist People's Coalition,11431
Capas,Councilor,"Lopez, Jesus Mapi",Jake,Nationalist People's Coalition,11490
Capas,Councilor,"Laxamana, Porfirio, Jr. Dayrit",Ford,Nacionalista Party,11495
Capas,Councilor,"Suba, Genaro Layug",Boy,Liberal Party,12551
Capas,Councilor,"Vega, Ramon Palasigue",Tikboy,Liberal Party,12753
Capas,Councilor,"Sicat, Alfonso, Sr. Ysais",Posong,Nationalist People's Coalition,13958
Capas,Councilor,"Bonus, Edgar Dizon",Aqua,Liberal Party,14322
Capas,Councilor,"Ong, Felipe Lee",Toto,Liberal Party,14858
Capas,Councilor,"Dizon, Danilo Suarez",Dan,Liberal Party,16374
City of Tarlac,Mayor,"Manalang, Gelacio Roman",Ace,Lakas-Kampi,49223
City of Tarlac,Vice-Mayor,"Tanedo, Miguel Aguas",Mike,Liberal Party,55239
City of Tarlac,Councilor,"Quiroz, Roel Patdu",Weng,Nationalist People's Coalition,33994
City of Tarlac,Councilor,"Rodriguez, Vladimir San Pedro",Vlad,Liberal Party,40478
