city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Alfonso,Mayor,"Varias, Virgilio Pineda",Ver,Liberal Party,12717
Alfonso,Vice-Mayor,"Rosanes, Juanito Escover",Amor,Liberal Party,10701
Alfonso,Councilor,"Encarnacion, Geronimo Casambros",Memo,Nacionalista Party,9285
Alfonso,Councilor,"Crizaldo, Maximo, Sr. Ronsairo",Men,Liberal Party,9438
Alfonso,Councilor,"Jeciel, Mariano Reyes",Nano,Liberal Party,9701
Alfonso,Councilor,"Cailing, Bartolome Rosel",Berting,Liberal Party,9825
Alfonso,Councilor,"Cosino, Romeo Resurreccion",Romy,Nacionalista Party,9943
Alfonso,Councilor,"Varias, Reinalyne Vidallon",Rein,Liberal Party,10668
Alfonso,Councilor,"Pel, Madona Mojica",Donna,Liberal Party,10669
Alfonso,Councilor,"De Castro, Justiniano Crooc",Justin,Liberal Party,11693
Amadeo,Mayor,"Villanueva, Benjarde Ambon",Benjo,Nacionalista Party,7473
Amadeo,Vice-Mayor,"Bawalan, Elpidio De Grano",Pidio,Nacionalista Party,8017
Amadeo,Councilor,"Villanueva, Nicetos Ambat",Ceto,Liberal Party,5587
Amadeo,Councilor,"Bantog, Bayani Cruz",Bayani,Nacionalista Party,5619
Amadeo,Councilor,"Bayot, Fernando Tumagay",Pando,Liberal Party,5624
Amadeo,Councilor,"Iyaya, Joel Villanueva",Joel,Liberal Party,5863
Amadeo,Councilor,"Ambat, Charles Emmanuel T Bayot",Charles,Nacionalista Party,5874
Amadeo,Councilor,"Bawar, Patricio Leaban",Tisyo,Liberal Party,5893
Amadeo,Councilor,"Cosing, Susan Anacay",Annie,Liberal Party,5988
Amadeo,Councilor,"Bayot, Donn Clarence Lavina",Dondie,Liberal Party,6669
Bacoor,Mayor,"Revilla, Strike Bautista",Edwin,Lakas-Kampi,107293
Bacoor,Vice-Mayor,"Fernando, Rosette Miranda",Rosette,Lakas-Kampi,100000
Bacoor,Councilor,"De Leon, Bayani Mascardo",Yani,Lakas-Kampi,62040
Bacoor,Councilor,"Sapanghila, Jaime Acuna",Js,Lakas-Kampi,64063
Bacoor,Councilor,"Palabrica, Reynaldo Dela Cruz",Kap Rey,Lakas-Kampi,67593
Bacoor,Councilor,"San Miguel, Janairo Cuevas",Sm,Lakas-Kampi,67774
Bacoor,Councilor,"De Castro, Venus Domingo",Sis Venus,Lakas-Kampi,70590
Bacoor,Councilor,"Fabian, Reynaldo Marcelo",Rey,Lakas-Kampi,74560
Bacoor,Councilor,"Solis, Avelino Bonifacio",Boy,Lakas-Kampi,80895
Bacoor,Councilor,"Gawaran, Edwin Gervacio",Ed,Lakas-Kampi,82012
Carmona,Mayor,"Loyola, Dahlia Ambayec",Dahlia,Liberal Party,17146
Carmona,Vice-Mayor,"Ines, Cesar Navarro",Cesar,Liberal Party,18882
Carmona,Councilor,"Lontok, Amable Manabo",Bobby,Liberal Party,14579
Carmona,Councilor,"Reyes, Elmer Mapanoo",Itoy,Liberal Party,14608
Carmona,Councilor,"Acbay, Maximo Almeida",Max,Liberal Party,15145
Carmona,Councilor,"Tenedero, Domingo Rivera",Domeng,Liberal Party,15298
Carmona,Councilor,"Manabat, Leonila Andaya",Mila,Liberal Party,15401
Carmona,Councilor,"Loyola, Cesar Maulanin",Oyet,Liberal Party,15490
Carmona,Councilor,"Manarin, Roel Zamora",Tatang,Liberal Party,15549
Carmona,Councilor,"Ortiz, Bernie Almenar",Bernie,Liberal Party,16170
Cavite City,Mayor,"Ramos, Romeo Gaudier",Ohmee,Liberal Party,17083
Cavite City,Vice-Mayor,"Barron, Lino Antonio Salazar",Doki Barron,Nacionalista Party,28049
Cavite City,Councilor,"Novero, Eduardo Jr. Garduno",Jun Novero,Independent,13449
Cavite City,Councilor,"Cayetano-Cordero, Danna Grepo",Dana,Nacionalista Party,14051
Cavite City,Councilor,"Alvarez, Amorico Manguhig",Ric,Nacionalista Party,14588
Cavite City,Councilor,"Filoteo, Carlo Dante Morosi",Cage,Nacionalista Party,14848
Cavite City,Councilor,"Mupas, Mark Joseph Toledo",Mark,Nacionalista Party,17115
Cavite City,Councilor,"Ponsones, Michael Ruiz",Mike,Nacionalista Party,17526
Cavite City,Councilor,"Crawford, Lawrence Sugatan",Larry,Nacionalista Party,17693
Cavite City,Councilor,"Chua, Denver Christopher Reyes",Denver,Nacionalista Party,20546
Cavite City,Councilor,"Consigo, Percilito Pangan",Penchie,Nacionalista Party,21307
Cavite City,Councilor,"Tirona, Edmund Candelaria",Edmon,Nacionalista Party,22595
Dasmarinas City,Mayor,"Barzaga, Jennifer Austria",Jenny,Lakas-Kampi,158731
