city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Boac,Mayor,"Madla, Roberto Mercene",Bert,Independent.,11625
Boac,Vice-Mayor,"Marquez, Dante Josue",Dan,Liberal Party,14645
Boac,Councilor,"Montemar-Gayutin, Ma Herietha Frayre",Marie,Liberal Party,6546
Boac,Councilor,"Chi, Avelino Luci",Aven,Independent.,7044
Boac,Councilor,"Largado, Benildo Ledesma",Benny,LAKAS-KAM,7277
Boac,Councilor,"Opis, Robert Estrada",Obet,Liberal Party,8088
Boac,Councilor,"Laylay, Luisito Solano",Sito,Liberal Party,8610
Boac,Councilor,"Majaba, Luisito Manguera",Sir Louie,Independent.,9233
Boac,Councilor,"Paglinawan, Sonny Lozano",Sonny,Independent.,9311
Boac,Councilor,"Caballes, Theresa Pedron",Tet,Liberal Party,10938
Buenavista,Mayor,"Madrigal, Russel Sarmiento",Jing,LAKAS-KAM,5056
Buenavista,Vice-Mayor,"Saguid, Montano Privado",Gohoy,Liberal Party,4802
Buenavista,Councilor,"Seco, Roland Vitto",Onad,Independent.,2415
Buenavista,Councilor,"De Los Santos, Danny Blancaflor",Kaibigan,Independent.,2471
Buenavista,Councilor,"Pampola, Policarpio, Jr Limbo",Badoy,Independent.,2896
Buenavista,Councilor,"Pe, Arleigh Villarosa",Jap,LAKAS-KAM,2910
Buenavista,Councilor,"Salvacion, Reynaldo Padilla",Kuya Rey,Liberal Party,3156
Buenavista,Councilor,"Sadiwa, Anacleto Salvacion",Kele,Liberal Party,3302
Buenavista,Councilor,"Pinaroc, Florentino Blanco",Fr. Tony,LAKAS-KAM,3844
Buenavista,Councilor,"Fabrero, Bert Sario",Engr. Fabrero,LAKAS-KAM,4095
Gasan,Mayor,"Lim, Victoria Lao",Vicky,LAKAS-KAM,8455
Gasan,Vice-Mayor,"Balitaan, Servillano Montejo",Bell,LAKAS-KAM,8822
Gasan,Councilor,"Caparros, Rodolfo De Leon",Rudy,Liberal Party,4804
Gasan,Councilor,"Salcedo, Consuelo De La Santa",Connie,LAKAS-KAM,4854
Gasan,Councilor,"Sore, Jose Maria Abayon",Ps,LAKAS-KAM,5119
Gasan,Councilor,"Sadiua, Ederlinda Rodil",Edy,LAKAS-KAM,5688
Gasan,Councilor,"Sosa, Yudel Agoncillo",Yudel,LAKAS-KAM,5952
Gasan,Councilor,"Asuncion, Celia M Laurel",Maggie,LAKAS-KAM,7521
Gasan,Councilor,"Lao, Elisa Josue",Lisa,LAKAS-KAM,7712
Gasan,Councilor,"Iturralde, Nancy Arca",Nancy,LAKAS-KAM,8190
Mogpog,Mayor,"Livelo, Senen, Jr Monteagudo",Jojo,LAKAS-KAM,7464
Mogpog,Vice-Mayor,"Mandalihan, Sebastian Tolentino",Baste,LAKAS-KAM,7483
Mogpog,Councilor,"Milambiling, Urlan Musnit",Urlan,LAKAS-KAM,4489
Mogpog,Councilor,"Larraquel, Raymundo Lambot",Munding,LAKAS-KAM,4735
Mogpog,Councilor,"Manggol, Nemesio Ola",Mesing,LAKAS-KAM,5199
Mogpog,Councilor,"Motol, Gregoria Jalos",Goring,Liberal Party,5410
Mogpog,Councilor,"Maac, Melanio Lecaros",Mel,LAKAS-KAM,5624
Mogpog,Councilor,"Luisaga, Belen Mantala",Belen,Liberal Party,6030
Mogpog,Councilor,"Belison, Vryant Rajehv Morera",Belison,Liberal Party,7229
Mogpog,Councilor,"Molbog, Florito Morales",Polly,Liberal Party,7791
Santa Cruz,Mayor,"Morales, Percival Puente",Percy,LAKAS-KAM,15508
Santa Cruz,Vice-Mayor,"Lim, Ishmael Del Prado",Kuya Mael,Liberal Party,11821
Santa Cruz,Councilor,"Preclaro, Francisco Aguirre",Franco,LAKAS-KAM,7136
Santa Cruz,Councilor,"Alvarez, Glicerio Garcia",Glee,LAKAS-KAM,7362
Santa Cruz,Councilor,"Naya, Procopio Buya",Naya Na,Liberal Party,7385
Santa Cruz,Councilor,"Dy, Benito Valenzuela",Ben,Liberal Party,8398
Santa Cruz,Councilor,"Ricafrente, Edwin Tagle",Win,Liberal Party,8929
Santa Cruz,Councilor,"Perilla, Macario Grimaldo",Mar,Liberal Party,9191
Santa Cruz,Councilor,"Caraan, Leonora Fernandez",Nory,LAKAS-KAM,9499
Santa Cruz,Councilor,"Nunez, Erlando Tan",Lando,LAKAS-KAM,11253
Torrijos,Mayor,"Briones, Gil Reginio",Boreks,LAKAS-KAM,5319
Torrijos,Vice-Mayor,"Macdon, Roberto Fadrigon",Obet,Liberal Party,4937
Torrijos,Councilor,"Red, Gregorio Real",Boy,Liberal Party,2990
Torrijos,Councilor,"Pimentel, Angel Rioveros",Otoc,Liberal Party,3318
Torrijos,Councilor,"Villar, Norma Valenzuela",Norma,Independent.,3385
Torrijos,Councilor,"Roldan, Monchito Paz",Monching,Liberal Party,3494
Torrijos,Councilor,"Grimaldo, Pablito Oblipias",Chief,Independent.,3709
Torrijos,Councilor,"Fabrero, Sabino Postrado",Binoy,Liberal Party,3819
Torrijos,Councilor,"Palomares, Levy Fuentes",Mama Levy,Liberal Party,4271
Torrijos,Councilor,"De Galicia, Ricardo Reginio",Ricky,Independent.,5321
