city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Alcantara,Mayor,"Lota, Eddie Cajilig",Ed,Lakas-Kampi,3674
Alcantara,Vice-Mayor,"Galindez, Robert Galido",Toto Robert,Lakas-Kampi,3754
Alcantara,Councilor,"Bringas, Mirasol Merano",Masol,Lakas-Kampi,2514
Alcantara,Councilor,"Galin, Francisco Gado",Frankie,Lakas-Kampi,2529
Alcantara,Councilor,"Galin, Adrio, Jr. Galvero",Onyot,Nationalist People's Coalition,3100
Alcantara,Councilor,"Martino, Larry Gallos",Ago,Nationalist People's Coalition,3184
Alcantara,Councilor,"Galicha, Patrocenio Gaspado",Patring,Lakas-Kampi,3252
Alcantara,Councilor,"Gamul, Jovito, Jr. Gado",Vito,Lakas-Kampi,3288
Alcantara,Councilor,"Martinez, Ermar Jayme",Mar,Lakas-Kampi,3461
Alcantara,Councilor,"Estrada, Miriam Garcia",Miyam,Lakas-Kampi,3635
Banton,Mayor,"Faderanga, Jory Fadri",Jory,Lakas-Kampi,1620
Banton,Vice-Mayor,"Faz, Romulo, Sr. Fadrilan",Mulo,Nationalist People's Coalition,1603
Banton,Councilor,"Faigao, Virgilio Faderon",Virgil,Nationalist People's Coalition,1110
Banton,Councilor,"Flores, Patricio Fabroa",Pat,Nationalist People's Coalition,1124
Banton,Councilor,"Fabiala, Ismael Fesalbon",Maing,Nationalist People's Coalition,1239
Banton,Councilor,"Fiecas, Jimmy Fonte",Jimmy,Lakas-Kampi,1319
Banton,Councilor,"Faigao, Abner Fadri",Dutchie,Nationalist People's Coalition,1347
Banton,Councilor,"Familara, Ricardo Jr. Ferranco",Boron,Nationalist People's Coalition,1373
Banton,Councilor,"Fonte, Bemboy Magsino",Bemboy,Lakas-Kampi,1383
Banton,Councilor,"Fegalan, Loijorge Fegalquin",Loi,Nacionalista Party,1496
Cajidiocan,Mayor,"Galang, Festo, Jr. Riano",Nonong,Nationalist People's Coalition,4848
Cajidiocan,Vice-Mayor,"Maca, Mabini Tarrosa",Mabing,Nationalist People's Coalition,5672
Cajidiocan,Councilor,"Langit, Jaime Medrano",Jim,Lakas-Kampi,4056
Cajidiocan,Councilor,"Rotoni, Richard Daroy",Chard,Nationalist People's Coalition,4072
Cajidiocan,Councilor,"Regla, Isaias, Sr. Rollan",Sayas,Lakas-Kampi,4450
Cajidiocan,Councilor,"Ruba, Rizal Tano",Izal,Lakas-Kampi,4488
Cajidiocan,Councilor,"Gotanco, Constancio Martinez",Tancio,Nationalist People's Coalition,4742
Cajidiocan,Councilor,"Rabino, Kenyo Repizo",Ken,Nacionalista Party,4811
Cajidiocan,Councilor,"Rabino, Haide Rafol",Haide,Independent,5124
Cajidiocan,Councilor,"Mortel, Herminio Ramilo",Guds,Nacionalista Party,5300
Calatrava,Mayor,"Fabella, Robert Muyo",Bong,Nationalist People's Coalition,2688
Calatrava,Vice-Mayor,"Fajel, Berlito, Jr. Fadrogaya",Ron,Nationalist People's Coalition,2629
Calatrava,Councilor,"Fedelicio, Joseph Montesa",Otep,Nacionalista Party,1875
Calatrava,Councilor,"Sixon, Merlito Macalipay",Merly,Nationalist People's Coalition,2082
Calatrava,Councilor,"Bronce, Rizalito Famisaran",Quit,Nationalist People's Coalition,2161
Calatrava,Councilor,"Falqueza, Benjamin Malayo",Bening,Nationalist People's Coalition,2279
Calatrava,Councilor,"Dela Cruz, Cyril Fajutag",Cy,Lakas-Kampi,2335
Calatrava,Councilor,"Rodeo, Miguelito Fallar",Angga,Nationalist People's Coalition,2462
Calatrava,Councilor,"Villafuerte, Sabriza Hassan",Sabring,Nationalist People's Coalition,2472
Calatrava,Councilor,"Magbata, Ramon Jr. Fiedacan",Monching,Nationalist People's Coalition,2507
Concepcion,Mayor,"Cipriano, Lemuel Fesalbon",Boyet,Lakas-Kampi,1323
Concepcion,Vice-Mayor,"Ferriol, Felipe Fonte",Pepe,Lakas-Kampi,1293
Concepcion,Councilor,"Ferrancullo, Vidal Fano",Lolo Beding,Nacionalista Party,1024
Concepcion,Councilor,"Fetesio, Joseph Senorin",Totep,Lakas-Kampi,1076
Concepcion,Councilor,"Falculan, Neil Manila",Neil,Nacionalista Party,1079
Concepcion,Councilor,"Abainza, Jessie Fadri",Bong,Nacionalista Party,1096
Concepcion,Councilor,"Atillano, Diosdado Fallarme",Diosing,Lakas-Kampi,1101
Concepcion,Councilor,"Feudo, Rainer Fiestada",Rey,Lakas-Kampi,1136
Concepcion,Councilor,"Firmalan, Monico, Jr. Fabreag",Nonoy,Nacionalista Party,1205
Concepcion,Councilor,"Familaran, Jasmin Famarin",Jass,Lakas-Kampi,1246
Corcuera,Mayor,"Banares, Rachel Minon",Rachel,Lakas-Kampi,2450
Corcuera,Vice-Mayor,"Fruelda, Elmer Mallorca",Mer,Nacionalista Party,2630
Corcuera,Councilor,"Andrade, Ludhel Fajarillo",Dhel,Nacionalista Party,1815
Corcuera,Councilor,"Fajarillo, Orlando Fonte",Orly,Nacionalista Party,1983
Corcuera,Councilor,"Fabriquel, Rosemarie Falceso",Rose,Nacionalista Party,2220
Corcuera,Councilor,"Fojas, Meltzzi Vic Veza",Meltchie,Nacionalista Party,2346
Corcuera,Councilor,"Ferry, Jerrime Fajilan",Emie,Lakas-Kampi,2349
Corcuera,Councilor,"Ferry, Joribel Fajiculay",Obel,Nacionalista Party,2575
Corcuera,Councilor,"Fetalvero, Denny Fajarillo",Dennis,Nacionalista Party,2634
Corcuera,Councilor,"Mazo, Jegger Fajutag",Jegs,Lakas-Kampi,2645
Ferrol,Mayor,"Fabila, Jason Mayor",Boy Jason,Lakas-Kampi,2223
Ferrol,Vice-Mayor,"Agustin, Elias Ganan",Ely,Lakas-Kampi,1521
Ferrol,Councilor,"Selosa, Cecilia Fabila",Celia,Independent,886
Ferrol,Councilor,"Sarmiento, Lita Gabilo",Lily,Independent,1051
Ferrol,Councilor,"Compas, Antonio Fernandez",Tony,Independent,1080
Ferrol,Councilor,"Magramo, Noe Billones",Whet,Nacionalista Party,1123
Ferrol,Councilor,"Gan, Dominador Jr. David",Omeng,Nacionalista Party,1132
Ferrol,Councilor,"Gelindon, Pedro Fabila",Indong,Independent,1257
Ferrol,Councilor,"Sarmiento, Nathaniel Manago",Delbe,Nacionalista Party,1292
Ferrol,Councilor,"Gregorio, Vicente Prado",Vic,Lakas-Kampi,1465
Looc,Mayor,"Arboleda, Leila Medina",Lei,Lakas-Kampi,5640
Looc,Vice-Mayor,"Panes, Ernesto Pedroso",Dokpanes,Lakas-Kampi,4892
Looc,Councilor,"Andres, Benhur Moreno",Ben,Lakas-Kampi,4088
Looc,Councilor,"Gadaoni, June Solanoy",Jojo,Nationalist People's Coalition,4144
Looc,Councilor,"Gelindon, Baldomero Tan",Baldo,Lakas-Kampi,4218
Looc,Councilor,"Taytay, Dianson Ragas",Toto,Lakas-Kampi,4482
Looc,Councilor,"Martinez, Christine Joy Irao",Joy,Lakas-Kampi,4511
Looc,Councilor,"Reyes, Reyam Ambal",Reyam,Lakas-Kampi,4538
Looc,Councilor,"Gabuna, Daniel Glori",Dan,Lakas-Kampi,4565
Looc,Councilor,"Bautista, Rolando Francisco",Rolly,Lakas-Kampi,4837
Magdiwang,Mayor,"Manzala, Ibarra Rovira",Baring,Lakas-Kampi,3417
Magdiwang,Vice-Mayor,"Repizo, Denisa Rabino",Nene,Lakas-Kampi,4863
Magdiwang,Councilor,"Roldan, Mario, Sr. Rojas",Mayong,Liberal Party,2859
Magdiwang,Councilor,"Molo, Vilma Lim",Vil,Liberal Party,2976
Magdiwang,Councilor,"Rocha, Flaviano, Jr. Recto",Jun,Nationalist People's Coalition,3050
Magdiwang,Councilor,"Menese, Antonio Radan",Tony,Nacionalista Party,3071
Magdiwang,Councilor,"Mayor, Gil Rovira",Linggoy,Lakas-Kampi,3304
Magdiwang,Councilor,"Rocha, Guillermo Recto",Emong,Lakas-Kampi,3689
Magdiwang,Councilor,"Radan, Rommel Augustus Relox",Nonoy,Nacionalista Party,3888
Magdiwang,Councilor,"Tansiongco, Ado Villanueva",Ads,Lakas-Kampi,4102
Odiongan,Mayor,"Firmalo, Baltazar Llorca",Boy,Nationalist People's Coalition,10903
Odiongan,Vice-Mayor,"Fajutnao, Brecio, Jr. Dalisay",Jun,Nationalist People's Coalition,9975
