city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aroroy,Mayor,"Capinig, Enrico Zaragoza",Pecus,Lakas-Kampi,12943
Aroroy,Vice-Mayor,"Maristela, Arturo V Jr. Pujol",Tico,Lakas-Kampi,13153
Aroroy,Councilor,"Chan, Ana Pusing",Aning,Lakas-Kampi,8164
Aroroy,Councilor,"Cadiz, Alvin Sta  Clara",Vin-Vin,Lakas-Kampi,8287
Aroroy,Councilor,"Valera, Darwin Lim",Jojo-Awe,Puwersa ng Masang Pilipino,8609
Aroroy,Councilor,"Ramilo, Vicente Lumbao",Enteng,Lakas-Kampi,9527
Aroroy,Councilor,"Valdemoro, Fida Rubia",Fida,Nationalista Party,10228
Aroroy,Councilor,"Danao, Teddy , Jr. Lopez",Tata,Liberal Party,10736
Aroroy,Councilor,"Canares, Lino Tobias",Inong,Lakas-Kampi,11094
Aroroy,Councilor,"Valera, Manuel , Jr. Lim",Nonoy-Awe,Lakas-Kampi,11275
Balena,Mayor,"Llamado, Gracia Mingoy",Beth,Lakas-Kampi,5164
Balena,Vice-Mayor,"Cabug, Romeo Maglente",Romy,Nationalista Party,5399
Balena,Councilor,"Salivio, Federico, Jr. Esquilona",Jun,Lakas-Kampi,4336
Balena,Councilor,"Bajar, Lilian Valdemoro",Lilan,Lakas-Kampi,4519
Balena,Councilor,"Bello, Charmie Relova",Cha,Lakas-Kampi,4813
Balena,Councilor,"Cabug, Ricardo Maglente",Ric,Nationalista Party,5243
Balena,Councilor,"Llamado, Kim Patrick Mingoy",Kim,Lakas-Kampi,5318
Balena,Councilor,"Delarosa, Romeo Coronel",Rd,Independent,5329
Balena,Councilor,"Morado, Melchor Laurio",Choy,Lakas-Kampi,5612
Balena,Councilor,"Joson, Perla Hernandez",Baby,Lakas-Kampi,5734
Balud,Mayor,"Benisano, Ruel Amistoso",Rbm,Lakas-Kampi,7740
Balud,Vice-Mayor,"Alajar, Richard Ado",Bobet,Nationalista Party,7621
Balud,Councilor,"Tacurda, Paulito Paglinawan",Palog,Nationalista Party,5934
Balud,Councilor,"Delfin, Salvador Jr. Bensay",Badong,Nationalista Party,5952
Balud,Councilor,"Estrella, Harriet Cipriano",Harriet,Lakas-Kampi,5992
Balud,Councilor,"Ariola, Ronald Bantillo",Boy,Independent,6515
Balud,Councilor,"Raco, Jose Arollado",Jojo,Lakas-Kampi,6837
Balud,Councilor,"Tacurda, Danilo Zafra",Danoy,Lakas-Kampi,7038
Balud,Councilor,"Sto Domingo, Rey Tambal",Nonoy,Lakas-Kampi,7402
Balud,Councilor,"Macuha, Ladislao Aguilar",Ladie,Lakas-Kampi,7469
Batuan,Mayor,"Yuson, Charlie Iii De Roma",Bodgie,Lakas-Kampi,3837
Batuan,Vice-Mayor,"Cebu, Remegio, Jr. Canares",Jun,Lakas-Kampi,3616
Batuan,Councilor,"Fajardo, Mar Basas",Mar,Puwersa ng Masang Pilipino,2292
