city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Alcantara,Mayor,"Barino, Prudencio Jr. Villanueva",Denny,Lakas-Kampi,4994
Alcantara,Vice-Mayor,"Caburnay, Beatriz Yosores",Betty,Independent,2833
Alcantara,Councilor,"Ferraren, Feliciano, Sr. Bigtasin",Felix,Independent,3589
Alcantara,Councilor,"Marcellana, Sergio Sr. De Roxas",Jun,Lakas-Kampi,3668
Alcantara,Councilor,"Odever, Asterio Sr. Ricafranca",Terio,Lakas-Kampi,3729
Alcantara,Councilor,"Irojo, Edgar Masuela",Eddie,Lakas-Kampi,3972
Alcantara,Councilor,"Barino, Joe Marie Villanueva",Jojo,Lakas-Kampi,4263
Alcantara,Councilor,"Canete, Fredo Celeste",Fred Dot,Lakas-Kampi,4644
Alcantara,Councilor,"Tabanao, Godofredo Tapales",Dodoy,Lakas-Kampi,4753
Alcantara,Councilor,"Lobitana, Benjamin Maquiling",Benlo,Lakas-Kampi,5428
Alcoy,Mayor,"De Los Santos, Nicomedes Antig",Nick,Lakas-Kampi,5811
Alcoy,Vice-Mayor,"Plando, Antonio Medellin",Tony,Lakas-Kampi,5746
Alcoy,Councilor,"De Los Santos, Rolando Pace",Rudy,Independent,2869
Alcoy,Councilor,"Sestoso, Ruel A De Los Santos",Kadong,Lakas-Kampi,3488
Alcoy,Councilor,"Gonzales, Richard Plando",Ricky,Lakas-Kampi,3520
Alcoy,Councilor,"De Los Santos, Catalino Jr. Medes",Ompong,Lakas-Kampi,3756
Alcoy,Councilor,"Costin, Ailee Romarate",Bal,Lakas-Kampi,4109
Alcoy,Councilor,"Sestoso, Michael A De Los Santos",Angki,Lakas-Kampi,5173
Alcoy,Councilor,"Abajon, Jonathan Montalbo",Tata,Lakas-Kampi,5529
Alcoy,Councilor,"Abajon, Jimmy Montalbo",Jimmy,Independent,5619
Alegria,Mayor,"Guisadio, Emelita Blanco",Millet,Lakas-Kampi,5683
Alegria,Vice-Mayor,"Rodriguez, Marcial, Jr. Ygona",Junny,Lakas-Kampi,6015
Alegria,Councilor,"Lerio, Diosdado Lao",Daddy,Lakas-Kampi,5490
Alegria,Councilor,"Donayre, Maria Leticia Pulgo",Letty,Lakas-Kampi,5490
Alegria,Councilor,"Mejares, German, Jr. Lobrino",Jr.,Lakas-Kampi,5550
Alegria,Councilor,"Villaneza, Alejandro Cuevas",Ali,Lakas-Kampi,5561
Alegria,Councilor,"Javierto, Restituto Homecillo",Dodong,Lakas-Kampi,5563
Alegria,Councilor,"Aller, Raymund A",Mon,Lakas-Kampi,5602
Alegria,Councilor,"Guisadio, Raul Amacanin",Otto,Lakas-Kampi,5808
Alegria,Councilor,"Alocillo, Nemia Germino",Nemia,Lakas-Kampi,5941
Aloguinsan,Mayor,"Moreno, Augustus C Lim",Chonse,Lakas-Kampi,8128
Aloguinsan,Vice-Mayor,"Moreno, Cynthia Go",Cynth,Lakas-Kampi,8463
Aloguinsan,Councilor,"Mantalaba, Hipolito Sr. Georfo",Polito,Lakas-Kampi,4666
Aloguinsan,Councilor,"Lana, Susana Gantuangco",Susan,Lakas-Kampi,4791
Aloguinsan,Councilor,"Concon, Josephine Tausa",Cepen,Lakas-Kampi,5073
Aloguinsan,Councilor,"Margallo, Danilo Lopez",Danny,Liberal Party,5182
Aloguinsan,Councilor,"Ripdos, Marilou Mancia",Malou,Liberal Party,5286
Aloguinsan,Councilor,"Secuya, Ernesto Tribunalo",Nene,Lakas-Kampi,5806
Aloguinsan,Councilor,"Biton, Mariolito Raganas",Toto,Lakas-Kampi,5922
Aloguinsan,Councilor,"Gacang, Claudio Cimafranca",Odiong,Lakas-Kampi,6045
