city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Enrique Villanueva,Mayor,"Orquillas, Ellery Clint Alcala",Clint,Lakas-Kampi,2127
Enrique Villanueva,Vice-Mayor,"Matas, Earl Stanley Orquillas",Bebe,Lakas-Kampi,2057
Enrique Villanueva,Councilor,"Bokingkito, Susano Pagador",Sano,Lakas-Kampi,1746
Enrique Villanueva,Councilor,"Aqui, Marcial Limatoc",Cial,Lakas-Kampi,1810
Enrique Villanueva,Councilor,"Banglos, Rosemarie Dagumo",Rosie,Lakas-Kampi,1812
Enrique Villanueva,Councilor,"Dimalig, Norberto Balongag",Berting,Lakas-Kampi,1855
Enrique Villanueva,Councilor,"Pal-Ing, Gerold Viernes",Titing,Liberal Party,1916
Enrique Villanueva,Councilor,"Alcala, Cesario, Jr. Orquillas",O-Ngoy,Lakas-Kampi,2013
Enrique Villanueva,Councilor,"Inao, Belinda Banglos",Belen,Lakas-Kampi,2045
Enrique Villanueva,Councilor,"Baliquig, Nenita Fernandez",Nene,Lakas-Kampi,2134
Larena,Mayor,"Calibo, Gold Lom0Ngo",Dodong,Nacionalista Party,4309
Larena,Vice-Mayor,"Villa, Ronnie Samson",Ronnie,Nacionalista Party,4294
Larena,Councilor,"Enriquez, Jasper Masayon",Jas,Lakas-Kampi,3443
Larena,Councilor,"Jimenez, Greg Yurong",Gorio,Nacionalista Party,3448
Larena,Councilor,"Omictin, Clyde Samonte",Clyde,Nacionalista Party,3457
Larena,Councilor,"Arbon, Francisco Banlaygas",Dodo,Lakas-Kampi,3538
Larena,Councilor,"Lingcay, Leonardo Tangapa",Nanding,Nacionalista Party,3634
Larena,Councilor,"Gom-Os, Jucito Dominguez",Boboy,Nacionalista Party,3791
Larena,Councilor,"Padayhag, Charles Malanog",Dodong,Lakas-Kampi,3838
Larena,Councilor,"Samson, Honey Grace Macion",Honey,Lakas-Kampi,4068
Lazi,Mayor,"Fua, Orpheus Anoos",Stagg,Lakas-Kampi,9197
Lazi,Vice-Mayor,"Monte, James Duhaylungsod",Jamesiao,Lakas-Kampi,7353
Lazi,Councilor,"Dinsay, Henry Balolong",Lanoy,Lakas-Kampi,3788
Lazi,Councilor,"Yano, Danilo De La Cruz",Danilo,Lakas-Kampi,3872
Lazi,Councilor,"Dalaygon, Mark Harold Taroc",Nonoy,Lakas-Kampi,4072
Lazi,Councilor,"Orano, Francisco Lumingkit",Picong,Lakas-Kampi,4155
Lazi,Councilor,"Ligutom, Maribel Monte",Ebing,Lakas-Kampi,4362
Lazi,Councilor,"Dimagnaong, Dale Ligutom",Del,Lakas-Kampi,4535
Lazi,Councilor,"Dimagnaong, Rommel Omandam",Dodongrod,Independent,5899
Lazi,Councilor,"Aljas, Earl Anoos",Buddy,Lakas-Kampi,6423
Maria,Mayor,"Padayhag, Rebecca Bolodo",Becky,Lakas-Kampi,6460
Maria,Vice-Mayor,"Asok, Meynard Real",Dondon,Liberal Party,4059
Maria,Councilor,"Valesco, Jaime Calimpon",Jimboy,Lakas-Kampi,3195
Maria,Councilor,"Daug, Diosdado Calog",Adoy,Lakas-Kampi,3895
Maria,Councilor,"Aninipo, Candelaria Abuhan",Cande,Lakas-Kampi,3934
Maria,Councilor,"Magsayo, Meinrad Mark Malanog",Macoy,Lakas-Kampi,4106
Maria,Councilor,"Parami, Jaime Arrieta",Jim,Lakas-Kampi,4274
Maria,Councilor,"Malolot, Cayetano Maghinay",Tano,Lakas-Kampi,4326
Maria,Councilor,"Magpiong, Ronald Guy Bangay",Guy,Lakas-Kampi,4501
Maria,Councilor,"Fernando, Orlando Dominguez",Lando,Lakas-Kampi,4841
San Juan,Mayor,"Quimno, Edwin Maata",Win,Lakas-Kampi,3849
San Juan,Vice-Mayor,"Andog, Glicerio Quimno",Eriong,Lakas-Kampi,4480
San Juan,Councilor,"Maghanoy, Edgar Astillero",Garex,Lakas-Kampi,3030
San Juan,Councilor,"Corectico, Orlando Solicar",Lando,Lakas-Kampi,3433
San Juan,Councilor,"Jumawan, Jimmy Maghanoy",Jim,Lakas-Kampi,3627
San Juan,Councilor,"Jo, Lyndon Lumhod",Don,Independent,3709
San Juan,Councilor,"Andos, Zosimo Tomogsok",Momoy,Lakas-Kampi,4494
San Juan,Councilor,"Capundag, Wilfredo, Jr. Quimno",James,Lakas-Kampi,4755
San Juan,Councilor,"Cenas, Gemma Magtagad",Gem,Nacionalista Party,4772
San Juan,Councilor,"Ocay, Alberto Vios",Dodong,Lakas-Kampi,4783
Siquijor,Mayor,"Quezon, Richard Cortes",Dick,Lakas-Kampi,10303
Siquijor,Vice-Mayor,"Macahis, Delfin Lontayao",Fin,Lakas-Kampi,6502
Siquijor,Councilor,"Lopes De Andrade, Joy Abe",Joyax,Liberal Party,5472
Siquijor,Councilor,"Abing, Jose Jay Cabanlit",Jay Jay,Lakas-Kampi,5801
Siquijor,Councilor,"Sibonga, Jefferson Recomo",Jeff,Lakas-Kampi,6118
Siquijor,Councilor,"Jumawan, Dollie Gabin",Dol,Lakas-Kampi,6448
Siquijor,Councilor,"Tumarong, Demnah Dussell Calunod",Nonoy,Lakas-Kampi,6656
Siquijor,Councilor,"Calunod, Amado Tumapon",Mads,Lakas-Kampi,7008
Siquijor,Councilor,"Duhaylungsod, Jimmy Veradio",Jim,Lakas-Kampi,7578
Siquijor,Councilor,"Angas, Romnick Cabaong",Nick,Independent,9491
