city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Allen,Mayor,"Suan, Rod Laurean Dubongco",Talaboy,Liberal Party,8576
Allen,Vice-Mayor,"Lavin, Marietta Pacho",Ayet,Liberal Party,8751
Allen,Councilor,"Lim, Erlinda Galino",Enda,Liberal Party,5330
Allen,Councilor,"Lao, Ruben Portes",Ben,Liberal Party,5460
Allen,Councilor,"Cabahug, Godoberto Cantiga",Godo,Liberal Party,5497
Allen,Councilor,"Marcelino, Jose Jr. Dayawon",Don-Don,Nacionalista Party,5531
Allen,Councilor,"Cajandab, Al Puaso",Alcapon,Liberal Party,5752
Allen,Councilor,"Cajandab, Mariano Tan",Anong,Liberal Party,5821
Allen,Councilor,"Gelomio, Silverio Managbanag",Beriong,Liberal Party,6170
Allen,Councilor,"Lim, Santos Ombrog",Sonny,Liberal Party,6689
Biri,Mayor,"Garcia, Jaime Jr. Pulga",Nongnong,Lakas-Kampi,2625
Biri,Vice-Mayor,"Tubelleza, Editha Honrubia",Edith,Lakas-Kampi,2601
Biri,Councilor,"Atienza, Josephine Chin",Joy,Lakas-Kampi,1959
Biri,Councilor,"Quiling, Manolito Matas",Litoy,Liberal Party,2069
Biri,Councilor,"Delos Reyes, Miguel Evangelista",Gel,Lakas-Kampi,2144
Biri,Councilor,"Frayres, Carmen Serrona",Mameng,Lakas-Kampi,2302
Biri,Councilor,"Deguzman, Edmund Estabillo",Ed,Liberal Party,2417
Biri,Councilor,"Loreto, Roger, Jr. Diaz",Nonoy,Lakas-Kampi,2636
Biri,Councilor,"Bernaldez, Amado Domalaon",Mado,Liberal Party,2697
Biri,Councilor,"Delos Reyes, Antonio Jr. Benzon",Dodoy,Liberal Party,3045
Bobon,Mayor,"Celespara, Reny Acero",Jing,Independent,3551
Bobon,Vice-Mayor,"Uy, Ligaya Tagros",Gayang,Independent,3487
Bobon,Councilor,"Casinas, Pelagio, Jr. Cerenado",Pe,Liberal Party,2817
Bobon,Councilor,"Jao, Ben Joseph Chan",Benjoe,Liberal Party,3174
Bobon,Councilor,"Balena, Danilo Gubat",Danny,Lakas-Kampi,3485
Bobon,Councilor,"Ramos, Randy Notarte",Randy,Independent,3614
Bobon,Councilor,"Boiser, Reynaldo Dilao",Alon,Independent,3647
Bobon,Councilor,"Lustico, Maria Aguirre",Iyang,Liberal Party,3669
Bobon,Councilor,"Tiberio, Rizal Serafin",Rizal,Lakas-Kampi,4537
Bobon,Councilor,"Gepollo, Porferio, Jr. Tobes",Jhun,Independent,4856
Capul,Mayor,"Bandal, Isidro Suan",Bano,Liberal Party,3706
Capul,Vice-Mayor,"Castillo, Veronica Babelonia",Dangdang,Lakas-Kampi,3460
Capul,Councilor,"Magdaraog, Nanette Ortego",-,Liberal Party,3195
Capul,Councilor,"Pasco, Renato Esquillo",Rene,Lakas-Kampi,3273
Capul,Councilor,"Castillo, Wenceslao Paulito",Weny,Lakas-Kampi,3372
Capul,Councilor,"Manaog, Carlos Orticio",Caroy,Liberal Party,3388
Capul,Councilor,"Bonabon, Asuncion Castillo",Ason,Liberal Party,3427
Capul,Councilor,"Castillo, Anthony Ian Babylonia",Ian,Lakas-Kampi,3434
