city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Bacolod,Mayor,"Miquiabas, Joselito Eguac",Nonoy,Lakas-Kampi,6822
Bacolod,Vice-Mayor,"Santos, Raymund Cogo",Mon,Lakas-Kampi,6027
Bacolod,Councilor,"Canda, Arnulfo Abang",Dodong,Lakas-Kampi,3718
Bacolod,Councilor,"Ampaso, Ismael Guinal",Kadi,Independent,3870
Bacolod,Councilor,"Mendez, Marie Joy Espinosa",Joy,Lakas-Kampi,4339
Bacolod,Councilor,"Zamora, Archer Calimpong",Ching,Lakas-Kampi,4556
Bacolod,Councilor,"Sanguila, Sittie Allyn Smith",Bulie,Lakas-Kampi,4560
Bacolod,Councilor,"Clapano, Quintin, Jr. Ababon",Boboy,Lakas-Kampi,4595
Bacolod,Councilor,"Duhaylungsod, Efimaco Vina",Makoy,Lakas-Kampi,5203
Bacolod,Councilor,"Marcera, Alfons Janssen Pati-An",Alfoy,Independent,5633
Baloi,Mayor,"Ali, Hanifa Palao",Hanie,Lakas-Kampi,9171
Baloi,Vice-Mayor,"Pacalundo, Gonaranao Samporna",Gona,Independent,7680
Baloi,Councilor,"Lope, NaSr.oding Dimapunung",Black Tiger,Lakas-Kampi,6187
Baloi,Councilor,"Campong, Cosain, Jr. Usman",Iyok,Independent,6241
Baloi,Councilor,"Yahya, Hadji Salic Ayoma",Salic,Lakas-Kampi,6283
Baloi,Councilor,"Ali, Qaharoddin Lomondot",Kahar,Lakas-Kampi,6338
Baloi,Councilor,"Palo, Jalil Baraguir",Kade,Independent,6445
Baloi,Councilor,"Mackno, Ibrahim Currie",Ever,Independent,6584
Baloi,Councilor,"Abdul, Asgarey Ali",Popoy,Independent,6620
Baloi,Councilor,"Rasol, Muhaimin Ali",Mocay,Lakas-Kampi,9175
Baroy,Mayor,"Obial, Eleuterio, Jr. Mariquit",Jun,Lakas-Kampi,5585
Baroy,Vice-Mayor,"Ong, William  Ii Roble",Bong,Lakas-Kampi,6357
Baroy,Councilor,"Gorecho, Jovencio Cua",Bebing,Nacionalista Party,4731
Baroy,Councilor,"Alvia, Zaldy Amparado",Boy,Independent,4959
Baroy,Councilor,"Canencia, Ricardo Cabatingan",Cardo,Nacionalista Party,5448
Baroy,Councilor,"Dela Pena, Jezreel Llanera",Dodong,Nacionalista Party,5542
Baroy,Councilor,"Tagalog, Oscar Cabal",Oca,Nacionalista Party,5597
Baroy,Councilor,"Serino, Jene Joseph Saceda",Jojo,Nacionalista Party,5658
Baroy,Councilor,"Ong, Edwin  I Roullo",Jun -Jun,Lakas-Kampi,5971
Baroy,Councilor,"Pangasian, Vicente Jr. Ruado",Junjun,Lakas-Kampi,7478
Iligan City,Mayor,"Cruz, Lawrence Lluch",Kiko,Liberal Party,63448
Iligan City,Vice-Mayor,"Dy, Henry Co",Henry,Liberal Party,52336
Iligan City,Councilor,"Zalsos, Jose Lacio",Joe,Liberal Party,31641
Iligan City,Councilor,"Openiano, Roy Lagunzad",Roy,Liberal Party,32772
Iligan City,Councilor,"Ruiz, Chonilo Ochotorena",Doc Nilo,Liberal Party,33350
Iligan City,Councilor,"Areola, Bayani Carbonell",Pastor,Liberal Party,34094
Iligan City,Councilor,"Sweet, Michelle Echavez",Michelle,Independent,39341
Iligan City,Councilor,"Anghay, Ariel Pareno",Ariel,Liberal Party,39967
Iligan City,Councilor,"Dalisay, Moises, Jr. De Guia",Moi,Liberal Party,43145
Iligan City,Councilor,"Larrazabal, Simplicio III Nanaman",Pisyong,Liberal Party,43332
Iligan City,Councilor,"Young, Marlene Lastimoso",Lyn,Nacionalista Party,44502
Iligan City,Councilor,"Siao, Frederick Wee",Freddie,Liberal Party,45699
Iligan City,Councilor,"Abragan, Providencio, Jr. Alcantara",Bong,Liberal Party,56468
Iligan City,Councilor,"Marzo, Ruderic Cait",Rudy,Liberal Party,57463
Kapatagan,Mayor,"Baguio, Benjie Yu",Tata,Lakas-Kampi,17668
Kapatagan,Vice-Mayor,"Gonzaga, Perlito Benosa",Lito,Lakas-Kampi,16744
Kapatagan,Councilor,"Tabaquero, Allan Carriedo",Allan,Lakas-Kampi,12204
Kapatagan,Councilor,"Basinillo, Liczar Obre",Anejo,Lakas-Kampi,12394
Kapatagan,Councilor,"Roullo, Romelie Jose Metillo",Toto,Lakas-Kampi,12519
Kapatagan,Councilor,"Bandiala, Guillermo Bordado",Dodong,Lakas-Kampi,13857
Kapatagan,Councilor,"Te, Jose Cabusao",Joe,Lakas-Kampi,14002
