city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aloran,Mayor,"Regalado, Jimmy Roa",Jimmy,Nationalista Party,6938
Aloran,Vice-Mayor,"Regalado, Lenard Natalia",Cho,Nationalista Party,6863
Aloran,Councilor,"Alas, Jeremias, Jr Arquiza",Jongjong,Lakas-Kampi,5729
Aloran,Councilor,"Buensalida, Fernand Quimno",Tata,Nationalista Party,5863
Aloran,Councilor,"Omega, Elias Ungab",Tibo,Nationalista Party,6432
Aloran,Councilor,"Roa, Junipher Arquiza",Insek,Nationalista Party,6433
Aloran,Councilor,"Caga-Anan, Rolando Aranas",Lando,Nationalista Party,7359
Aloran,Councilor,"Maghuyop, Artemio Bentana",Jun,Nationalista Party,7392
Aloran,Councilor,"Baz, Rolf Allan Olegario",Dokbaz,Nationalista Party,7549
Aloran,Councilor,"Cawit, Remy Toledo",Boy,Independent,8238
Baliangao,Mayor,"Jalosjos, Svetlana Pal",Lana,Lakas-Kampi,4682
Baliangao,Vice-Mayor,"Yap, Agapito Iii Echem",Jojo,Lakas-Kampi,4653
Baliangao,Councilor,"Puyod, Jaime Bendula",Me,Nationalista Party,3843
Baliangao,Councilor,"Velez, Joel Guillermo Bongcaron",Jojo,Lakas-Kampi,3886
Baliangao,Councilor,"Gooc, Roel Subrado",Nonot,Lakas-Kampi,3972
Baliangao,Councilor,"Bueno, Elsa Calunsag",Eling,Lakas-Kampi,3985
Baliangao,Councilor,"Armada, James Calongcong",Jimboy,Lakas-Kampi,4032
Baliangao,Councilor,"Yap, Ma Lourdes Echem",Nita,Lakas-Kampi,4103
Baliangao,Councilor,"Yap, Reynold Pactores",Nonoy,Lakas-Kampi,4265
Baliangao,Councilor,"Borbon, Rommel Cardino",Ying Ying,Nationalista Party,4506
Bonifacio,Mayor,"Dumanjug, Samson Rodrigo",Sammy,Lakas-Kampi,9723
Bonifacio,Vice-Mayor,"Dumanjug, Evelyn Capirig",Belen,Lakas-Kampi,9468
Bonifacio,Councilor,"Ponce, Cipriano Lumambas",Paning,Lakas-Kampi,4791
Bonifacio,Councilor,"Langga, Romeo Basalo",Rommy,Lakas-Kampi,4796
Bonifacio,Councilor,"Suco, Remegio Amad",Meyot,Lakas-Kampi,5657
Bonifacio,Councilor,"Enomar, Roger Erat",Roger,Lakas-Kampi,5683
Bonifacio,Councilor,"Gabo, Nicanor Quindao",Dunga,Lakas-Kampi,5783
Bonifacio,Councilor,"Roble, Rosario Albite",Rose,Lakas-Kampi,6609
Bonifacio,Councilor,"Cuizon, Bernardino Arnoza",Banden,Lakas-Kampi,6839
Bonifacio,Councilor,"Bulahan, Ricky Romo",Ric,Lakas-Kampi,7471
Calamba,Mayor,"Villanueva, Luisito , Jr Bergado",Jun-Jun,Nationalista Party,7193
Calamba,Vice-Mayor,"Enerio, Jesus Cuarto",Nonoy,Nationalista Party,7182
Calamba,Councilor,"Iman, Betty Monera",Bet,Nationalista Party,3715
Calamba,Councilor,"Neri, Nathaniel Arrieta",Boy Neri,Nationalista Party,4110
Calamba,Councilor,"Bolotaolo, Judelyn Echavia",Inday,Nationalista Party,4301
Calamba,Councilor,"Leonardo, Moises Dequet",Ses,Nationalista Party,4543
Calamba,Councilor,"Medija, Zenaida Cagatan",Aida,Nationalista Party,4563
Calamba,Councilor,"Intong, Joelito Guillena",Lito,Nationalista Party,4659
Calamba,Councilor,"Quiza, Jorge Balio",Jorge,Nationalista Party,4671
Calamba,Councilor,"Atay, Marjorie Yamuta",Marjorie Sarreal,Independent,4726
Clarin,Mayor,"Navarro, David Mabal",David,Lakas-Kampi,11306
Clarin,Vice-Mayor,"Roa, Emeterio, Sr Baril",Memeng,Nationalista Party,12139
Clarin,Councilor,"Garay, Maria Ismaelita Gerardo",Mylene,Nationalista Party,5924
Clarin,Councilor,"Medellin, Kimberly Ann D Butalid",Kim,Lakas-Kampi,5942
Clarin,Councilor,"Castro, Mario Chenn Tagaloguin",Doki,PMP,6178
Clarin,Councilor,"Garlit, Prince Mintalar",Toyong,Independent,6679
Clarin,Councilor,"Dabon, Jose, Sr Fulgueras",Pepe,Nationalista Party,6776
Clarin,Councilor,"Roa, Emeterio, Jr Dacer",Jojo,Nationalista Party,9484
Clarin,Councilor,"Navarro, Elsa Fuentes",El-El,Lakas-Kampi,9778
Clarin,Councilor,"Tagaloguin, Angelito Sarenas",Bonjing,Independent,10927
Concepcion,Mayor,"Vina, Juanidy Malandiay",Dodong,Lakas-Kampi,1245
Concepcion,Vice-Mayor,"Omandam, Ruben Malandiay",Ben,Lakas-Kampi,1171
Concepcion,Councilor,"Baluyos, Lucito Tamse",Loloy,Lakas-Kampi,833
Concepcion,Councilor,"Lamoste, Alfredo Tricarol",Loloy,Nationalista Party,850
Concepcion,Councilor,"Aranas, Rey Dinglasa",Dodong,Lakas-Kampi,874
Concepcion,Councilor,"Montipon, Ronel Juancho",Ondo,Lakas-Kampi,880
Concepcion,Councilor,"Anggo, Francisco Daque",Kiking,Independent,880
Concepcion,Councilor,"Rudas, Sergio Balladares",Ser,Independent,896
Concepcion,Councilor,"Domoyan, Feliciana Nagal",Shan,Lakas-Kampi,949
Concepcion,Councilor,"Cabasag, Rodolfo Gumonod",Loloy,Nationalista Party,950
Don Victoriano Chiongbian Don Mariano Marcos,Mayor,"Luna, Rodolfo Dicy",Rudy,Lakas-Kampi,2448
Don Victoriano Chiongbian Don Mariano Marcos,Vice-Mayor,"Hamoy, Annabelle Boza",Bel,Lakas-Kampi,2339
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Edullantes, Rogan Baguio",Rogan,Lakas-Kampi,1674
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Anchez, Renato Fuentes",Rene,Lakas-Kampi,1782
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Balvestamin, Harold-Howard Malalis",Hardy,Lakas-Kampi,2083
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Ursonal, Edwin Maloloy-On",Tawe,Lakas-Kampi,2502
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Llanes, Elsie Montimar",Els,Independent,2580
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Pondara, Elmer Malolot",Loloy,Independent,2586
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Ending, Virgelio Comilap",Ver,Lakas-Kampi,2662
Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Mag-Usara, Nida Paje",Nid,Independent,2718
Jimenez,Mayor,"Limquimbo, Ranulfo Bomediano",Ray Quimbo,Nationalista Party,9355
Jimenez,Vice-Mayor,"Lim, Norma Delgado",Bebe,Nationalista Party,9223
Jimenez,Councilor,"Uy, Ildefonso Apao",Dick,Nationalista Party,5432
Jimenez,Councilor,"Arbotante, Epher Putis",Per,Nationalista Party,5809
Jimenez,Councilor,"Yabo, Rogelio Montejo",Roger,Nationalista Party,6229
Jimenez,Councilor,"Sullano, Vede Lasta",Sullano,Nationalista Party,6360
Jimenez,Councilor,"Galindo, Benjamin Castaneda",Ben,Nationalista Party,6768
Jimenez,Councilor,"Serino, Emma Chan",Emma,Nationalista Party,7192
Jimenez,Councilor,"Chiong, Joselito Cajatol",Jojo Chiong,Nationalista Party,8142
Jimenez,Councilor,"Medez, Marilyn Quimbo",Marie Quimbo,Nationalista Party,8312
Lopez Jaena,Mayor,"Migrino, Martin Cale",Nonoy,Lakas-Kampi,6003
Lopez Jaena,Vice-Mayor,"Taclob, Israelson Florida",Dodong,Lakas-Kampi,6287
Lopez Jaena,Councilor,"Buaquina, Dionisio Apao",Dione,Nationalista Party,4499
Lopez Jaena,Councilor,"Alon, Nicasio Dagondong",Nick,Lakas-Kampi,5028
Lopez Jaena,Councilor,"Gerbese, Abundio Potot",Bonjing,Lakas-Kampi,5346
Lopez Jaena,Councilor,"Taclob, Fe Francisca Dagatan",Fe,Lakas-Kampi,5458
Lopez Jaena,Councilor,"Bergado, Jay Magsayo",Jay,Nationalista Party,5565
Lopez Jaena,Councilor,"Cepe, Florepes Calog",Flor,Nationalista Party,5669
Lopez Jaena,Councilor,"Gutierrez, Michael Pasiol",Mike,Liberal Party,5866
Lopez Jaena,Councilor,"Hosier, Gloria Lambaco",Glo,Independent,7456
Oroquieta City,Mayor,"Almonte, Jason Paredes",Jingjing,Lakas-Kampi,18704
Oroquieta City,Vice-Mayor,"Guantero, Harry Jabonillo",Bong,Lakas-Kampi,19721
Oroquieta City,Councilor,"Digal, Leocadio, Jr Almonte",Oscar,Lakas-Kampi,16596
