city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alubijid,Mayor,"Labis, Alvin Giovanni Abrio",Alvin,Lakas-Kampi,8256
Alubijid,Vice-Mayor,"Jamis, Emmanuel Labis",Emy,Lakas-Kampi,7402
Alubijid,Councilor,"Abaday, Lee Caseres",Tingan,Lakas-Kampi,5079
Alubijid,Councilor,"Galarrita, Ralph, Jr. Bacabis",Chip,Nationalista Party,5090
Alubijid,Councilor,"Generalao, Vicente Jr. Jamis",Engr.,Lakas-Kampi,5130
Alubijid,Councilor,"Vacalares, Francisco Jr. Galarrita",Junie,Nationalista Party,5278
Alubijid,Councilor,"Aranjuez, Mona Lisa Ebabacol",Mona,Lakas-Kampi,5691
Alubijid,Councilor,"Somo, Melania Lagsa",Lanie,Lakas-Kampi,5741
Alubijid,Councilor,"Ubay-Ubay, Ricky Labis",Ricky,Lakas-Kampi,6278
Alubijid,Councilor,"Tomampoc, Roy Enerio",Roy,Lakas-Kampi,6324
Balingasag,Mayor,"Quina, Alexis Salvacion",Alex,Lakas-Kampi,16982
Balingasag,Vice-Mayor,"Abogado, Marrietta Roa",Mayet,Lakas-Kampi,13553
Balingasag,Councilor,"Rio, Dante Ubalde",Dan,Nationalista Party,9304
Balingasag,Councilor,"Valmoria, Virgilio Pacheco",Dodong,Lakas-Kampi,9389
Balingasag,Councilor,"Valmores, Redeemer, Jr. Cabiluna",Leri,Lakas-Kampi,10183
Balingasag,Councilor,"Saarenas, Ramonito Valmoria",Monet,Lakas-Kampi,10303
Balingasag,Councilor,"Mundo, Elfigo Roa",Dodo,Independent,10541
Balingasag,Councilor,"Galvez, Nathaniel Galapin",Thaniel,Lakas-Kampi,11380
Balingasag,Councilor,"Paclar, Teresito Maestre",Sito,Lakas-Kampi,11722
Balingasag,Councilor,"Cubillo, Nestor Lorenzo Macas",Neil,Lakas-Kampi,14510
Balingoan,Mayor,"Espero, Perlita Ilogon",Bebie,Lakas-Kampi,2744
Balingoan,Vice-Mayor,"Panulaya, Pedro Querol",Dong,Lakas-Kampi,3302
Balingoan,Councilor,"Abregana, Narciso Waban",Dongdong,Lakas-Kampi,2503
Balingoan,Councilor,"Joo, Diomediza Olinan",Joy,Lakas-Kampi,2653
Balingoan,Councilor,"Mercado, Agosto Chuy",Andy,Nationalista Party,2722
Balingoan,Councilor,"Santos, Alberto, Jr. Brodith",Jun,Nationalista Party,2748
Balingoan,Councilor,"Espero, Danilo Suner",Colonel,Lakas-Kampi,2921
Balingoan,Councilor,"Budlao, Rogelio Pajaron",Tata,Nationalista Party,3037
Balingoan,Councilor,"Cabresos, Wilfredo Abian",Boy,Nationalista Party,3172
Balingoan,Councilor,"Branzuela, Rico Quijada",Coy,Nationalista Party,3431
Binuangan,Mayor,"Gumahin, Tomas Rayos",Tommy,Lakas-Kampi,2346
Binuangan,Vice-Mayor,"Ty, Elvie Dagayray",Bing,Nationalista Party,2287
Binuangan,Councilor,"Bodiongan, Rico Valmoria",Tata,Lakas-Kampi,2100
Binuangan,Councilor,"Hebia, Irene Ty",I,Nationalista Party,2137
Binuangan,Councilor,"Pabellan, Dahlia Palamine",Tata,Lakas-Kampi,2324
Binuangan,Councilor,"Nahial, Rene Dalugdug",Ren,Lakas-Kampi,2436
Binuangan,Councilor,"Tagupa, Ricardo Samon",Cadoy,Nationalista Party,2575
Binuangan,Councilor,"Abao, Reynaldo Yap",Eni,Nationalista Party,2624
Binuangan,Councilor,"Abao, Marcelo Zulita",Mar,Lakas-Kampi,2628
