city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Bansalan,Mayor,"Reyes, Edwin Granada",Edwin,Nacionalista Party,13654
Bansalan,Vice-Mayor,"Gallardo, Arnel Melo",Atong,Lakas-Kampi,13390
Bansalan,Councilor,"Abril, Liza Rosello",Liza,Nacionalista Party,8640
Bansalan,Councilor,"Potestas, Guillermo Natividad",Gilling,Nacionalista Party,8644
Bansalan,Councilor,"Telmo, Eduardo Nueva",Eddie,Nacionalista Party,9693
Bansalan,Councilor,"Lao, Fe Saguiguit",Fe,Nacionalista Party,9850
Bansalan,Councilor,"Gutierrez, Alfredo Boroy",Al,Lakas-Kampi,10080
Bansalan,Councilor,"Sarte, Quirina Tubil",Quilin,Nacionalista Party,10855
Bansalan,Councilor,"Bonilla, Nestor Martin",Nestor,Nacionalista Party,11002
Bansalan,Councilor,"Gallardo, Armand Anthony Melo",Gogoy,Lakas-Kampi,11910
Digos City,Mayor,"Penas, Joseph Roble",Jojo,Nacionalista Party,31284
Digos City,Vice-Mayor,"Hermosisima, Reynaldo Siton",Rey Hermo,Nacionalista Party,29524
Digos City,Councilor,"Taruc, Rosito Carpentero",Power,Nacionalista Party,22092
Digos City,Councilor,"Cadungog, Concepcion Regidor",Ching,Nacionalista Party,22430
Digos City,Councilor,"Senajon, Serafin, Jr. Salvani",Jun,Nacionalista Party,23807
Digos City,Councilor,"Bana, Jomari Gomez",Jo,Nacionalista Party,24217
Digos City,Councilor,"Dumogho, Salvador III Lim",Badong,Nacionalista Party,25515
Digos City,Councilor,"Navidad, Myra Dahlia Mejares",Maymay,Nacionalista Party,26010
Digos City,Councilor,"Llanos, Raul Enriquez",Daddy Raul,Nacionalista Party,26195
Digos City,Councilor,"Latasa, Michael Requina",Mike,Nacionalista Party,27996
Digos City,Councilor,"Gabutero, Lani Montero",Lani,Nacionalista Party,31581
Digos City,Councilor,"Cadilig, Eddie, Sr. Ceballos",Kap,Nacionalista Party,33813
Don Marcelino,Mayor,"Johnson, John Harvey",John,Independent,8627
Don Marcelino,Vice-Mayor,"Maruya, Michael Angkang",Mikel,Independent,7731
Don Marcelino,Councilor,"Pore, Pablo, Jr. Masaglang",Boy,Independent,5142
Don Marcelino,Councilor,"Ismael, Baning Matub",Baning,Independent,5481
Don Marcelino,Councilor,"Johnson, Stephen Perkins",Steve,Independent,5792
Don Marcelino,Councilor,"Bansil, Jaime Pagalangan",Jim,Independent,5990
Don Marcelino,Councilor,"Sasuman, Ruel Jerome Albores",Jerry,Independent,6129
Don Marcelino,Councilor,"Carriaga, Ryan John Anuada",Ryan,Independent,7071
Don Marcelino,Councilor,"Llanto, Reynold Garte",Noli,Independent,7309
Don Marcelino,Councilor,"Blangket, Annie Maway",Ann-Ann,Independent,8233
