city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Alabel,Mayor,"Grafilo, Corazon Sunga",Azon,People's Champ Movement,11329
Alabel,Vice-Mayor,"Salarda, Vic Paul Molina",Nonoy,People's Champ Movement,15409
Alabel,Councilor,"Alaba, Moises Araquin",Dodo,Lakas-Kampi,9375
Alabel,Councilor,"Arnado, Irish Louie Dapal",Giging,People's Champ Movement,9668
Alabel,Councilor,"Villamora, Paul Allen Bayadong",Paul,Lakas-Kampi,9987
Alabel,Councilor,"Flores, Marivic Orencio",Vic-Vic,Lakas-Kampi,10162
Alabel,Councilor,"Dambong, Menandro Alonto",Bong,People's Champ Movement,10552
Alabel,Councilor,"Aton, Joel Espedillon",Wel,Lakas-Kampi,10796
Alabel,Councilor,"Villarico, Lotis Emnace",Lotis,People's Champ Movement,10908
Alabel,Councilor,"Senit, Mark Lester Flores",Mark,People's Champ Movement,11687
Glan,Mayor,"Yap, Victor James, Sr. Barrera",Tata,People's Champ Movement,20529
Glan,Vice-Mayor,"Yap, Vivien Barrera",Vivien,People's Champ Movement,19247
Glan,Councilor,"Daquigan, Bienvenido, Sr. De La Rosa",Bening,People's Champ Movement,14757
Glan,Councilor,"Lopez, Pedrito, Sr. Bayani",Tikboy,People's Champ Movement,14791
Glan,Councilor,"Saya-Ang, Eduardo, Sr. Tapang",Eddie,People's Champ Movement,16224
Glan,Councilor,"Canete, Isedrito Poncardas",Orito,People's Champ Movement,16515
Glan,Councilor,"Cerna, Angelito Langomez",Lito,People's Champ Movement,16773
Glan,Councilor,"Alegado, Vannevar Baltazar",Vanny,People's Champ Movement,17914
Glan,Councilor,"Ruiz, Jose Tranquilino Librea",Dodong,People's Champ Movement,18260
Glan,Councilor,"Yap, Cyril John Rustico Gido",Cyril,People's Champ Movement,20243
Kiamba,Mayor,"Martinez, Raul Callueng",Danny,People's Champ Movement,12085
Kiamba,Vice-Mayor,"Valle, Regino Mondragon",Regi,Puwersa ng Masang Pilipino,7254
Kiamba,Councilor,"Amo, Willo Vengano",Boy,People's Champ Movement,7135
Kiamba,Councilor,"Amador, Reynardo Baltazar Caing",Rico,People's Champ Movement,7473
Kiamba,Councilor,"Fado, Jaime Sancala",Toot,Lakas-Kampi,7620
Kiamba,Councilor,"Balanag, Joaquin, Jr. Pico",Tata,People's Champ Movement,8444
Kiamba,Councilor,"Mondragon, Cesar Alberto",Cesar,People's Champ Movement,9080
Kiamba,Councilor,"Aquino, Florentino Cala-Or",Ading,People's Champ Movement,9226
Kiamba,Councilor,"Pimentel, James Solomon Falgui",James,Lakas-Kampi,9983
Kiamba,Councilor,"Martinez, Danny Accompanado",Bogi,People's Champ Movement,10937
Maasim,Mayor,"Zamorro, Jose Atienza",Jose,Independent,5321
Maasim,Vice-Mayor,"Cutan, Uttoh Salem Daud",Toh,Independent,5044
Maasim,Councilor,"Lanticse, Teresita Licanda",Inday,Independent,3851
Maasim,Councilor,"Tano, Liezel Sarsosa",Tata,People's Champ Movement,4103
Maasim,Councilor,"Mantua, Rosario Carnalna",Bebeng,Independent,4487
Maasim,Councilor,"Macabangon, Marlon Gundul",Marlon,Liberal Party,4501
Maasim,Councilor,"Tabalao, Luna Buyoc",Lon Lon,Lakas-Kampi,4526
Maasim,Councilor,"Nambatac, Visitacion Sasil",Tessie,Lakas-Kampi,4654
Maasim,Councilor,"Carnalna, Geofray Zamorro",Geof,People's Champ Movement,5299
Maasim,Councilor,"Belocura, Romeo Cavalida",Rom,Lakas-Kampi,5582
Maitum,Mayor,"Perrett, Elsie Lucille Rudes",Baby,Lakas-Kampi,6665
Maitum,Vice-Mayor,"Balazon, Tito, Sr. Tazal",Tits,People's Champ Movement,7006
