region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,WCC,-,-,-,-,-,-,-,-,-,-,-,-,0
CAR,Baguio,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
CAR,Baguio,G. Aviation,165,280,245,205,39,81,74,-,-,-,-,-,1089
CAR,Baguio,Military,29,9,224,153,-,8,16,-,-,-,-,-,439
I (Ilocos Norte),Laoag (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,158,2143,-,-,-,-,-,2301
I (Ilocos Norte),Laoag (International),HK Express,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),PAL,11047,9889,11722,10434,9605,8620,9170,-,-,-,-,-,70487
I (Ilocos Norte),Laoag (Domestic),Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,5779,5639,6355,6505,6013,5305,5038,-,-,-,-,-,40634
I (Ilocos Norte),Laoag (Domestic),Seair,-,-,-,4555,5092,2525,778,-,-,-,-,-,12950
I (Ilocos Norte),Laoag (Domestic),WCC,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Air Republic ,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Far East Avia.,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Paco,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Sky Pasada,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),G. Aviation,-,18,-,-,-,41,3,-,-,-,-,-,62
I (Ilocos Norte),Laoag (Domestic),Military,-,1,-,-,-,-,-,-,-,-,-,-,1
I (Ilocos Norte),Lingayen,G. Aviation,2274,1496,1414,1704,2089,1704,1653,-,-,-,-,-,12334
I (Ilocos Norte),Lingayen,Military,-,16,70,-,-,-,-,-,-,-,-,-,86
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,North South Air,128,199,180,96,87,331,52,-,-,-,-,-,1073
I (Ilocos Norte),Vigan,G. Aviation,444,509,775,605,658,605,580,354,-,-,-,-,4530
I (Ilocos Norte),Vigan,Military,-,-,98,-,-,-,-,-,-,-,-,-,98
II (Cagayan Valley),Bagabag,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Bagabag,Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Royal Star,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,North Sky Air,365,587,425,35,87,88,141,142,-,-,-,-,1870
II (Cagayan Valley),Basco,Sky Jet,1223,1548,2666,3303,1999,738,-,-,-,-,-,-,11477
II (Cagayan Valley),Basco,PAL Express,-,-,-,18,1867,1566,1312,1301,-,-,-,-,6064
II (Cagayan Valley),Basco,JG Aircraft,-,-,-,-,332,-,-,-,-,-,-,-,332
II (Cagayan Valley),Basco,FEAS,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Sky Pasada,-,-,51,826,914,605,297,311,-,-,-,-,3004
II (Cagayan Valley),Basco,G. Aviation,190,-,51,149,50,35,13,-,-,-,-,-,488
II (Cagayan Valley),Basco,Military,-,-,12,-,10,-,-,-,-,-,-,-,22
II (Cagayan Valley),Cauayan,Cyclone Flying,773,43,258,166,232,138,236,-,-,-,-,-,1846
II (Cagayan Valley),Cauayan,Cebu Pacific,3203,2457,3440,3744,3859,3077,3626,-,-,-,-,-,23406
II (Cagayan Valley),Cauayan,PAL,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Cauayan,Cyclone Airways,-,779,995,917,1084,878,419,-,-,-,-,-,5072
II (Cagayan Valley),Cauayan,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Cauayan,WCC,4,-,-,-,-,168,555,-,-,-,-,-,727
II (Cagayan Valley),Cauayan,G. Aviation,369,53,96,89,145,67,115,-,-,-,-,-,934
II (Cagayan Valley),Itbayat,JG Aircraft,-,-,-,-,309,-,-,-,-,-,-,-,309
II (Cagayan Valley),Itbayat,Royal Air,20,-,-,-,-,-,-,-,-,-,-,-,20
II (Cagayan Valley),Itbayat,North Sky Air,29,-,-,-,16,61,70,-,-,-,-,-,176
II (Cagayan Valley),Itbayat,Air Republic ,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,Aviation Ent.,-,-,-,-,16,-,-,-,-,-,-,-,16
