region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,WCC Skypasada,-,-,-,-,-,-,-,-,-,-,-,-, -   
CAR,Baguio,A. Spirit,-,-,-,-,-,-,-,-,-,-,-,-, -   
CAR,Baguio,G. Aviation,115,116,134,90,44,57,14,67,61,37,173,119,1027
CAR,Baguio,Military,26,267,295,-,-,114,-,51,231,6,144,63,1197
I (Ilocos Norte),Laoag (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,1311,-,-,-,-,-,-,1311
I (Ilocos Norte),Laoag (International),Hongkong Express,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (International),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (International),China Eastern ,-,-,-,-,-,-,1464,2234,19636,1082,1177,2117,27710
I (Ilocos Norte),Laoag (International),Hongkong Airlines,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (Domestic),PAL,13458,12868,14642,9327,13493,11053,10198,8600,8553,8830,10364,13045,134431
I (Ilocos Norte),Laoag (Domestic),Air Philippine,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,3104,3292,3562,3465,3772,3370,2881,2398,6535,2433,2748,3445,41005
I (Ilocos Norte),Laoag (Domestic),WCC Skypasada,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (Domestic),Aeroflite Av. Corp,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (Domestic),Far East Avia.,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (Domestic),Paco,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (Domestic),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (Domestic),Sky Pasada,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Laoag (Domestic),G. Aviation,6,-,-,4,-,8,20,-,-,-,55,-,93
I (Ilocos Norte),Laoag (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Lingayen,G. Aviation,1555,2427,1822,1672,1872,2138,1344,1720,2249,1732,1521,1032,21084
I (Ilocos Norte),Lingayen,Military,24,-,6,-,-,-,-,-,-,4,-,-,34
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Vigan,North South Air,-,-,-,-,-,-,-,-,-,-,-,-, -   
I (Ilocos Norte),Vigan,G. Aviation,742,1089,994,1182,1018,851,527,2293,842,1438,1520,920,13416
