region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,A. Spirit,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
CAR,Baguio,G. Aviation,186,50,82,56,56,20,2,32,32,38,58,52,664
CAR,Baguio,Military,14,24,24,2,14,10,10,12,42,20,8,              -  ,180
I (Ilocos Norte),Laoag (International),Cebu Pacific,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Laoag (International),China S. Air,18,6,6,            -  ,2,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,32
I (Ilocos Norte),Laoag (International),Mandarin Airlines,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Laoag (International),HK Express,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Laoag (International),Air Macao,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Laoag (Domestic),PAL,90,80,80,102,108,104,108,102,76,98,104,118,1170
I (Ilocos Norte),Laoag (Domestic),Air Philippine,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,64,56,56,62,62,64,64,66,56,66,64,62,742
I (Ilocos Norte),Laoag (Domestic),Aeroflite Av. Corp,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,60,            -  ,              -  ,              -  ,60
I (Ilocos Norte),Laoag (Domestic),Far East Avia.,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Laoag (Domestic),WCC Skypasada,            -  ,            -  ,            -  ,,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Laoag (Domestic),G. Aviation,66,102,            -  ,296,96,112,68,74,38,122,94,114,1182
I (Ilocos Norte),Laoag (Domestic),Military,2,            -  ,            -  ,2,            -  ,            -  ,             -  ,            -  ,12,            -  ,2,              -  ,18
I (Ilocos Norte),Lingayen,G. Aviation,4554,3692,4310,4058,3898,3642,3738,4210,3682,3702,4356,2322,46164
I (Ilocos Norte),Lingayen,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,70,            -  ,              -  ,              -  ,70
I (Ilocos Norte),San Fernando,G. Aviation, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Vigan,Lion Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Vigan,Seair,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
I (Ilocos Norte),Vigan,North South Air,            -  ,22,22,            -  ,12,12,10,10,8,            -  ,              -  ,              -  ,96
I (Ilocos Norte),Vigan,G. Aviation,            -  ,328,380,366,386,            -  ,214,278,370,332,200,              -  ,2854
I (Ilocos Norte),Vigan,Military,            -  ,            -  ,            -  ,            -  ,4,6,             -  ,            -  ,14,32,              -  ,              -  ,56
II (Cagayan Valley),Bagabag,G. Aviation,            -  ,            -  ,6,            -  ,2,6,             -  ,6,               -  ,6,              -  ,12,38
II (Cagayan Valley),Bagabag,Cyclone Airways,            -  ,4,            -  ,6,            -  ,            -  ,             -  ,            -  ,4,            -  ,              -  ,              -  ,14
II (Cagayan Valley),Bagabag,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,2,              -  ,              -  ,2
II (Cagayan Valley),Basco,PALEX,62,56,62,124,124,60,54,42,42,44,62,100,832
II (Cagayan Valley),Basco,WCC Skypasada,32,22,28,44,54,28,30,22,28,34,38,48,408
II (Cagayan Valley),Basco,North Sky Airways,60,42,38,52,28,12,6,8,6,6,30,40,328
II (Cagayan Valley),Basco,Sky Jet,2,24,34,36,32,28,20,18,14,26,              -  ,28,262
II (Cagayan Valley),Basco,USMC,2,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,2
II (Cagayan Valley),Basco,Military,4,            -  ,            -  ,4,4,            -  ,             -  ,4,               -  ,            -  ,2,              -  ,18
II (Cagayan Valley),Basco,G. Aviation,            -  ,4,10,20,            -  ,2,             -  ,2,               -  ,2,              -  ,              -  ,40
II (Cagayan Valley),Cauayan,Cebu Pacific,26,24,            -  ,26,26,30,32,36,32,36,32,34,334
II (Cagayan Valley),Cauayan,G. Aviation,6,6,            -  ,26,42,8,10,4,4,4,6,36,152
II (Cagayan Valley),Cauayan,North Sky Airways,            -  ,            -  ,            -  ,            -  ,            -  ,2,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,2
II (Cagayan Valley),Cauayan,PALEX,            -  ,            -  ,            -  ,            -  ,2,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,2
II (Cagayan Valley),Cauayan,Seair,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Cauayan,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Cauayan,Cyclone Airways,182,194,            -  ,260,392,304,256,228,164,136,182,112,2410
II (Cagayan Valley),Cauayan,Cyclone Flying,26,36,            -  ,18,10,72,10,34,2,20,70,54,352
II (Cagayan Valley),Cauayan,WCC Skypasada,52,28,            -  ,62,42,26,             -  ,            -  ,               -  ,,2,              -  ,212
II (Cagayan Valley),Itbayat,Sky pasada,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Itbayat,North Sky Airways,34,            -  ,16,30,12,            -  ,             -  ,            -  ,               -  ,            -  ,14,12,118
II (Cagayan Valley),Itbayat,Mid Sea Express,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Itbayat,Air Republic,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Itbayat,G. Aviation,            -  ,            -  ,            -  ,10,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,10
II (Cagayan Valley),Itbayat,Cyclone Airways,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Palanan,Cyclone Airways,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Palanan,WCC Skypasada,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Palanan,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Palanan,Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (International),G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (International),Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,78,72,78,80,82,76,78,36,72,64,72,78,866
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippine,40,56,60,60,62,44,28,82,30,38,50,66,616
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Airways,44,46,46,50,42,62,26,42,18,72,92,118,658
II (Cagayan Valley),Tuguegarao (Domestic),Lion Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada,50,34,48,70,86,64,64,54,16,52,42,52,632
II (Cagayan Valley),Tuguegarao (Domestic),ATX,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (Domestic),Mid Sea Express,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (Domestic),Florida Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Airways,6,2,            -  ,            -  ,            -  ,4,             -  ,4,               -  ,            -  ,              -  ,              -  ,16
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,62,20,20,28,12,8,2,70,14,24,28,26,314
II (Cagayan Valley),Tuguegarao (Domestic),Military,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
III (Central Luzon),Iba,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
III (Central Luzon),Subic,International, no report submitted ,,,,,,,,,,,,             -  
III (Central Luzon),Subic,Domestic, no report submitted ,,,,,,,,,,,,             -  
III (Central Luzon),Subic,G. Aviation, no report submitted ,,,,,,,,,,,,
III (Central Luzon),Diosdado Macapagal International Airport,International, no report submitted ,,,,,,,,,,,,
III (Central Luzon),Diosdado Macapagal International Airport,Domestic, no report submitted ,,,,,,,,,,,,
III (Central Luzon),Plaridel,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
NCR,NAIA,International,8228,7216,7814,15992,16056,15146,15406,15698,15060,15592,15432,16626,164266
NCR,NAIA,Domestic,12588,11316,11316,25574,26454,23324,22414,23414,20938,23306,23192,24008,247844
NCR,NAIA,G. AVIATION,2640,2662,12494,5418,5912,4834,4206,4732,4138,5054,4792,4788,61670
IV-A (CALABARZON)),Alabat,G. Aviation, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
III (Central Luzon),Baler,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Busuanga,Air Philippine,114,82,90,            -  ,124,216,192,214,180,192,188,174,1766
IV-B (MIMAROPA),Busuanga,Cebu Pacific,186,164,160,            -  ,218,216,192,214,180,192,188,174,2084
IV-B (MIMAROPA),Busuanga,A. Spirit,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
IV-B (MIMAROPA),Busuanga,Sky Jet,            -  ,18,24,            -  ,36,16,             -  ,4,4,            -  ,              -  ,12,114
IV-B (MIMAROPA),Busuanga,Air Juan,            -  ,            -  ,            -  ,            -  ,18,18,16,22,24,32,16,36,182
IV-B (MIMAROPA),Busuanga,G. Aviation,336,178,182,            -  ,238,176,142,180,150,132,142,222,2078
IV-B (MIMAROPA),Calapan,G. Aviation,            -  ,            -  ,            -  ,            -  ,402,            -  ,             -  ,            -  ,,            -  ,              -  ,              -  ,402
IV-B (MIMAROPA),Cuyo,Seair, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
