region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
CAR,Baguio,Asian Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,-
CAR,Baguio,G. Aviation,126,168,156,120,82,46,84,0,0,0,0,0,782,-
CAR,Baguio,Military,12,4,46,12,0,10,6,0,0,0,0,0,90,-
I (Ilocos Norte),Laoag (International),Cebu Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Laoag (International),China S. Air,0,0,0,0,0,2,18,0,0,0,0,0,20,-
I (Ilocos Norte),Laoag (International),Mandarin Airlines,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Laoag (International),HK Express,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Laoag (International),Air Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Laoag (Domestic),PAL,116,88,106,86,88,84,92,0,0,0,0,0,660,-
I (Ilocos Norte),Laoag (Domestic),Air Philippines,4,0,0,0,0,0,0,0,0,0,0,0,4,-
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,64,58,64,62,66,62,62,0,0,0,0,0,438,-
I (Ilocos Norte),Laoag (Domestic),Seair,0,0,0,54,60,42,16,0,0,0,0,0,172,-
I (Ilocos Norte),Laoag (Domestic),Air Republic ,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Laoag (Domestic),Far East Avia.,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Laoag (Domestic),WCC,0,0,0,-,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Laoag (Domestic),G. Aviation,58,56,88,60,30,64,74,0,0,0,0,0,430,-
I (Ilocos Norte),Laoag (Domestic),Military,0,2,2,0,0,0,2,0,0,0,0,0,6,-
I (Ilocos Norte),Lingayen,G. Aviation,5122,3922,2684,4422,5084,4250,3348,0,0,0,0,0,28832,-
I (Ilocos Norte),Lingayen,Military,0,32,60,0,8,0,0,0,0,0,0,0,100,-
I (Ilocos Norte),San Fernando,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Vigan,Lion Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Vigan,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0,-
I (Ilocos Norte),Vigan,North South Air,24,28,26,12,18,30,6,-,0,0,0,0,144,-
I (Ilocos Norte),Vigan,G. Aviation,238,246,358,314,352,294,306,172,0,0,0,0,2280,-
I (Ilocos Norte),Vigan,Military,0,0,36,0,0,0,0,0,0,0,0,0,36,-
II (Cagayan Valley),Bagabag,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Bagabag,Cyclone Airways,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Basco,Cyclone Airways,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Basco,Seair,0,0,0,0,0,0,0,0,0,-,0,0,0,-
II (Cagayan Valley),Basco,Lion Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Basco,North Sky Air,54,1174,60,8,14,16,28,28,0,0,0,0,1382,-
II (Cagayan Valley),Basco,Sky Jet,20,24,40,44,28,16,0,0,0,0,0,0,172,-
II (Cagayan Valley),Basco,PAL Express,0,0,0,4,28,26,24,24,0,0,0,0,106,-
II (Cagayan Valley),Basco,JG Aircraft,0,0,0,0,38,0,0,0,0,0,0,0,38,-
II (Cagayan Valley),Basco,FEAS,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Basco,Sky Pasada,0,0,4,52,60,40,24,26,0,0,0,0,206,-
II (Cagayan Valley),Basco,Military,0,0,2,0,2,0,0,0,0,0,0,0,4,-
II (Cagayan Valley),Basco,G. Aviation,58,0,10,32,8,8,4,0,0,0,0,0,120,-
II (Cagayan Valley),Cauayan,Cebu Pacific,26,26,26,26,28,24,28,0,0,0,0,0,184,-
II (Cagayan Valley),Cauayan,G. Aviation,110,106,18,22,24,8,32,0,0,0,0,0,320,-
II (Cagayan Valley),Cauayan,PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Cauayan,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Cauayan,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
