city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Akbar,Mayor,"Sali, Alih Awal",Alex,Liberal Party,3342
Akbar,Vice-Mayor,"Yusop, Abdulhalik Sahalul",Lexdeth,Liberal Party,3116
Akbar,Councilor,"Sali, Imraki Samputoh",Kotoy,Liberal Party,3033
Akbar,Councilor,"Alam, Sali Hakim",Intong,Liberal Party,2703
Akbar,Councilor,"Muslimin, Nurie Eloh",Salman,Liberal Party,2629
Akbar,Councilor,"Birung, Mohammad Abdulla",Mhadz,Liberal Party,2523
Akbar,Councilor,"Antih, Gamal Hirayat",Gams,Liberal Party,2501
Akbar,Councilor,"Monbo, Jabbal Ibrahim",Jubair,Liberal Party,2312
Akbar,Councilor,"Turabin, Abdulmajid Dalinding",Karih,Liberal Party,2240
Akbar,Councilor,"Salih, Sappali Masnun",Pal,Liberal Party,2036
Al-Barka,Mayor,"Lajid, Darussalam Saguindilan",Darus,Puwersa ng Masang Pilipino,3512
Al-Barka,Vice-Mayor,"Sapi-E, Alih Alsaidi Jamli",Al,Puwersa ng Masang Pilipino,2231
Al-Barka,Councilor,"Jakilan, Mohammad Jannatul",Ammad,Puwersa ng Masang Pilipino,2672
Al-Barka,Councilor,"Ganarul, Hairi Hassan",Hay,Liberal Party,2639
Al-Barka,Councilor,"Tamma, Abdulhamid Maranie",Hji Hamid,Liberal Party,2423
Al-Barka,Councilor,"Indal, Adznan Tanjilani",Anninuh,Liberal Party,2288
Al-Barka,Councilor,"Abanti, Hasid Ajalil",Tiboy,Puwersa ng Masang Pilipino,2194
Al-Barka,Councilor,"Jannatin, Sawad Kullalul",Hji Darwis,Liberal Party,2162
Al-Barka,Councilor,"Sandung, Rasid Sali",Ras,Padayon Pilipino,2158
Al-Barka,Councilor,"Yusoph, Bhenzar Jallaha",Bhen,Liberal Party,1966
Hadji Mohammad Ajul,Mayor,"Pawaki, Talib Garingan",Talib or Tals,Liberal Party,3816
Hadji Mohammad Ajul,Vice-Mayor,"Pawaki, Mucarma Iraji",Aya or Hj. Aya,Liberal Party,3432
Hadji Mohammad Ajul,Councilor,"Lamla, Maimuna Sali",May,Liberal Party,3858
Hadji Mohammad Ajul,Councilor,"Totoh, Jaimar Sali",Jhay,Liberal Party,3262
Hadji Mohammad Ajul,Councilor,"Muntasil, Nur-Amin Narimin",Ponsong,Liberal Party,2784
Hadji Mohammad Ajul,Councilor,"Camlian, Basit Jalilul",King / Boy / Basit,Liberal Party,2666
Hadji Mohammad Ajul,Councilor,"Saluwan, Abdulsuhud Parajan",Big Boy,Padayon Pilipino,2567
Hadji Mohammad Ajul,Councilor,"Yunus, Allan Usmani",Assih,Padayon Pilipino,2492
Hadji Mohammad Ajul,Councilor,"Adam, Alih Asali",Alex,Liberal Party,2459
Hadji Mohammad Ajul,Councilor,"Salih, Khismar Sapilin",Khis,Liberal Party,2367
Hadji Muhtamad,Mayor,"Mansul, Jamar Abdulla",Tapang,Puwersa ng Masang Pilipino,2874
Hadji Muhtamad,Vice-Mayor,"Nanoh, Arsina Kahing",Sina,United Nationalist Alliance,3184
Hadji Muhtamad,Councilor,"Saililla, Abdulhakim Uddin",Hakim,Liberal Party,2614
Hadji Muhtamad,Councilor,"Hasim, Seymor Alpad",Imong,Liberal Party,2328
Hadji Muhtamad,Councilor,"Abdulmajid, Daud Mutamad",Daud,Liberal Party,2167
Hadji Muhtamad,Councilor,"Mohammad, Mufti Ascali",Mega,Independent,2092
Hadji Muhtamad,Councilor,"Alih, Max Asmaluddin",Max,Liberal Party,1962
Hadji Muhtamad,Councilor,"Julkipli, Puraida Indanan",Puray,Liberal Party,1937
Hadji Muhtamad,Councilor,"Allama, Abdulmaser Jamil",Masing,Liberal Party,1921
Hadji Muhtamad,Councilor,"Ahmad, Zaldy Amang",Dhing,Liberal Party,1898
Isabela City,City Mayor,"Akbar, Cherrylyn Santos",Cherry,Liberal Party,28775
Isabela City,City Vice-Mayor,"Ajibon, Abdulbaki Jahandal",Panther,Independent,19232
Isabela City,Councilor,"Tiplani, Jashim Idarus",Lannang,Padayon Pilipino,22417
Isabela City,Councilor,"Casas, Jeromy Lim",Jay,Liberal Party,19292
Isabela City,Councilor,"Akbar, Al-Qaid Jainnudin",Choi,Liberal Party,19087
Isabela City,Councilor,"Muarip, Moumar Lipai",Mhar,Liberal Party,18097
Isabela City,Councilor,"Tubongbanua, Maria Jennesa Santos",Jenny,Liberal Party,17835
Isabela City,Councilor,"Ismael, Mashur Hussien",Jojie,Independent,16501
Isabela City,Councilor,"Rodriguez, James Abner Suson",Abner,Liberal Party,15747
Isabela City,Councilor,"Jilhani, Placido Sulay",Cido,Padayon Pilipino,15658
Isabela City,Councilor,"Alejo, Taib Abdulhamid",Max,Padayon Pilipino,15466
Isabela City,Councilor,"Dans, Nida Pati",Nida,Independent,15036
Lamitan City,City Mayor,"Furigay, Rosita Uy",Rose,Independent,12200
