city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Ampatuan,Mayor,"Sangki, Datu Rasul Mabang",Tho,Liberal Party,4683
Ampatuan,Vice-Mayor,"Sangki, Samnon Mamasabang",Sam,Liberal Party,3654
Ampatuan,Councilor,"Sangki, Mote Baliwan",Mots,Liberal Party,3793
Ampatuan,Councilor,"Guilay, Tibong Mama",Bapa Bong,Liberal Party,3291
Ampatuan,Councilor,"Sangki, Tibulon Lindungan",Al,Liberal Party,3061
Ampatuan,Councilor,"Basilan, Johaipa Ampatuan",Jopy,Liberal Party,2853
Ampatuan,Councilor,"Masukat, Datukan Buyogan",Toks,Liberal Party,2218
Ampatuan,Councilor,"Ba, Ferdinand Erwin Gavilan",Bobong,Liberal Party,2166
Ampatuan,Councilor,"Villaflor, Fernando Malacaman",Nanding,Liberal Party,2152
Ampatuan,Councilor,"Salendab, Datu Tugaya Macabangen",Datu Tugs,Liberal Party,2116
Barira,Mayor,"Tomawis, Abdulradzak Dagalangit",Barok,Liberal Party,7390
Barira,Vice-Mayor,"Dagalangit, Amirsalam Pacpac",Sultan,Liberal Party,7168
Barira,Councilor,"Brie, Rasid Alimpang",Rash,Liberal Party,6653
Barira,Councilor,"Daranda, Molina Mamalakat",Moli,Liberal Party,6177
Barira,Councilor,"Hadjiracman, Samonte Malambut",Sam,Liberal Party,6052
Barira,Councilor,"Pacalna, Abedin Lumanggay",Kamagong,Liberal Party,5909
Barira,Councilor,"Moda, Taha Mano",Taha,Liberal Party,5882
Barira,Councilor,"Bondco, Norman Sandalan",Norman,Liberal Party,5741
Barira,Councilor,"Malambut, Ibrahim Polo",Panondi,Liberal Party,5671
Barira,Councilor,"Porowa, Kamim Magumpara",Kamim,Liberal Party,5670
Buluan,Mayor,"Mangudadatu, Lorena Dingcong",Nona,Liberal Party,14133
Buluan,Vice-Mayor,"Mangudadatu, King Jhazzer Tiamson",King,Liberal Party,13958
Buluan,Councilor,"Mangudadatu, Jerry Alamada",Jerry,Liberal Party,12144
Buluan,Councilor,"Kadalim, Rhamla Mangudadatu",Bai Gegeth,Liberal Party,11594
Buluan,Councilor,"Mangudadatu, Badrodin Mamadala",Badrodin,Liberal Party,11487
Buluan,Councilor,"Piang, Esmael Mangudadatu",Kepat,Liberal Party,10823
Buluan,Councilor,"Salendab, Mayonbai Daniel",Bai Mayon,Liberal Party,10500
Buluan,Councilor,"Bedial, Macaraton Mangudadatu",Macky,Liberal Party,9853
Buluan,Councilor,"Ulilisen, Kamidon Mamalumpong",Don,Liberal Party,9439
Buluan,Councilor,"Lucman, Satar Lawan",Opec,Liberal Party,8358
Cotabato City,City Mayor,"Guiani, Japal  Jr. Juanday",Jojo,Partido Demokratiko Pilipino,25685
Cotabato City,City Vice-Mayor,"Andang, Abdullah Ahmad",Abs,Partido Demokratiko Pilipino,24971
Cotabato City,Councilor,"Dumama, Graham Nazer Guiani",Datu Grei,Partido Demokratiko Pilipino,24130
Cotabato City,Councilor,"Datumanong, Madatu Brahim",Dick,Liberal Party,19828
Cotabato City,Councilor,"Taha, Kusin Salik",Kus,Liberal Party,19732
Cotabato City,Councilor,"Sema, Sukarno Guiaman",Suk,Liberal Party,19197
Cotabato City,Councilor,"Ridao, Freddie Agcarao",Fred,Partido Demokratiko Pilipino,18613
Cotabato City,Councilor,"Melendrez, Froilan Rosales",Froi,Liberal Party,18481
Cotabato City,Councilor,"Cortez, Jonathan Sioson",Jojo,Partido Demokratiko Pilipino,17643
Cotabato City,Councilor,"Formento, Florante Lacay",Popoy,Liberal Party,17458
Cotabato City,Councilor,"Chua, Christina Tan",Enggay,Partido Demokratiko Pilipino,15983
Cotabato City,Councilor,"Matabalao, Mohammad Ali Dela Cruz",Bruce,Liberal Party,15439
Datu Abdullah Sangki,Mayor,"Mangudadatu, Mariam Sangki",Mariam,Puwersa ng Masang Pilipino,2351
Datu Abdullah Sangki,Vice-Mayor,"Sangki, Datu Akmad Simpal",Datu,Partido Demokratiko Pilipino,2257
Datu Abdullah Sangki,Councilor,"Sulaiman, Rohaina Druz Ali",Baby,Independent,1540
Datu Abdullah Sangki,Councilor,"Emblawa, Anwarudin Kuit",Anwar,Independent,1387
Datu Abdullah Sangki,Councilor,"Eterno, Anatholly Ian Chio",Ian,Partido Demokratiko Pilipino,1226
Datu Abdullah Sangki,Councilor,"Sangki, Lahmudin Guilay",Jeff,Independent,1152
Datu Abdullah Sangki,Councilor,"Gumana, Ismaelita Firmalino",Smile,Independent,1108
Datu Abdullah Sangki,Councilor,"Kuit, Sultan Ampatuan",Sul,Partido Demokratiko Pilipino,1077
Datu Abdullah Sangki,Councilor,"Ampatuan, Bai Ungang Dilangalen",Bai Ungang,Independent,1033
Datu Abdullah Sangki,Councilor,"Abdullah, Sis Mamison",Kesi,Independent,986
Datu Anggal Midtimbang,Mayor,"Midtimbang, Nathaneil Sangacala",Datu Abz,Partido Demokratiko Pilipino,6570
Datu Anggal Midtimbang,Vice-Mayor,"Midtimbang, Ebrahim Musa",Kagi Brahim,Partido Demokratiko Pilipino,6347
Datu Anggal Midtimbang,Councilor,"Guiama, Daud Namil",Dau,Partido Demokratiko Pilipino,3660
Datu Anggal Midtimbang,Councilor,"Kayog, Salipada Sabang",Kipad,Partido Demokratiko Pilipino,3356
Datu Anggal Midtimbang,Councilor,"Lampay, Lumbatan Akad",Kumba,Partido Demokratiko Pilipino,2585
Datu Anggal Midtimbang,Councilor,"Sultan, Sandiale Indal",Dhats,Partido Demokratiko Pilipino,2498
Datu Anggal Midtimbang,Councilor,"Panalangin, Dorrie Opac",Dorrie,Partido Demokratiko Pilipino,2255
Datu Anggal Midtimbang,Councilor,"Abag, Said Kayog",Waya,Partido Demokratiko Pilipino,2168
Datu Anggal Midtimbang,Councilor,"Salim, Kuro Saban",Kuro,Partido Demokratiko Pilipino,1652
Datu Anggal Midtimbang,Councilor,"Mentang, Aladin Sinsuat",Datu Al,Partido Demokratiko Pilipino,1370
Datu Blah T. Sinsuat,Mayor,"Sinsuat, Datu Marshall Ibrahim",Toto,Liberal Party,5290
Datu Blah T. Sinsuat,Vice-Mayor,"Mustapha, Datutato Utto",Tats,Liberal Party,5077
Datu Blah T. Sinsuat,Councilor,"Sinsuat, Datu Mohamad Jr. Ibrahim",Tha,Liberal Party,5122
Datu Blah T. Sinsuat,Councilor,"Sinsuat, Archie Mamadra",Maradsi,Liberal Party,4742
Datu Blah T. Sinsuat,Councilor,"Karon, Bainor Lu",Noemi,Liberal Party,4712
Datu Blah T. Sinsuat,Councilor,"Kuga, Shaidin Ali",Bong,Liberal Party,4609
Datu Blah T. Sinsuat,Councilor,"Tabunaway, Datudido Datukaka",Sk,Liberal Party,4552
Datu Blah T. Sinsuat,Councilor,"Bello, Joel Martenez",Joe,Liberal Party,4512
Datu Blah T. Sinsuat,Councilor,"Aminulla, Khamid Musa",Utoh,Liberal Party,4278
Datu Blah T. Sinsuat,Councilor,"Mama, Datudido Aman",Dodi,Liberal Party,4219
Datu Hoffer Ampatuan,Mayor,"Ampatuan, Bongbong Midtimbang",Bong,Partido Demokratiko Pilipino,4108
Datu Hoffer Ampatuan,Vice-Mayor,"Ampatuan, Nor-Aila Kristina Midtimbang",Bai,Partido Demokratiko Pilipino,3951
Datu Hoffer Ampatuan,Councilor,"Ampatuan, Abdulmoen Adam",Mowen,Partido Demokratiko Pilipino,2696
Datu Hoffer Ampatuan,Councilor,"Unao, Lina Tomas",Lina,Partido Demokratiko Pilipino,2481
Datu Hoffer Ampatuan,Councilor,"Malaguial, Saddam Namle",Saddam,Partido Demokratiko Pilipino,2351
Datu Hoffer Ampatuan,Councilor,"Omar, Kasim Dadog",Castro,Partido Demokratiko Pilipino,2141
Datu Hoffer Ampatuan,Councilor,"Kadil, Bayan Tukan",Benny,Partido Demokratiko Pilipino,2109
Datu Hoffer Ampatuan,Councilor,"Kamindan, Macapagal Jr. Tamayo",Lhoy,Partido Demokratiko Pilipino,2090
Datu Hoffer Ampatuan,Councilor,"Lakman, Norodin Ampatuan",Kagi,Partido Demokratiko Pilipino,2083
Datu Hoffer Ampatuan,Councilor,"Kusan, Salunda Kam",Madali,Partido Demokratiko Pilipino,2037
Datu Odin Sinsuat Dinaig,Mayor,"Sinsuat, Datuombra Quesada",Dos,Liberal Party,34198
Datu Odin Sinsuat Dinaig,Vice-Mayor,"Sinsuat, Sajid Seismundo",Dss,Liberal Party,33373
Datu Odin Sinsuat Dinaig,Councilor,"Sinsuat, Osme Lucas",Little,Liberal Party,21167
Datu Odin Sinsuat Dinaig,Councilor,"Ampatuan, Mohammad Khalid Ampatuan",Datu Bagets,Liberal Party,19808
Datu Odin Sinsuat Dinaig,Councilor,"Ambolodto, Ralph Shajani Abas",Rap,Liberal Party,17840
Datu Odin Sinsuat Dinaig,Councilor,"Abas, Abdulhamid Maliga",Teng,Liberal Party,17488
Datu Odin Sinsuat Dinaig,Councilor,"Ante, Zhenet Sinsuat",Net,Liberal Party,17185
Datu Odin Sinsuat Dinaig,Councilor,"Nur, Kaharudin Mangelen",Datu Chods,Liberal Party,16702
Datu Odin Sinsuat Dinaig,Councilor,"Pinguiaman, Sukarno Manalasal",Suk,Liberal Party,15668
Datu Odin Sinsuat Dinaig,Councilor,"Mama, Suharto Sinsuat",Ato,Liberal Party,15062
Datu Paglas,Mayor,"Paglas, Mohamad Pendatun",Tong,Liberal Party,11443
Datu Paglas,Vice-Mayor,"Paglas, Mohammed Yusseef Powers",Ammed,Liberal Party,11304
Datu Paglas,Councilor,"Ayob, Teng Manonggol",Teds,Liberal Party,8366
Datu Paglas,Councilor,"Baguadatu, Mohamad Ali Samma",Dally,Liberal Party,7448
Datu Paglas,Councilor,"Nando, Medtalicop Usman",Meddy,Liberal Party,7441
Datu Paglas,Councilor,"Mangakoy, Yusa Calban",Mario,Liberal Party,6926
Datu Paglas,Councilor,"Madidis, Abdulkarim Kamid",Teng,Liberal Party,6384
Datu Paglas,Councilor,"Datang, Pundo Bukol",Puns,Liberal Party,5790
