city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bongao,Mayor,"Que, Jasper Shia",Jas,Liberal Party,18190
Bongao,Vice-Mayor,"Jumdail, Abdulsaid Bahari",Said,Liberal Party,16978
Bongao,Councilor,"Que, Albert Tan",Bert,Liberal Party,16843
Bongao,Councilor,"Jowak, Pajiji Ismail",Padjing,Liberal Party,14085
Bongao,Councilor,"Nuridjan, Sophia Abduhadi",Pheng,Liberal Party,13911
Bongao,Councilor,"Ibbo, Talib Jr. Que",Jun,Liberal Party,13221
Bongao,Councilor,"Iddi, Edwin Bakil",Ed,Liberal Party,13040
Bongao,Councilor,"Jumdail, Leila Muharani",La,Liberal Party,12980
Bongao,Councilor,"Akip, Ambon Sabtula",Ams,Liberal Party,11895
Bongao,Councilor,"Karanain, Arula Amin",Rustom,Liberal Party,11601
Languyan,Mayor,"Que, Jasper Shia",Jas,Liberal Party,18190
Languyan,Vice-Mayor,"Jumdail, Abdulsaid Bahari",Said,Liberal Party,16978
Languyan,Councilor,"Que, Albert Tan",Bert,Liberal Party,16843
Languyan,Councilor,"Jowak, Pajiji Ismail",Padjing,Liberal Party,14085
Languyan,Councilor,"Nuridjan, Sophia Abduhadi",Pheng,Liberal Party,13911
Languyan,Councilor,"Ibbo, Talib Jr. Que",Jun,Liberal Party,13221
Languyan,Councilor,"Iddi, Edwin Bakil",Ed,Liberal Party,13040
Languyan,Councilor,"Jumdail, Leila Muharani",La,Liberal Party,12980
Languyan,Councilor,"Akip, Ambon Sabtula",Ams,Liberal Party,11895
Languyan,Councilor,"Karanain, Arula Amin",Rustom,Liberal Party,11601
Mapun Cagayan de Tawi-tawi,Mayor,"Muksin, Kennedy Hussein",Ken,Liberal Party,5530
Mapun Cagayan de Tawi-tawi,Vice-Mayor,"Kanding, Jaiman Hasim",Ninnin,Liberal Party,5503
Mapun Cagayan de Tawi-tawi,Councilor,"Said, Chernie Taha",Nie,Liberal Party,5032
Mapun Cagayan de Tawi-tawi,Councilor,"Abdulpatta, Omar Mockthar Tan",Om-Om,Liberal Party,4540
Mapun Cagayan de Tawi-tawi,Councilor,"Gubih, Gayu Madtahi",Gayu,Nationalist People's Coalition,4060
Mapun Cagayan de Tawi-tawi,Councilor,"Alsad, Rujin Nujul",Ujik,Liberal Party,4022
Mapun Cagayan de Tawi-tawi,Councilor,"Japaal, Mukdim Hassan",Dim,Nationalist People's Coalition,3631
Mapun Cagayan de Tawi-tawi,Councilor,"Sarapil, Macky Akbaral",Max,Nationalist People's Coalition,3620
Mapun Cagayan de Tawi-tawi,Councilor,"Abdurahim, Haripa Hatab",Dipong,Liberal Party,3529
Mapun Cagayan de Tawi-tawi,Councilor,"Canizares, Carl Lao",Carl,Liberal Party,3395
Panglima Sugala Balimbin,Mayor,"Generale, Rejie Sahali",Rejie,Liberal Party,12588
Panglima Sugala Balimbin,Vice-Mayor,"Salih, Nagdar Sawadjaan",Agga,Liberal Party,12066
Panglima Sugala Balimbin,Councilor,"Caba, Janet Lim",Janet,Liberal Party,9382
Panglima Sugala Balimbin,Councilor,"Abdurajan, Najir Hussin",Najz,Liberal Party,6195
Panglima Sugala Balimbin,Councilor,"Jamasali, William Cabaha",Willie,Liberal Party,5989
Panglima Sugala Balimbin,Councilor,"Jarah, Ibrahim Ibba",Bench,Liberal Party,4923
Panglima Sugala Balimbin,Councilor,"Dais, Abdelnasser Hatab",Absie,Liberal Party,4754
Panglima Sugala Balimbin,Councilor,"Jaji, Bensijil Ulong",Ben,Liberal Party,4318
Panglima Sugala Balimbin,Councilor,"Sammani, Taib Uddah",Ibs,Liberal Party,4123
Panglima Sugala Balimbin,Councilor,"Buligah, Abdulpatta Jiklamon",-,Independent,4120
Sapa-sapa,Mayor,"Mohammad Ali, Alsaggab Lee",Otong,Liberal Party,4595
Sapa-sapa,Vice-Mayor,"Lipae, Hapipi Tattung",Pp,Liberal Party,4902
Sapa-sapa,Councilor,"Lipae, Basil Lim",Bas,Liberal Party,3012
Sapa-sapa,Councilor,"Aldam, Jehan Maulana",Han,Liberal Party,2907
Sapa-sapa,Councilor,"Hussin, Ambroussi Gayong",Ambro,Independent,2903
Sapa-sapa,Councilor,"Lipae, Al-Sadat Sawae",Mondot,Liberal Party,2757
Sapa-sapa,Councilor,"Mohammad Ali, Margani Gayong",Mar,Independent,2511
Sapa-sapa,Councilor,"Joe, Albert Lee",Al,Liberal Party,2510
