city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aguinaldo,Mayor,"Talusig, Clemente Sawadan",Clem,Liberal Party,4561
Aguinaldo,Vice-Mayor,"Chilagan, Gaspar Jr. Buhatan",Jun,Liberal Party,6337
Aguinaldo,Councilor,"Biogan, Maribel Henaggon",Bhel,Liberal Party,5245
Aguinaldo,Councilor,"Pengiton, Susan Lumiwan",Sue,Independent,4474
Aguinaldo,Councilor,"Uchayan, Ricky Banawan",Ricky Boy,Independent,4084
Aguinaldo,Councilor,"Baychon, Moses Abingwan",Mos,Liberal Party,3629
Aguinaldo,Councilor,"Chilagan, Julius Liwanon",Julius,Liberal Party,3376
Aguinaldo,Councilor,"Paynohon, Juliet Baguan",Chuleng,Liberal Party,3221
Aguinaldo,Councilor,"Cupahan, Homer Bastian",Gomer,Liberal Party,2988
Aguinaldo,Councilor,"Hangdaan, Noel Guinichon",Noli,Independent,2916
Alfonso Lista Potia,Mayor,"Prudenciano, Glenn Doclosen",Glenn,Liberal Party,8166
Alfonso Lista Potia,Vice-Mayor,"Angowan, Joseph Abingwan",Joseph,Liberal Party,6699
Alfonso Lista Potia,Councilor,"Buminaang, Michael Atolba",Mike,Liberal Party,6732
Alfonso Lista Potia,Councilor,"Aliguyon, John Baldo",Kuya Oon,Liberal Party,6442
Alfonso Lista Potia,Councilor,"Dog-E, Jaime Habbeleng",Jim Boy,Liberal Party,6044
Alfonso Lista Potia,Councilor,"Perez, Celso Dumayas",Oslec,Liberal Party,5947
Alfonso Lista Potia,Councilor,"Aniceto, Rex Cruz",Rex,Liberal Party,5706
Alfonso Lista Potia,Councilor,"Tuguinay, Herman Dupiao",Herman,Nationalist People's Coalition,5357
Alfonso Lista Potia,Councilor,"Attolba, Jefferson Ramil",Jeff,Liberal Party,5164
Alfonso Lista Potia,Councilor,"Cattiling, Charles Luarca",Kalbo,Independent,5159
Asipulo,Mayor,"Domilod, Armando Piganto",Arman,Independent,2180
Asipulo,Vice-Mayor,"Pullupul, Tomas Ugnayon",Tom,Liberal Party,3214
Asipulo,Councilor,"Bahingawan, Clarence Pinkihan",Bahingawan,Independent,2912
Asipulo,Councilor,"Dupingay, Clarence Dawi",Panyero,Independent,2821
Asipulo,Councilor,"Ullani, Robert Puguon",Puddunan,Liberal Party,2590
Asipulo,Councilor,"Pallay, Romel Dulnuan",Lome,Independent,2547
Asipulo,Councilor,"Belingon, Alfredo Moog",Filing,Independent,2421
Asipulo,Councilor,"Catama, Constancio Ngabit",Costan,Laban ng Demokratikong Pilipino,2354
Asipulo,Councilor,"Humiwat, Charles Tomlayon",Charles,Liberal Party,2297
Asipulo,Councilor,"Fortich, Jane Cuyahon",Jen,Liberal Party,2228
Banaue,Mayor,"Domilod, Armando Piganto",Arman,Independent,2180
Banaue,Vice-Mayor,"Pullupul, Tomas Ugnayon",Tom,Liberal Party,3214
Banaue,Councilor,"Bahingawan, Clarence Pinkihan",Bahingawan,Independent,2912
Banaue,Councilor,"Dupingay, Clarence Dawi",Panyero,Independent,2821
Banaue,Councilor,"Ullani, Robert Puguon",Puddunan,Liberal Party,2590
Banaue,Councilor,"Pallay, Romel Dulnuan",Lome,Independent,2547
Banaue,Councilor,"Belingon, Alfredo Moog",Filing,Independent,2421
Banaue,Councilor,"Catama, Constancio Ngabit",Costan,Laban ng Demokratikong Pilipino,2354
Banaue,Councilor,"Humiwat, Charles Tomlayon",Charles,Liberal Party,2297
Banaue,Councilor,"Fortich, Jane Cuyahon",Jen,Liberal Party,2228
Hingyon,Mayor,"Domilod, Armando Piganto",Arman,Independent,2180
Hingyon,Vice-Mayor,"Pullupul, Tomas Ugnayon",Tom,Liberal Party,3214
Hingyon,Councilor,"Bahingawan, Clarence Pinkihan",Bahingawan,Independent,2912
Hingyon,Councilor,"Dupingay, Clarence Dawi",Panyero,Independent,2821
Hingyon,Councilor,"Ullani, Robert Puguon",Puddunan,Liberal Party,2590
Hingyon,Councilor,"Pallay, Romel Dulnuan",Lome,Independent,2547
Hingyon,Councilor,"Belingon, Alfredo Moog",Filing,Independent,2421
Hingyon,Councilor,"Catama, Constancio Ngabit",Costan,Laban ng Demokratikong Pilipino,2354
Hingyon,Councilor,"Humiwat, Charles Tomlayon",Charles,Liberal Party,2297
Hingyon,Councilor,"Fortich, Jane Cuyahon",Jen,Liberal Party,2228
Hungduan,Mayor,"Bumangabang, Hilario Tapayaon",Larry,Independent,2597
Hungduan,Vice-Mayor,"Ananayo, Juliet Banig",Banig,Independent,1404
Hungduan,Councilor,"Bugatti, Lucas Adamme",Luke,Independent,1906
Hungduan,Councilor,"Dumulag, Casan Pagada",Casan,Independent,1765
Hungduan,Councilor,"Cuyahon, Pablo Sr. Mayagod",Pablo,Independent,1547
Hungduan,Councilor,"Pawid, Marvin Olat",Mar,Independent,1471
Hungduan,Councilor,"Balenga, Evelyn Yagonda",Bannak,Independent,1456
Hungduan,Councilor,"Lacbawan, Jessie Binwag",Jess,Independent,1400
Hungduan,Councilor,"Butale, Pedro Bongtiwon",Ordep,Independent,1385
Hungduan,Councilor,"Haguyayap, Romeo Lango",Romy,Liberal Party,1242
Kiangan,Mayor,"Guyguyon, Joselito Gano",Josel Guyguyon,Liberal Party,3957
Kiangan,Vice-Mayor,"Dulnuan, Roel Francis Atiwon",Hato,Independent,5510
Kiangan,Councilor,"Bulayungan, Raldis Andrei Allaga",Raldis,Independent,4013
Kiangan,Councilor,"Piggangay, Magdalena Dulnuan",Dalen,Independent,3861
Kiangan,Councilor,"Puguon, Arjann Ross Allaga",Arjann,Liberal Party,3552
Kiangan,Councilor,"Dulnuan, Lawrence Jr. Agnanao",Allig,Independent,3342
Kiangan,Councilor,"Binlang, Alberto Jr. Dumalnog",Boy,Liberal Party,3273
Kiangan,Councilor,"Kimayong, Flordeliza Dulnuan",Flor,Liberal Party,3244
Kiangan,Councilor,"Bayawon, Jason Alindayo",Jayson,Independent,3120
Kiangan,Councilor,"Calingayan, Victor Immaya",Vhic,Independent,2880
Lagawe,Mayor,"Cabbigat, Ceasario Dominong",Ceasar,Nationalista Party,5388
Lagawe,Vice-Mayor,"Habawel, Martin Jr. Luglug",Omar,Nationalista Party,6381
Lagawe,Councilor,"Buhulon, James Mu-Moh",Mu-Moh,Nationalista Party,4491
Lagawe,Councilor,"Alcayna, Vilma Tabbog",Ville,Nationalista Party,4293
Lagawe,Councilor,"Balinon, Tejano Pugong",Tehan,Nationalista Party,3968
Lagawe,Councilor,"Tuguinay, Manuel Jr. Lindawan",Jun,Liberal Party,3907
Lagawe,Councilor,"Kimayong, Reynold Allaga",Mayongki,Nationalista Party,3873
Lagawe,Councilor,"Nabanalan, Johnny Polahon",Kaibigan,Liberal Party,3802
Lagawe,Councilor,"Dangayo, Jason Galap",-,Nationalista Party,3681
Lagawe,Councilor,"Liwayan, Homa Gallema",Homa,Nationalista Party,3552
Lamut,Mayor,"Buyagawan, Mariano Jr. Balaino",Marimar,Independent,5376
Lamut,Vice-Mayor,"Bunnol, Victomar Hagada",Tomar,Independent,8215
Lamut,Councilor,"Chaguile, Adryan Bongyo",Adry,Independent,5041
Lamut,Councilor,"In-Uyay, Joseph Guinid",Joe,Liberal Party,4825
Lamut,Councilor,"Mateo, Dolores Dancel",Dollie,Liberal Party,4592
Lamut,Councilor,"Westnit, Jose Ecocruz",Joe,Independent,4582
Lamut,Councilor,"Bantag, Benjamin Laoyan",Benjie,Liberal Party,4416
Lamut,Councilor,"Sawad, Brenda Malingan",Bren,Liberal Party,4384
Lamut,Councilor,"Dulinayan, Ferdinand Hodom",Dindin,Independent,4257
Lamut,Councilor,"Macadaeg, Maria Victoria Grace Guinid",Marivic,Independent,4089
Mayoyao,Mayor,"Lumayna, Ronie Hamchawan",Ronie,Nationalist People's Coalition,3120
Mayoyao,Vice-Mayor,"Padchanan, Jimmy Jr. Batang",Jimjim,Nationalist People's Coalition,2883
Mayoyao,Councilor,"Abagan, Ulysis Chupalan",Anyum,Independent,2683
Mayoyao,Councilor,"Gannaban, Peter Lahing",Pete,Independent,2681
Mayoyao,Councilor,"Panangon, Cesar Bumaguing",Cesar,Liberal Party,2573
Mayoyao,Councilor,"Acapen, Pedro Sr. Polig",Pidlo,Independent,2452
Mayoyao,Councilor,"Bullan, Yulo Marcos",Yulo,Liberal Party,2237
Mayoyao,Councilor,"Chilagan, Rudy Jr. Natuno",Rudy,Independent,2234
Mayoyao,Councilor,"Guinid, Nena Abagan",Nena,Independent,2200
Mayoyao,Councilor,"Baawa, Joel Poychana",Joe,Independent,2171
Tinoc,Mayor,"Catalino, Marcelo Guinabe",Mars,Independent,2947
Tinoc,Vice-Mayor,"Calya-En, Agustin Cayat",Al,Liberal Party,2990
Tinoc,Councilor,"Humakey, Randy Binay-An",Gaki,Liberal Party,3791
Tinoc,Councilor,"Donato, Dolores Saking",-,Liberal Party,3355
Tinoc,Councilor,"Calyaen, Victor Sr. Vicente",Vic,Liberal Party,2848
Tinoc,Councilor,"Tacio, Efren Alhido",Banghiil,Liberal Party,2791
Tinoc,Councilor,"Nagayos, Felicitas Tayaban",Fely,Liberal Party,2791
Tinoc,Councilor,"Nginhayan, Viola Antonio",Bts,Liberal Party,2704
Tinoc,Councilor,"Mayomes, Ben Madino",-,Liberal Party,2623
Tinoc,Councilor,"Danao, Emerita Alindayo",Emie,Liberal Party,2523
