city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
City of Mandaluyong,City Mayor,"Abalos, Benjamin Jr. De Castro",Benhur,Lakas-Christian Muslim Democratic,86978
City of Mandaluyong,City Vice-Mayor,"Bartolome, Edward Gabriel",Edward,Liberal Party,81640
City of Mandaluyong,Councilor-1st District,"Abalos, Charisse Marie Aguilar",Charisse,Lakas-Christian Muslim Democratic,51724
City of Mandaluyong,Councilor-1st District,"Suva, Antonio De Los Santos",Anthony,Lakas-Christian Muslim Democratic,47640
City of Mandaluyong,Councilor-1st District,"Antonio, Grace Marie _",Grace,United Nationalist Party,39741
City of Mandaluyong,Councilor-1st District,"Alim, Ayla Villaraza",Ayla,Liberal Party,39269
City of Mandaluyong,Councilor-1st District,"Santos, Alex Ignacio",Alex,Liberal Party,36008
City of Mandaluyong,Councilor-1st District,"Espinosa, Luisito Encabo",Louie,Nationalist People's Coalition,33931
City of Mandaluyong,Councilor-2nd District,"Sta. Maria, Alexander Cruz",Alex Sta Maria,Liberal Party,33228
City of Mandaluyong,Councilor-2nd District,"Cruz, Jesus Cruz",Jesse Cruz,Liberal Party,31149
City of Mandaluyong,Councilor-2nd District,"Santos, Cherry Lynn Pablo",Cheche Pablo-Santos,Nationalist People's Coalition,29335
City of Mandaluyong,Councilor-2nd District,"Esteban, Francisco Ortigas",Boy Esteban,Lakas-Christian Muslim Democratic,28556
City of Mandaluyong,Councilor-2nd District,"Ocampo, Fernando Suarez",Dong,Lakas-Christian Muslim Democratic,27444
City of Mandaluyong,Councilor-2nd District,"Bacar, Roehl Bartolata",Boyett Bacar,Independent,26567
City of Marikina,City Mayor,"De Guzman, Del Reyes",Del,Liberal Party,130714
City of Marikina,City Vice-Mayor,"Cadiz, Jose Fabian Imperial",Dr. Cadiz,Liberal Party,82018
City of Marikina,Councilor-1st District,"Ferriol, Samuel Santos",Sf,Liberal Party,47906
City of Marikina,Councilor-1st District,"Paz, Eva Aguirre",Eva,Liberal Party,39989
City of Marikina,Councilor-1st District,"Banzon, Joseph Bernabe",Jojo,Liberal Party,36462
City of Marikina,Councilor-1st District,"Ayuson, Frankie Cruz",Kap Frankie,Liberal Party,35025
City of Marikina,Councilor-1st District,"Santos, Thaddeus Antonio  Jr. Manuel",Bolok,Liberal Party,34662
City of Marikina,Councilor-1st District,"De Leon, Mario Mariano",Kap Mario,Liberal Party,33730
City of Marikina,Councilor-1st District,"Acu, Ronnie Santos",Kambal,Liberal Party,33279
City of Marikina,Councilor-1st District,"Chavez, Willie Nicolas",Manager,Liberal Party,31456
City of Marikina,Councilor-2nd District,"Reyes, Ruben Rodriguez",Bogs,Liberal Party,47033
City of Marikina,Councilor-2nd District,"Diazen, Xyza Rafsing",Xhy,Liberal Party,45180
City of Marikina,Councilor-2nd District,"Dayao, Paul Del Barrio",Paul,Liberal Party,44338
City of Marikina,Councilor-2nd District,"Flores, Ernesto Mateo",Ef,Liberal Party,42433
City of Marikina,Councilor-2nd District,"Del Rosario, Mark Albert Javier",Mark,Liberal Party,40961
City of Marikina,Councilor-2nd District,"Cuaresma, Ariel Vicente",Ariel,Liberal Party,38498
City of Marikina,Councilor-2nd District,"Magtubo, Susana Pinongcos",Judy,Liberal Party,36873
City of Marikina,Councilor-2nd District,"Ortiz, Rommel Fuentes",Jojo,Puwersa ng Masang Pilipino,32352
City of Pasig,City Mayor,"Eusebio, Maria Belen Andaya",Maribel,Nationalista Party,226766
City of Pasig,City Vice-Mayor,"Bernardo, Iyo Christian Caruncho",Caruncho,Independent,129913
City of Pasig,Councilor-1st District,"Sia, Christian De Guzman",Ian,Liberal Party,75105
City of Pasig,Councilor-1st District,"San Buenaventura, Reynaldo, Iii Ramirez",Joy Sb,Nationalista Party,70210
City of Pasig,Councilor-1st District,"Santiago, Augustin Alexee Cruz",Lex,Nationalista Party,66383
