city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Adam,Mayor,"Bawingan, Eric Tangliben",Eric,Liberal Party,677
Adam,Vice-Mayor,"Poking, Wagner Agamas",Wagner,Liberal Party,595
Adam,Councilor,"Dupagen, Rosalia Domingo",Sally,Independent,561
Adam,Councilor,"Cabradilla, Bernard Doliken",Boboy,Liberal Party,508
Adam,Councilor,"Suniga, Eddie Boy Aguda",D-Boy,Liberal Party,506
Adam,Councilor,"Dato, Julian Jr. Delim",Jun,Liberal Party,499
Adam,Councilor,"Dupagen, Michaela Belo",Angela,Liberal Party,469
Adam,Councilor,"Acupan, Pio Benito",Pio,Liberal Party,436
Adam,Councilor,"Tarnate, Antonio Dadiwa",Anton,Liberal Party,435
Adam,Councilor,"Dupagen, Teodoro Dalluyon",Teddy,Independent,391
Bacarra,Mayor,"Dela Cruz, Nicomedes Jr. Cadiz",Nico,Nationalista Party,10616
Bacarra,Vice-Mayor,"Ramit, Jonathan Blas Pascua",Jo,Nationalista Party,6532
Bacarra,Councilor,"Velasco, Derek Bringas",Derek,Independent,10933
Bacarra,Councilor,"Velasco, John Bonoan",Jay-Jay,Nationalista Party,8713
Bacarra,Councilor,"Afaga, Henedina Balasi",Dina,Nationalista Party,8669
Bacarra,Councilor,"Corpuz, Edgar Castillo",Ed,United Nationalist Alliance,8352
Bacarra,Councilor,"Go, Jolamar Visaya",Jojo,Nationalista Party,7346
Bacarra,Councilor,"Acob, Amador Domingo Cortez",Ami,Liberal Party,5943
Bacarra,Councilor,"Miguel, Bonifacio Madamba",Boni,Nationalista Party,4984
Bacarra,Councilor,"Albano, Domingo Vea",Doming,Independent,4919
Badoc,Mayor,"Torralba, Arlene Monje",Arlene,Nationalista Party,12815
Badoc,Vice-Mayor,"Torralba, Thomas Nicolas",Tom,Nationalista Party,12753
Badoc,Councilor,"Torralba, Roman Salviejo",Romy,Liberal Party,11126
Badoc,Councilor,"Rubio, Alwyn Gabriel",Alu,Nationalista Party,10839
Badoc,Councilor,"Torralba, Jonathan Oasan",Jon,United Nationalist Alliance,9284
Badoc,Councilor,"Prieto, Pedro Tangonan",Peter,Nationalista Party,8759
Badoc,Councilor,"Gorospe, Jennice Salem",Jan,Nationalista Party,8372
Badoc,Councilor,"Rodriguez, Bayani Antiporda",Otso-Otso,Nationalista Party,8353
Badoc,Councilor,"Calonge, Efren Yadao",Layos,United Nationalist Alliance,7508
Badoc,Councilor,"Lacuesta, Cielito Bumanglag",Lito,Independent,6280
Bangui,Mayor,"Garvida, Diosdado Ildefonso",Dado,Lakas-Christian Muslim Democratic,4628
Bangui,Vice-Mayor,"Cimatu, Fidel Jr. Agullana",Fidel,Nationalista Party,4629
Bangui,Councilor,"Calumag, Elvin Antolin",Arki,Independent,5163
