city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alicia,Mayor,"Dy, Ian Paul Laguatan",Ian,Nationalist People's Coalition,19005
Alicia,Vice-Mayor,"Alejandro, Joel Amos Perez",Dowell,Lakas-Christian Muslim Democratic,13446
Alicia,Councilor,"Alejandro, Jason Manuel Pua",Jason,Nationalist People's Coalition,14257
Alicia,Councilor,"Bumatay, Eric Espejo",Eric,Nationalist People's Coalition,13850
Alicia,Councilor,"Mendoza, Bueniroso Regalado",Isong,Nationalist People's Coalition,13842
Alicia,Councilor,"Reyes, Ramon Juan Jr. Navarro",Rj,Liberal Party,12628
Alicia,Councilor,"Velasco, Andy Bonn Bautista",Andy Bonn,Liberal Party,12301
Alicia,Councilor,"Co, James Danison Sy",Danison,Liberal Party,11985
Alicia,Councilor,"Valiente, Jonathan Battad",Athan,Nationalist People's Coalition,11681
Alicia,Councilor,"Paguila, Almond Lucas",Almond,Liberal Party,10654
Angadanan,Mayor,"Panganiban, Lourdes Segarra",Mayora,Nationalist People's Coalition,18565
Angadanan,Vice-Mayor,"Siquian, Diosdado Subia",Dong,Lakas-Christian Muslim Democratic,16920
Angadanan,Councilor,"Palayad, Elizabeth Gomez",Beth,Lakas-Christian Muslim Democratic,13523
Angadanan,Councilor,"Castillo, Ulysses Lappay",Asset,Nationalist People's Coalition,13097
Angadanan,Councilor,"Ma, Noli Agcaoili",Noli,Lakas-Christian Muslim Democratic,12952
Angadanan,Councilor,"Lappay, Ruben Jr. Mendoza",Bembol,Nationalist People's Coalition,12907
Angadanan,Councilor,"Paggao, Deogracias Go",Joe,Nationalist People's Coalition,12291
Angadanan,Councilor,"Marcos, Medardo Martinez",Medy,Nationalist People's Coalition,11849
Angadanan,Councilor,"Managuelod, Mike Anjelo Bariuad",Mike,Lakas-Christian Muslim Democratic,11706
Angadanan,Councilor,"Go, Ronnel De Leon",Nel,Lakas-Christian Muslim Democratic,11266
Aurora,Mayor,"Uy, William Tio",Tet-Tet,Nationalist People's Coalition,13624
Aurora,Vice-Mayor,"Duldulao, Damian Acoba",Damy,Nationalist People's Coalition,10713
Aurora,Councilor,"Galang, Jeremias Lucas",Jerry,Nationalist People's Coalition,12246
Aurora,Councilor,"Razon, Teresita Epifania Ramirez",Ting-Ting,Nationalist People's Coalition,9828
Aurora,Councilor,"Martin, Melvin Santos",Melvin,Nationalist People's Coalition,8789
Aurora,Councilor,"Baysa, Ellis Agad",Kap,Nationalist People's Coalition,8564
Aurora,Councilor,"Alamani, Marcelino Reyes",Lino,Nationalist People's Coalition,8200
Aurora,Councilor,"Urma, Hardy Vinoya",Hardy,Nationalist People's Coalition,7974
Aurora,Councilor,"Samson, Jessie Bundoc",Jessie,Nationalist People's Coalition,7964
Aurora,Councilor,"Casiano, Leomar Castillo",Mico,Independent,7109
Benito Soliven,Mayor,"Sanglay, Benjamin Edillo",Ben,Nationalista Party,6532
Benito Soliven,Vice-Mayor,"Lungan, Roberto Taguinod",Robert,Liberal Party,6688
Benito Soliven,Councilor,"Siquian, Isidro Ii Magno",Bong,Independent,5723
Benito Soliven,Councilor,"Azur, John Paul Siquian",Jp,Independent,5573
Benito Soliven,Councilor,"Camaso, Janily Olermo",Jani,Nationalista Party,5490
Benito Soliven,Councilor,"Ancheta, Marshal Ostares",Mar,Liberal Party,4922
Benito Soliven,Councilor,"Rinion, Rommel Luyun",Mel,Nationalista Party,4852
Benito Soliven,Councilor,"Abu, Ernesto Basco",Ernes,Liberal Party,4183
Benito Soliven,Councilor,"Casas, Labueno  Jr. Catalma",Jun,Nationalista Party,3984
Benito Soliven,Councilor,"Carreon, Jose Perreira",Jun,Nationalista Party,3774
Burgos,Mayor,"Tegui, Ruben Acierto",Boyet,Liberal Party,8442
Burgos,Vice-Mayor,"Dela Cruz, Fred Salvador",Freddie,Independent,5593
Burgos,Councilor,"Tegui, Ansley Val Camia",Val,Liberal Party,6557
Burgos,Councilor,"Gamayon, Roderick Collado",Rod,Independent,5471
Burgos,Councilor,"Espejo, Heinrich Domingo",Rich,Nationalist People's Coalition,4881
Burgos,Councilor,"Alabon, Felixnaldo Balubar",Nald,Liberal Party,4777
Burgos,Councilor,"Lopez, Emmanuel Sibayan",Eman,Liberal Party,4714
Burgos,Councilor,"Agtarap, Martin Salacup",Marlo,Liberal Party,4138
Burgos,Councilor,"Anagaran, Hector Balaoro",Hector,Liberal Party,3802
Burgos,Councilor,"Guillermo, Edgardo Caratiquit",Baka,Liberal Party,3380
Cabagan,Mayor,"Albano, Rodolfo Bagunu",Rudy,Nationalist People's Coalition,17177
Cabagan,Vice-Mayor,"Mamauag, Christopher Azurin",Topi,Nationalist People's Coalition,16346
Cabagan,Councilor,"Masigan, Lovier Valencia",Ovie,Nationalist People's Coalition,13484
Cabagan,Councilor,"Talosig, Diosdado Baquiran",Dado,Independent,12013
Cabagan,Councilor,"Albano, Rene Jr. Perez",Ed,Nationalist People's Coalition,10938
Cabagan,Councilor,"Zipagan, Randolph Estrabo",Andy,Independent,10937
Cabagan,Councilor,"Acorda, Visitacion Bagunu",Visie,Nationalist People's Coalition,10224
Cabagan,Councilor,"Zipagan, Reymar Catabui",Mar,Independent,10009
Cabagan,Councilor,"Baricaua, Honorato  Jr. Allam",Jun,Nationalist People's Coalition,9955
Cabagan,Councilor,"Tarun, Orlando Felix Jr. Villa",Bong,Nationalist People's Coalition,9389
Cabatuan,Mayor,"Uy, Charlton Liu",Tonton,Puwersa ng Masang Pilipino,10708
Cabatuan,Vice-Mayor,"Acosta, Mario Isidro",Boy,Puwersa ng Masang Pilipino,11076
Cabatuan,Councilor,"Asuncion, Hermogenes Pancho",Hermo,Puwersa ng Masang Pilipino,8901
Cabatuan,Councilor,"Miano, Troy Alexander Gozum",Troy,Lakas-Christian Muslim Democratic,8572
Cabatuan,Councilor,"Alivia, Leonardo Castro",Lando,Lakas-Christian Muslim Democratic,7836
Cabatuan,Councilor,"Cadeli, Jaime Visaya",Jimmy,Lakas-Christian Muslim Democratic,7394
Cabatuan,Councilor,"Monte, Renato Jara",Buboy,Puwersa ng Masang Pilipino,7116
Cabatuan,Councilor,"Uaje, Chanda Gonzales",Chanda,Puwersa ng Masang Pilipino,7005
Cabatuan,Councilor,"Garcia, Bernardo Jr. Ancheta",Panyong,Liberal Party,6399
Cabatuan,Councilor,"Crisologo, Marval Santos",Mar,Puwersa ng Masang Pilipino,6189
Cauyan City,City Mayor,"Dy, Bernard Faustino La Madrid",Bernard,Nationalist People's Coalition,41587
