municipality/city,position,name,nickname,party_affiliation,votes_obtained
Aglipay,Mayor,"Agsalda, Jerry Tiburcio",Jerry,Liberal Party,10031
Aglipay,Vice-Mayor,"Quebral, Teresita Dela Cruz",Tita,Liberal Party,8331
Aglipay,Councilor,"Domingo, Jose Reyes",Jose,Partido Demokratiko Pilipino,6978
Aglipay,Councilor,"Eustaquio, Giovanni Mari",Vani,Liberal Party,6938
Aglipay,Councilor,"Baldos, Fernando Tubera",Belleng,Liberal Party,6707
Aglipay,Councilor,"Marcos, Michelle Martin",She-She,Liberal Party,6555
Aglipay,Councilor,"Ganitano, Nardito Calaputoc",Narding,Liberal Party,6163
Aglipay,Councilor,"Delos Reyes, Manuel Publico",Manny,Liberal Party,6142
Aglipay,Councilor,"Domingo, Fernando Reyes",Boyet,Liberal Party,6098
Aglipay,Councilor,"Alberto, Warlita Gollayan",Warly,Liberal Party,5931
Cabarroguis,Mayor,"Agustin, Avelino Jr. Noveda",Ave,Liberal Party,10626
Cabarroguis,Vice-Mayor,"Aduca, Gilbert Agaloos",Bong,Liberal Party,7841
Cabarroguis,COuncilor,"Kitan, Narciso Cawilan",Pantal,Liberal Party,7642
Cabarroguis,COuncilor,"Agbayani, Arwin Pinto",Win,Liberal Party,7535
Cabarroguis,COuncilor,"Valdez, Florencio Jr. Lopez",Tugo,Independent,6482
Cabarroguis,COuncilor,"Lopez, Virgilio Abon",Gil,Liberal Party,6314
Cabarroguis,COuncilor,"Binlayan, Alberto Binwag",Bert,Liberal Party,5888
Cabarroguis,COuncilor,"Borja, Dominador Noveno",Doming,Liberal Party,5877
Cabarroguis,COuncilor,"Dela Cruz, Kris-Ian Gumarac",Ian,Liberal Party,5839
Cabarroguis,COuncilor,"Pastor, Alipio Natividad",Alip,Independent,5788
Diffun,Mayor,"Guillermo, Marlo Serrano",Marlo,Liberal Party,14952
Diffun,Vice-Mayor,"Agustin, Cesar Matias",Cesar,Liberal Party,15133
Diffun,Councilor,"Corpuz, Marlito Garnace",Itong,Liberal Party,9684
Diffun,Councilor,"Gatchalian, Ofelia Caingat",Oping,Liberal Party,9037
Diffun,Councilor,"Reyes, Babylyn Gabatin",Babes,Liberal Party,9008
Diffun,Councilor,"Unite, Corazon Pimentel",Azon,Liberal Party,8923
Diffun,Councilor,"Antolin, Gloria Calica",Glo,Liberal Party,8882
Diffun,Councilor,"Cabe, Macaria Blanco",Caring,Liberal Party,8454
Diffun,Councilor,"Navalta, Jovino Fajardo",Vino,Liberal Party,8162
Diffun,Councilor,"Gaudia, Ruben Tabio",Ben,Liberal Party,7172
Madella,Mayor,"Ylanan, Renato Sr. Ganda",Rey,Independent,12039
Madella,Vice-Mayor,"Ruiz, Florante Tomas",Pong,Liberal Party,11645
Madella,Councilor,"Tolentino, Rimel Carrera",Lippuok,Independent,8581
Madella,Councilor,"Dacmay, Linda Gulguluay",Linda,Independent,7775
Madella,Councilor,"Badongen, Joel Baingan",Jojo,Independent,7737
Madella,Councilor,"Albano, Celso Javier",Cel,Independent,7038
Madella,Councilor,"Ramos, Junard Noto",Coach Junard,Independent,6815
Madella,Councilor,"Cadavis, Alberto Jr. Sanchez",Jun,Independent,5978
Madella,Councilor,"Gadingan, Mariano Jr. Basilio",Jun,Independent,5714
Madella,Councilor,"Sad-En, Melchor Colbongan",Shalom,Independent,5329
Nagtipunan,Mayor,"Camma, Rosario Kiwkiw",Sario,Liberal Party,5682
Nagtipunan,Vice-Mayor,"Tigas, Nolie Santos",Nolie,Liberal Party,5074
Nagtipunan,Councilor,"Coronado, Keith Decapia",Keith,Independent,4868
Nagtipunan,Councilor,"Toloy, Lozado Pagie",Loyd,Partido Demokratiko Pilipino,4433
Nagtipunan,Councilor,"Blanza, Emilio Jr. Luzong",Emil,Liberal Party,4416
Nagtipunan,Councilor,"Duldulao, Benjamin Jr. Pasilios",Gunyong,Independent,4371
Nagtipunan,Councilor,"Ballesteros, Arnel Sr. Esteban",Nel,Liberal Party,4298
Nagtipunan,Councilor,"Perez, Flor Balderas",Assistant,Liberal Party,4267
Nagtipunan,Councilor,"Lito-Ong, Tito Bayaweng",Tito,Independent,4041
Nagtipunan,Councilor,"Perez, Policarpio Montalbo",Pol,Liberal Party,3938
Saguday,Mayor,"Pagbilao, Marcelina Marzan",Mercy,Liberal Party,4673
Saguday,Vice-Mayor,"Brillantes, Denis Barbado",Denis,Independent,3630
Saguday,Councilor,"Feliciano, Dennis Pagbilao",Den,Liberal Party,4139
Saguday,Councilor,"Vicmudo, Diolison Alap",Burgo,Liberal Party,4027
Saguday,Councilor,"Canto, Frederick Eleccion",Dick,Liberal Party,3731
Saguday,Councilor,"Cadiente, Ric Bustillos",Tapuak,Liberal Party,3596
Saguday,Councilor,"Acosta, Amando Jr. Guillermo","Mando, Jr.",Independent,3344
Saguday,Councilor,"Cardenas, Larry Jr. Songcuan",Balong,Liberal Party,3323
Saguday,Councilor,"Celestino, Dannie Pioquinto",Dannie,Independent,3284
Saguday,Councilor,"Salviejo, Lorenzo Gabriel",Kano,Liberal Party,3073
