city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Agoncillo,Mayor,"Reyes, Daniel De Leos",Dan,Liberal Party,10141
Agoncillo,Vice-Mayor,"Encarnacion, Domingo Cabello",Domeng,Liberal Party,9435
Agoncillo,Councilor,"Caringal, Edgar Capuno",Bossing,Liberal Party,8932
Agoncillo,Councilor,"Enriquez, Leonarda Aquino",Nady,United Nationalist Alliance,8447
Agoncillo,Councilor,"Fajardo-Roque, Rosemelyn Roldan",Mylene,Liberal Party,8427
Agoncillo,Councilor,"Reyes, Alberto De Sagun",Abet,United Nationalist Alliance,8290
Agoncillo,Councilor,"Martinez, May Lacap",May Lacap,United Nationalist Alliance,8249
Agoncillo,Councilor,"Mendoza, Aaron Ray Bathan",Aron,Liberal Party,7953
Agoncillo,Councilor,"Balba, Nolasco Canobas",Nonie,Liberal Party,7946
Agoncillo,Councilor,"Hernandez, Constantino De Villa",Tony,United Nationalist Alliance,7742
Alitagtag,Mayor,"Andal, Anthony Francis Gainza",Tonton,Liberal Party,5810
Alitagtag,Vice-Mayor,"Marasigan, Donald Punzalan",Donald,Nationalist People's Coalition,6610
Alitagtag,Councilor,"Ponggos, Edilberto Gutierrez",Dingdong,Liberal Party,6073
Alitagtag,Councilor,"Abrigo, Manuel Esguerra",Maweeh,Independent,6044
Alitagtag,Councilor,"Ilagan, Ruben Ceferino Ilao",Ruben,Liberal Party,5457
Alitagtag,Councilor,"Borromeo, Geraldine Magpantay",Janeth,Liberal Party,5443
Alitagtag,Councilor,"Dimaculangan, Erwin Giron",Erwin,Nationalist People's Coalition,4929
Alitagtag,Councilor,"Adajar, Floro Garces",Floro,Nationalist People's Coalition,4304
Alitagtag,Councilor,"Ilagan, Dionisio Lavi",Diony,Nationalist People's Coalition,4088
Alitagtag,Councilor,"Reyes, Bernardo Jr. Castillo",Bobby,Nationalist People's Coalition,4036
Balayan,Mayor,"Fronda, Emmanuel Salvador Orfano",Manny,Lakas-Christian Muslim Democratics,17037
Balayan,Vice-Mayor,"Arada, Joel Tanglao",Joel,Independent,15542
Balayan,Councilor,"Macalindong, Rodel Lacsamana",Rodel,Lakas-Christian Muslim Democratics,20680
Balayan,Councilor,"Fronda, Emmanuel Salvador Ii Pamintuan",Jr,Lakas-Christian Muslim Democratics,19169
Balayan,Councilor,"Castelo, Romel Ii Maningat",Meldos,Lakas-Christian Muslim Democratics,18613
Balayan,Councilor,"Andal, Jasmin O",Jhaz,Lakas-Christian Muslim Democratics,18383
Balayan,Councilor,"Esperon, Cristeta Caraig",Christy,Lakas-Christian Muslim Democratics,16955
Balayan,Councilor,"Pamintuan, Danilo Sta. Ana",Nilo,Lakas-Christian Muslim Democratics,16573
Balayan,Councilor,"Abiad, Rita Dela Cruz",Rita,Independent,15771
Balayan,Councilor,"Ramos, Francisco Santos",Cocoy,Liberal Party,13725
Balete,Mayor,"Hidalgo, Leovino Ojales",Joven,Liberal Party,6351
Balete,Vice-Mayor,"Maralit, Wilson Villapando",Bokal,Liberal Party,6306
Balete,Councilor,"Roxas, Roger Solomon",Roger,Liberal Party,5615
Balete,Councilor,"Garcia, Graciano Katigbak",Grecy,Independent,5573
Balete,Councilor,"Payo, Alvin Tapia",Alvin,Liberal Party,4964
Balete,Councilor,"Encallado, Rodante Maralit",Dante,Liberal Party,4772
