city_or_municipality,position,name,nickname,party_affiliation,votes_obtainde
Boac,Mayor,"Madla, Roberto Mercene",Bert,National Unity Party,13561
Boac,Vice-Mayor,"Marquez, Dante Josue",Dan,Liberal Party,8751
Boac,Councilor,"Paglinawan, Sonny Lozano",Sonny,National Unity Party,11109
Boac,Councilor,"Solomon, Benjamin I Magcamit",Bj,Liberal Party,9716
Boac,Councilor,"Laylay, Luisito Solano",Sito,Liberal Party,9710
Boac,Councilor,"Leva, Aurelio Iii Justiniano",Jojo,National Unity Party,8942
Boac,Councilor,"Largado, Benildo Ledesma",Benny,National Unity Party,8710
Boac,Councilor,"Larracas, Rolando Mandac",Rolly,National Unity Party,7648
Boac,Councilor,"Magalang, Miguel Rivera",Myke,National Unity Party,6988
Boac,Councilor,"Palomares, Carlos Manguera",Caloy,National Unity Party,6744
Buenavista,Mayor,"Madrigal, Russell Sarmiento",Jing,National Unity Party,6843
Buenavista,Vice-Mayor,"Saguid, Montano Privado",Gohoy,Liberal Party,5585
Buenavista,Councilor,"Fabrero, Bert Sario",Bert,National Unity Party,4596
Buenavista,Councilor,"Pampola, Eduardo Limbo",Eddie,National Unity Party,4371
Buenavista,Councilor,"Vitto, David Grave",Dave,Independent,3954
Buenavista,Councilor,"Pinaroc, Florentino Blanco",Tony,National Unity Party,3920
Buenavista,Councilor,"Pe, Arleigh Villarosa",Jap,National Unity Party,3749
Buenavista,Councilor,"Vitto, Jonabeth Morales",Beth,National Unity Party,3240
Buenavista,Councilor,"Seco, Roland Vitto",Onad,Independent,2993
Buenavista,Councilor,"Salvacion, Veronica Valencia",Ate Vernie,Liberal Party,2923
Gasan,Mayor,"Lim, Victoria Lao",Vicky,National Unity Party,8086
Gasan,Vice-Mayor,"Sosa, Yudel Agoncillo",Yudel,National Unity Party,5199
Gasan,Councilor,"Motol, Dunne Melton Saporna",Dadong,Independent,7646
Gasan,Councilor,"Balitaan, Servillano Montejo",Bell,Nationalist People's Coalition,6666
Gasan,Councilor,"Lao, Elisa Josue",Lisa,National Unity Party,6084
Gasan,Councilor,"Salcedo, Meyrick De La Santa",Merick,National Unity Party,5880
Gasan,Councilor,"Caparros, Rodolfo De Leon",Rudy,Liberal Party,5662
Gasan,Councilor,"Asuncion, Celia Margarita Laurel",Magie,National Unity Party,5437
Gasan,Councilor,"Moreno, Oscar Sadiwa",Oca,Liberal Party,5081
Gasan,Councilor,"Sadiua, Ederlinda Rodil",Edy,National Unity Party,5067
Mogpog,Mayor,"Livelo, Senen Jr. Monteagudo",Jojo,Liberal Party,9337
Mogpog,Vice-Mayor,"Mantala, Rolando Jamin",Lando,Independent,4028
Mogpog,Councilor,"Belison, Vryant Rajehv Morera",Belison,Liberal Party,8761
Mogpog,Councilor,"Luisaga, Belen Mantala",Belen,Liberal Party,7435
Mogpog,Councilor,"Mangcucang, Antonio Iii Licon",Tres,Liberal Party,6483
Mogpog,Councilor,"Motol, Gregoria Jalos",Goring,Liberal Party,6201
Mogpog,Councilor,"Manggol, Nemesio Ola",Mesing,Liberal Party,5460
Mogpog,Councilor,"Ola, Edmundo Miranda",Mondoy,Liberal Party,5171
Mogpog,Councilor,"Narito, Roberto Narvaez",Robert,National Unity Party,4583
Mogpog,Councilor,"Larraquel, Raymundo Lambot",Munding,Liberal Party,4461
Santa Cruz,Mayor,"Red, Wilfredo Real",Willy,Liberal Party,14162
Santa Cruz,Vice-Mayor,"Lim, Ishmael Del Prado",Kuya Mael,Liberal Party,14300
Santa Cruz,Councilor,"De La Rosa, Sancho Noblejas",Sonny,National Unity Party,15269
Santa Cruz,Councilor,"Palamos, Alejandro Cuares",Al,National Unity Party,11836
Santa Cruz,Councilor,"Nu, Erlando Tan",Lando,National Unity Party,11789
Santa Cruz,Councilor,"Red, Danilo Real",Danny,Independent,11561
Santa Cruz,Councilor,"Ricafrente, Edwin Tagle",Win,Independent,10572
Santa Cruz,Councilor,"Perilla, Macario Grimaldo",Mar,Independent,10130
Santa Cruz,Councilor,"Dy, Benito Iii Valenzuela",Ben,Independent,9841
Santa Cruz,Councilor,"Quindoza, Joseph Dela Cruz",Joey,National Unity Party,9714
Torrijos,Mayor,"Briones, Gil Reginio",Boreks,Liberal Party,7186
Torrijos,Vice-Mayor,"Macdon, Roberto Fadrigon",Obet,Liberal Party,7284
Torrijos,Councilor,"De Galicia, Ricardo Reginio",Ricky,Liberal Party,5712
Torrijos,Councilor,"Pizarro, Alvine Gaye Rosas",Vingaye,Independent,4212
Torrijos,Councilor,"Roldan, Monchito Paz",Monching,Liberal Party,4141
Torrijos,Councilor,"Fabrero, Sabino Postrado",Binoy,Liberal Party,4104
Torrijos,Councilor,"Grimaldo, Pablito Oblipias",Chief,Liberal Party,3824
Torrijos,Councilor,"Villar, Norma Valenzuela",Norma,Independent,3685
Torrijos,Councilor,"Andrade, Bernardo Romasanta",Ado,Liberal Party,3548
Torrijos,Councilor,"Pimentel, Angel Rioveros",Otoc,Liberal Party,3525
