municipality/city,position,name,nickname,party_affiliation,votes_obtained
Baco,Mayor,"Marco, Reynaldo Aceveda",Rey Marco,Nationalist People's Coalition,6874
Baco,Vice-Mayor,"Castillo, Brederick Victorio",Eric,Nationalist People's Coalition,7617
Baco,Councilor,"Villaruel, Jerry Silang",Jerry,Liberal Party,5638
Baco,Councilor,"Ical, Agnes Maravilla",Agnes,Nationalist People's Coalition,5522
Baco,Councilor,"Bautista, Clemen Aceveda",Pinsan,Nationalist People's Coalition,5415
Baco,Councilor,"Villas, Ariel Caraig",Bro Matik,Liberal Party,5055
Baco,Councilor,"Bautista, Naylene Zulueta",Naylene,Nationalist People's Coalition,4768
Baco,Councilor,"Garcia, Gerald Camonggol",Gerald,Nationalist People's Coalition,4476
Baco,Councilor,"Garcia, Ruben Yongkul",Ben,Liberal Party,4452
Baco,Councilor,"Aguilar, Jenelyn Tecson",Jelyn,Liberal Party,4083
Bansud,Mayor,"Morada, Ronaldo Mortel",Ronnie,Liberal Party,12083
Bansud,Vice-Mayor,"Manato, Donato Mijares",Atoy,Liberal Party,11730
Bansud,Councilor,"Manato, Mary Melody Minay",May,Liberal Party,8709
Bansud,Councilor,"Tolentino, Rico Bayer",Roy,Liberal Party,8000
Bansud,Councilor,"Rivera, Jimmy Ramos",Jim,Liberal Party,7781
Bansud,Councilor,"Castromero, Elias Saraza",Ely,Liberal Party,7749
Bansud,Councilor,"De Castro, Carlito Magnaye",Carling,Liberal Party,7354
Bansud,Councilor,"Morales, Joseph Maningas",Cabag,Liberal Party,7206
Bansud,Councilor,"Evangelista, Nemesio Calderon",Nemie,Liberal Party,7128
Bansud,Councilor,"Cometa, Dronuel Rodaje",Boy,Liberal Party,6549
Bongabong,Mayor,"Umali, Hercules Almarez",Bobot,Liberal Party,17532
Bongabong,Vice-Mayor,"Montalbo, Alfonso Anthony",Alfie,Liberal Party,17278
Bongabong,Councilor,"Enriquez, Jeremy Isler",Emy,Liberal Party,13835
Bongabong,Councilor,"Candelario, Richard Se",Totoy,Liberal Party,13753
Bongabong,Councilor,"Melendrez, Alvin Milambiling",Alvin,Liberal Party,12821
Bongabong,Councilor,"Mendeja, Antonio Marquez",Tony Km,Independent,12142
Bongabong,Councilor,"Sosa, Robert Hernandez",Obet,Liberal Party,10779
Bongabong,Councilor,"Liwanag, Owen Caballero",Owen,Liberal Party,9515
Bongabong,Councilor,"Maulion, Rogelio Cabrera",Boy,Liberal Party,9123
Bongabong,Councilor,"Vargas, Arnold Ramos",Boy Vargas,Independent,9007
Bulalacao San Pedro,Mayor,"Villas, Edna Cantos",Ecv,Liberal Party,8579
Bulalacao San Pedro,Vice-Mayor,"Bantugan, Teresita Salazar",Tessie,Liberal Party,4931
Bulalacao San Pedro,Councilor,"Acosta, German Salas",German,Liberal Party,6677
Bulalacao San Pedro,Councilor,"Abuel, Gideon Babista",Gids,Liberal Party,6668
Bulalacao San Pedro,Councilor,"Osorio, Emelita Austria",Milet,Liberal Party,6500
Bulalacao San Pedro,Councilor,"Aceron, Edwin Contreras",Edwin,Liberal Party,5947
Bulalacao San Pedro,Councilor,"Familara, Senen Cusi",Senen,Liberal Party,5595
Bulalacao San Pedro,Councilor,"Gonzales, Dexter Rivaldo",Toti,SANDUGO,5522
Bulalacao San Pedro,Councilor,"Faner, Dennes Madra",Nhess,SANDUGO,5518
Bulalacao San Pedro,Councilor,"Magbanua, Ramon Garao",Monching,Liberal Party,5433
City of Calapan,City Mayor,"Panaligan, Arnan Capulong",Arnan,United Nationalist Alliance,36396
City of Calapan,City Vice-Mayor,"Brucal, C. Voltaire Siapco",Bong,Liberal Party,23780
City of Calapan,Councilor,"Ramirez, Gil Guerra",Gil,Independent,27336
City of Calapan,Councilor,"Apasan, Eric Chua",Eric,Liberal Party,25036
City of Calapan,Councilor,"Ilano, Edilberto Jr. Carena",Edel,Liberal Party,24463
City of Calapan,Councilor,"Tanyag, Lorybelle Maulion",Bel Tanyag,United Nationalist Alliance,21049
City of Calapan,Councilor,"Leynes, Glenford Aguilon",Glen,Liberal Party,20439
City of Calapan,Councilor,"Neria, Jocelyn Uy",Jocy Neria,United Nationalist Alliance,20179
City of Calapan,Councilor,"Datinguinoo, Carmela Leviste",Carmela,Liberal Party,19172
City of Calapan,Councilor,"Agua, Aselo Mendoza",Asel,Liberal Party,18163
City of Calapan,Councilor,"Raquepo, Roy Basco",Rr,Liberal Party,17890
City of Calapan,Councilor,"Balbuena, Riezel Marie Leachon",Chi,Liberal Party,17133
Gloria,Mayor,"Perez, Loreto Saldua",Loret,Liberal Party,8911
Gloria,Vice-Mayor,"Solas, Ramon Gonzales",Monching,Liberal Party,9280
Gloria,Councilor,"Rodegerio, German De Chavez",Bitoy,Liberal Party,8348
Gloria,Councilor,"Fampulme, Teotimo Jr. Fronda",Timo,United Nationalist Alliance,7990
Gloria,Councilor,"Pinohermoso, Kathleen Cyrele Cuyas",Kc,Independent,7981
Gloria,Councilor,"Jamilla, Nick Orlando Mendoza",Nick Orlan,Liberal Party,7521
Gloria,Councilor,"Bawasanta, Crispin Jamilla",Cris,United Nationalist Alliance,7384
Gloria,Councilor,"Jarabe, Ramon Iii Vitto",Jojo,Liberal Party,7252
Gloria,Councilor,"Perez, Mario Ubaldo",Mar,Liberal Party,7073
Gloria,Councilor,"Alvarez, George Voltaire Panit",Jojo,United Nationalist Alliance,6961
Mansalay,Mayor,"Maliwanag, Jose Ildefonso Maulion",Joel,Liberal Party,8421
Mansalay,Vice-Mayor,"Samarita, Armando Gaite",Ogit,Independent,8069
Mansalay,Councilor,"Postma, Lynette Gallano",Lhay,Independent,8324
Mansalay,Councilor,"Trajico, Jim Maliwanag",Jim,Liberal Party,7752
Mansalay,Councilor,"Go, Ariel Abeleda",Jojo,Independent,7129
Mansalay,Councilor,"Gustilo, Ernesto Antaran",Ghie,Independent,6318
Mansalay,Councilor,"De Chavez, Geobert Salazar",Obet,Independent,6112
Mansalay,Councilor,"Ayap, Rogelio Samarita",Roger,Independent,5793
Mansalay,Councilor,"De Roxas, Carlito Samarita",Bunso,Independent,5475
Mansalay,Councilor,"Gamol, Shernan Fajutnao",Ynan,Liberal Party,5336
Naujan,Mayor,"Marcos, Mark Navarro",Mac,Liberal Party,18650
Naujan,Vice-Mayor,"Teves, Henry Joel Caligner",Joel,Nationalista Party,15638
Naujan,Councilor,"Morales, Sheryl Bacay",Shey,Liberal Party,15513
Naujan,Councilor,"Dudas, Mara Edamzel Laurente",Mara,United Nationalist Alliance,15164
Naujan,Councilor,"Viray, Wilson Adra",Elic,Liberal Party,14744
Naujan,Councilor,"Melgar, Candido Jr. Janda",Dan,Liberal Party,14003
Naujan,Councilor,"De Villa, Jojo Balita",Jojo,United Nationalist Alliance,13564
Naujan,Councilor,"Llamar, Edgar Ibrahim Caoli",Doc Egay,Liberal Party,12353
Naujan,Councilor,"De Villa, Leo De Guzman",Leo,Liberal Party,11685
Naujan,Councilor,"Delos Reyes, Great Mangubat",Great,Liberal Party,11475
Pinamalayan,Mayor,"Hernandez, Wilfredo Sr. Lualhati",Fred,Liberal Party,15599
Pinamalayan,Vice-Mayor,"Baldos, Aristeo Jr. Apasan",Aris,Independent,21501
Pinamalayan,Councilor,"Magsino, Rodolfo Mantaring",Rodel,Liberal Party,17716
Pinamalayan,Councilor,"Madrid, Arnoldo Manrique",Totoy,Liberal Party,14076
Pinamalayan,Councilor,"Pedraza, Leonardo Lingon",Leo,Liberal Party,13029
Pinamalayan,Councilor,"Umbao, Jeoffrey Paul Agamata",Jeff,Independent,12385
Pinamalayan,Councilor,"Olympia, Antonio Victor Rimon",Tony,Liberal Party,10797
Pinamalayan,Councilor,"Abrenica, Arnel Gozar",Bong,Independent,10771
Pinamalayan,Councilor,"Paylago, Jason Canson",Jason,Independent,10238
Pinamalayan,Councilor,"Rodil, Joseph Teregosa",Rodil,Liberal Party,9647
Pola,Mayor,"Panganiban, Leandro Jr. Pasco",Kuya Dodjie,United Nationalist Alliance,7565
Pola,Vice-Mayor,"Oliveros, Celso Jr. Manalo",Bodog,Liberal Party,7042
Pola,Councilor,"Rivas, Rosie Lusterio",Eisor,Liberal Party,7051
Pola,Councilor,"Rivera, Marvin Torres",Marvin,Liberal Party,6933
Pola,Councilor,"Villanueva, Ancieto Jaqueca",Anchie,United Nationalist Alliance,5980
Pola,Councilor,"Dumaran, Archielito Ramos",Archie Dumaran,Liberal Party,5564
Pola,Councilor,"Axalan, Meynardo Cabrera",Axalan,Liberal Party,5542
Pola,Councilor,"Montalbo, Efren Cabanig",Efren,United Nationalist Alliance,5345
Pola,Councilor,"Dajoyag, Ernesto Del Mundo",Esto,United Nationalist Alliance,5207
Pola,Councilor,"Lincallo, Romeo Paez",Meo,United Nationalist Alliance,5096
Puerto Galera,Mayor,"Dolor, Hubbert Christopher Atienza",Md,Liberal Party,8333
Puerto Galera,Vice-Mayor,"Ylagan, Robinhood De Chavez",Rdy,United Nationalist Alliance,7168
Puerto Galera,Councilor,"Lopez, Marlon Lopez",Marlon,Liberal Party,7882
Puerto Galera,Councilor,"Magbuhos, Graciela Manongsong",Grace,Liberal Party,7343
Puerto Galera,Councilor,"Andal, Joseph Lineses",Joseph,United Nationalist Alliance,7072
Puerto Galera,Councilor,"Atienza, Miko Mark Francis Perez",Miko,Liberal Party,6937
Puerto Galera,Councilor,"Suzara, Edwin Calda",Ed,Liberal Party,6824
Puerto Galera,Councilor,"Evangelista, Mark Garry Villanueva",Jayjay,Liberal Party,6415
Puerto Galera,Councilor,"Arago, Melchor Jumaquio",Mel,Liberal Party,6373
Puerto Galera,Councilor,"Axalan, Edwin Candava",Engr Ed,Liberal Party,6208
Roxas,Mayor,"Dy, Jackson Cinco",Jak,Liberal Party,10818
Roxas,Vice-Mayor,"Dimapilis, Violeta Labis",Bolet,Liberal Party,15837
Roxas,Councilor,"Soriano, Eduardo Kunanan",Edward,Liberal Party,9225
Roxas,Councilor,"Si, Johnell Cabrera",Nell,Liberal Party,8824
Roxas,Councilor,"Magno, Gualberto Villanueva",Dodoy,Liberal Party,8633
Roxas,Councilor,"Dela Cruz, David Dalida",Den-Den,SANDUGO,8468
Roxas,Councilor,"Dimapilis, Ramil Onte",Ramil,Independent,7715
Roxas,Councilor,"Advincula, Juan Salmorin",Johnny,Liberal Party,7617
Roxas,Councilor,"Galaran, Elsie Fabriquier",Sie,Liberal Party,7585
Roxas,Councilor,"Bacay, Juanito Jr. Abrenica",Jun,SANDUGO,7216
San Teodoro,Mayor,"Feraren, Marvic Evangelista",Vic,Liberal Party,3236
San Teodoro,Vice-Mayor,"Bae, Manuel Roxas",Manny,Liberal Party,3431
San Teodoro,Councilor,"Alisna, Lourdes Garejo",Tita,Liberal Party,3240
San Teodoro,Councilor,"Marinduque, Francisco Abena",Bobot,Liberal Party,3181
San Teodoro,Councilor,"Arguelles, Allan Atienza",Allan,Nationalista Party,3067
San Teodoro,Councilor,"Justo, Erwin Cubos",Ewin,Nationalista Party,2926
San Teodoro,Councilor,"Arenillo, Hector Tuason",Hec,Liberal Party,2634
San Teodoro,Councilor,"Felix, Willie Bae",Willie,Liberal Party,2625
San Teodoro,Councilor,"Moreno, Newton John San Jose",Newton,Nationalist People's Coalition,2390
San Teodoro,Councilor,"Bae, Bernie Ella",Bernie,Liberal Party,2334
Socorro,Mayor,"Arreola, Rolando Foronda",Rolly,Liberal Party,9380
Socorro,Vice-Mayor,"Umbao, Marvin Guadania",Marvin,Liberal Party,8527
Socorro,Councilor,"Carmona, Vilma Vida",Vi,Liberal Party,7987
Socorro,Councilor,"Brondial, Dennis Villar",Dennis,Liberal Party,7553
Socorro,Councilor,"Montealegre, Nicanor Magtibay",Nick,Independent,7548
Socorro,Councilor,"De Claro, Roy Abraham",Roy,Liberal Party,7487
Socorro,Councilor,"Pacia, Rodolfo Atienza",Dopong,Liberal Party,7251
Socorro,Councilor,"Anyayahan, Elmar Gonzales",Mayot,Liberal Party,7057
Socorro,Councilor,"Del Rosario, Romar Genabe",Kap,Independent,6404
Socorro,Councilor,"Abalos, Junie Maranan",Junie,Liberal Party,6120
Victoria,Mayor,"Ortega, Alfredo Jr. Gasic",Dayo,Liberal Party,11051
Victoria,Vice-Mayor,"Castillet, Luis Sr. Sabalan",Louie,Nationalista Party,10168
Victoria,Councilor,"Callo, Imelda Nabor",Mel,Liberal Party,10622
Victoria,Councilor,"Ganad, Rowell Palaganas",Rowell,Liberal Party,8284
Victoria,Councilor,"Dimaano-Dumas, Mercedita Abacan",Mercy,Liberal Party,8127
Victoria,Councilor,"Malaluan, Michael Rollon",Mike,Nationalista Party,7948
Victoria,Councilor,"Barber, Arnaldo Jr. Asilo",Jon Jon,Liberal Party,7833
Victoria,Councilor,"Gahol, Junie Rose Sanque",Pinky,Liberal Party,7816
Victoria,Councilor,"Malitao, Tanie Jr. Dalimot",Tanie,Liberal Party,7403
Victoria,Councilor,"Moreno, Carlos Arellano",Tyo Caloy,Liberal Party,7099
