city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aborlan,Mayor,"Ortega, Jaime Mawal",Me,Partido Pagbabago ng Palawan,7789
Aborlan,Vice-Mayor,"Madeja, Ariston Trifalgar",Arit,Partido Pagbabago ng Palawan,6130
Aborlan,Councilor,"Tito, Lito Oczon",Lits,Partido Pagbabago ng Palawan,7239
Aborlan,Councilor,"Mosteiro, David Jr. Cojamco",Bong,Partido Pagbabago ng Palawan,5599
Aborlan,Councilor,"Madeja, Marvin Candeleja",Biboy,Partido Pagbabago ng Palawan,5473
Aborlan,Councilor,"Cojamco, Carmelo Villarosa",Milo,Liberal Party,4621
Aborlan,Councilor,"Magbanua, Richristopher Cojamco",Payging,Partido Pagbabago ng Palawan,4521
Aborlan,Councilor,"De Jesus, Jerry Madeja",Jer,Partido Pagbabago ng Palawan,4178
Aborlan,Councilor,"Caralipio, Ibandio Mamaclay",Bong,Partido Pagbabago ng Palawan,4120
Aborlan,Councilor,"Fabian, Eduardo Abarnas",Eddie,Liberal Party,4015
Agutaya,Mayor,"Raguin, Mary Jane Adier",Jane,Partido Pagbabago ng Palawan,2692
Agutaya,Vice-Mayor,"Cadlaon, Pablito Adier",Pabling,Partido Pagbabago ng Palawan,2461
Agutaya,Councilor,"Ilustrisimo, Fernando Sr. Gilbuena",Nonoy,Liberal Party,2697
Agutaya,Councilor,"Abela, Nena Radoc",Nenz,Liberal Party,2530
Agutaya,Councilor,"Laab, Ronnie Abordo",Ron,Liberal Party,2215
Agutaya,Councilor,"Apolinario, Cherryl Daculapas",Che,Liberal Party,2119
Agutaya,Councilor,"Dacuan, Rodil Oblan",Ods,Partido Pagbabago ng Palawan,2101
Agutaya,Councilor,"Bautista, Romel Badilla",Mel,Liberal Party,1987
Agutaya,Councilor,"Nangit, Myrna Caabay",Myr,Liberal Party,1985
Agutaya,Councilor,"Zumaraga, Godofredo Jr. Maat",Godie,Partido Pagbabago ng Palawan,1778
Araceli,Mayor,"Cudilla, Sue Saldajeno",Sue,Partido Pagbabago ng Palawan,3419
Araceli,Vice-Mayor,"Daculap, Eddie Solomon",Eldie,Partido Pagbabago ng Palawan,2126
Araceli,Councilor,"Abiog, Rafael Villaverde",Paeng,Liberal Party,2560
Araceli,Councilor,"Namia, Josephine Manlavi",Pepin,Partido Pagbabago ng Palawan,2539
Araceli,Councilor,"Arque, Melecio Jr. Sabenit",Jun,Partido Pagbabago ng Palawan,2368
Araceli,Councilor,"Arzaga, Joaquin Abiog",Jack,Liberal Party,2257
Araceli,Councilor,"Realisan, Reymond Maniapao",Mon,Liberal Party,2226
Araceli,Councilor,"Viguesilla, Nerio Jose",Ner,Liberal Party,2127
Araceli,Councilor,"Daras, Limuel Aloro",Lim,Liberal Party,2101
Araceli,Councilor,"Pantinople, Anthony Bergola",Tony,Partido Pagbabago ng Palawan,2068
Balabac,Mayor,"Astami, Shuaib Juaini",Anakdikih,Partido Pagbabago ng Palawan,7875
Balabac,Vice-Mayor,"Mohammad-Ain, Rudy Abdulla",Rods,Partido Pagbabago ng Palawan,6962
Balabac,Councilor,"Rodriguez, Alanben Sara",Alan,Partido Pagbabago ng Palawan,6509
Balabac,Councilor,"Kibad, Seddick Yusop",Sid,Partido Pagbabago ng Palawan,6110
Balabac,Councilor,"Astami, Ronald Abubakar",Toto,Partido Pagbabago ng Palawan,5728
Balabac,Councilor,"Astami, Faisal Sarael",Fai,Independent,5714
Balabac,Councilor,"Montong, Samsie Musa",Sam,Partido Pagbabago ng Palawan,5480
Balabac,Councilor,"Cerdan, Vicente Valenzuela",Vic,Partido Pagbabago ng Palawan,5410
Balabac,Councilor,"Dingcohong, Ramona Pawi",Munang,Nationalist People's Coalition,5080
Balabac,Councilor,"Diaz, Wilson Usop",Sogala,Nationalist People's Coalition,4978
Bataraza,Mayor,"Ibba, Katrina Wahid",Kathy,National Unity Party,13040
Bataraza,Vice-Mayor,"Jaafar, Kennedy Abdulhamid",Ken,National Unity Party,9524
Bataraza,Councilor,"Ibba, Al-Nashier Mohammad",Al,National Unity Party,10247
Bataraza,Councilor,"Saiyo, Mc Donald Reyes",Mac,National Unity Party,8826
Bataraza,Councilor,"Gamo, Arman Tan",Al G.,National Unity Party,8607
Bataraza,Councilor,"Usop, Jane Bagano",Gin,National Unity Party,7944
