city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bacungan Leon T. Postigo,Mayor,"Jamora, Ruperto Jr. Saranillo",JR,Nationalista Party,4152
Bacungan Leon T. Postigo,Vice-Mayor,"Jaug, Cypress Baco",Bobong,Nationalista Party,3974
Bacungan Leon T. Postigo,Councilor,"Hambali, Aidaroz Akil",Daroz,Nationalista Party,4975
Bacungan Leon T. Postigo,Councilor,"Hambali, Hadjar Laure",Jar,Nationalist People's Coalition,4104
Bacungan Leon T. Postigo,Councilor,"Satina, Archean Baco","Archean  ""Chan""",Nationalista Party,3894
Bacungan Leon T. Postigo,Councilor,"Elumba, Annie Rose Serdan",Inday,Nationalista Party,3893
Bacungan Leon T. Postigo,Councilor,"Murcia, Justino Jr. Nueva",Jokno,Nationalista Party,3748
Bacungan Leon T. Postigo,Councilor,"Gadjale, Dath Balahim",Dats,Nationalista Party,3468
Bacungan Leon T. Postigo,Councilor,"Absin, Loreto Sr. Alforque",Reto,Nationalista Party,3295
Bacungan Leon T. Postigo,Councilor,"Escuadro, Victoria Lomotos",Vicky,Nationalista Party,3184
Baliguian,Mayor,"Esmali, Albina Abog",Obing,Liberal Party,5431
Baliguian,Vice-Mayor,"Esmali, Gani Ali",Gan,Liberal Party,5576
Baliguian,Councilor,"Barang, Saidar Dawani",Rhojo,Liberal Party,4872
Baliguian,Councilor,"Chiong, Vivian Tee",Vian,Nationalista Party,4799
Baliguian,Councilor,"Ando, Romero Ucab",Titing,Liberal Party,4286
Baliguian,Councilor,"Vertudazo, Edgar Neri",Gary,Nationalista Party,4000
Baliguian,Councilor,"Alih, Hadji Nalil Lani",Hadji,Liberal Party,3916
Baliguian,Councilor,"Bontia, Daniel Silo",Boyok,Nationalista Party,3824
Baliguian,Councilor,"Dacup, Harieto Ucab",Tong,Liberal Party,3746
Baliguian,Councilor,"Borres, Dina Gumamay",Din,Nationalista Party,3703
Dapitan City,City Mayor,"Jalosjos, Rosalina Garcia",Nene,United Nationalist Alliance,18414
Dapitan City,City Vice-Mayor,"Cad, Ruben Eguia",Ben,United Nationalist Alliance,16615
Dapitan City,Councilor,"Chan, Jimmy Patrick Israel Bajamunde",Jimboy,United Nationalist Alliance,16026
Dapitan City,Councilor,"Abad, Edna Cabilin",Edna,United Nationalist Alliance,15433
Dapitan City,Councilor,"Recamara, Adora Hamoy",Adora,United Nationalist Alliance,14800
Dapitan City,Councilor,"Dagpin, Alemarlou Bantilan",Ale,United Nationalist Alliance,14339
Dapitan City,Councilor,"Calasang, Uldarico Dalman",Uldy,United Nationalist Alliance,14218
Dapitan City,Councilor,"Sardane, Noel Baes",Wel,United Nationalist Alliance,13930
Dapitan City,Councilor,"Hamak, Hermilo Ruiz",Meloy,United Nationalist Alliance,13844
Dapitan City,Councilor,"Estacio, Alexander Echavez",Bong,United Nationalist Alliance,13487
Dapitan City,Councilor,"Tumapon, Amalou Recamara",Ams,United Nationalist Alliance,13393
Dapitan City,Councilor,"Mah, Dug Christoper Bernad",Popoy,United Nationalist Alliance,13012
Dipolog City,City Mayor,"Uy, Evelyn Tang",Belen,Liberal Party,36713
Dipolog City,City Vice-Mayor,"Velasco, Horacio Bernus",Nonoy,Liberal Party,34634
Dipolog City,Councilor,"Pinsoy, Jasmin Nalugon",Jas,Liberal Party,32378
Dipolog City,Councilor,"Bagarinao, Dante Ricky Gurdiel",Dante,Liberal Party,32299
Dipolog City,Councilor,"Co, Peter Yap",Peter,Liberal Party,31466
Dipolog City,Councilor,"Barbaso, Raul Cuenca",Raul,Liberal Party,30446
Dipolog City,Councilor,"Verduguez, James Paghacian",James V.,Liberal Party,30163
Dipolog City,Councilor,"Ruiz, James Cyril Ochotorena",Cy,Liberal Party,30036
Dipolog City,Councilor,"Rubia, Praxides Purlas",Praxy,Liberal Party,29400
Dipolog City,Councilor,"Ong, Kenny Val Uy",Kenny,Liberal Party,28797
Dipolog City,Councilor,"Legorio, Rubencio Bagnol",Ruben,Liberal Party,27865
Dipolog City,Councilor,"Napigquit, Jonald Cabilin",Jojo,Liberal Party,27789
Godod,Mayor,"Te, Rolando Lim",Rolly,Nationalista Party,4937
Godod,Vice-Mayor,"Caboverde, Ferdinand Jarmin",Banoy,Nationalista Party,4688
Godod,Councilor,"Antao, Edgar Alim",Edgar,Nationalista Party,4706
Godod,Councilor,"Buaya, Arthur Garingo",Arthur,Nationalista Party,4614
Godod,Councilor,"Labad, Samuel Abarquez",Lolong,Nationalista Party,4533
Godod,Councilor,"Buhale, Roman Matugas",Aan,Nationalista Party,4463
Godod,Councilor,"Cinco, Delia Daguplo",Del,Nationalista Party,4246
Godod,Councilor,"Laput, Maria Luzvilla Eyao",Bebs,Nationalista Party,4133
Godod,Councilor,"Mangan, Urias Bansagon",Boyet,Nationalista Party,3899
Godod,Councilor,"Galleposo, Laupo Maglinao",Pong,Nationalista Party,3863
Gutalac,Mayor,"Coma, Onesimo Jr. Lumayno",Jun,Liberal Party,8217
Gutalac,Vice-Mayor,"Jamandron, Herminio Barroca",Ayok,Liberal Party,7563
Gutalac,Councilor,"Suana, Roselyn Lumapis",Apah,Liberal Party,7509
Gutalac,Councilor,"Howa, Marichu Verances",Marichu,Independent,7195
Gutalac,Councilor,"Tendero, Gonzalo Reluya",Sally,Liberal Party,6617
Gutalac,Councilor,"Quimbo, Eddie Justin Tiu",Justin,Liberal Party,6589
Gutalac,Councilor,"Cabale, Alma Paghasian",Alma,Nationalista Party,6288
Gutalac,Councilor,"Sere, Reynante Alga",Alga,Nationalista Party,6092
Gutalac,Councilor,"Daga, Bernardino Sandal",Tata,Liberal Party,5657
Gutalac,Councilor,"Garzon, Gina Montargo",Gina,Nationalista Party,5636
Jose Dalman Ponot,Mayor,"Ferrater, Rachel Dalman",Inday,Liberal Party,7676
Jose Dalman Ponot,Vice-Mayor,"Dalam, Edwin Aceron",Tata-Edwin,Liberal Party,6544
Jose Dalman Ponot,Councilor,"Amahan, Erban Recososa",Erban,Liberal Party,7485
Jose Dalman Ponot,Councilor,"Biolango, Sergio Jr. Yabo",Dodong,Liberal Party,5995
Jose Dalman Ponot,Councilor,"Temonio, Lorido Tigon",Kahon,Liberal Party,5516
