city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Barcelona,Mayor,"Fortes, Manuel Jr. Laurio",Wowo,Unites Nationalist Alliance,5901
Barcelona,Vice-Mayor,"Estopace, Rolando Feliciano",Nono,Liberal Party,6041
Barcelona,Councilor,"Escullar, Agnes Estopace",Agnes,Liberal Party,6015
Barcelona,Councilor,"Fortades, Maria France",Belea,Nationalista Party,6000
Barcelona,Councilor,"Buenaobra, Marjohn Galdo",Marjon,Unites Nationalist Alliance,5787
Barcelona,Councilor,"Magpayo, Ralph Nicomedes",Tro,Liberal Party,5536
Barcelona,Councilor,"Datur, Jesus Hila",Jessie,Liberal Party,5184
Barcelona,Councilor,"Falcotelo, Antonio Jr. Estopace",Jun,Unites Nationalist Alliance,4601
Barcelona,Councilor,"Bailon, Orencio Jr. Gamba",Onying,Unites Nationalist Alliance,4342
Barcelona,Councilor,"Fuenzalida, Antonio Figueroa",Tony,Unites Nationalist Alliance,4308
Bulan,Mayor,"Robles, Marnellie Ballesteros",Marnellie,Liberal Party,18577
Bulan,Vice-Mayor,"Guran, Patricia Lim",Tessie,Unites Nationalist Alliance,18562
Bulan,Councilor,"Gigantone, Ronnie Labitag",Ronnie,Unites Nationalist Alliance,17231
Bulan,Councilor,"Delmonte, Luis Chavez",Chito,Unites Nationalist Alliance,16729
Bulan,Councilor,"Hao, Vincent Tan",Chito,Unites Nationalist Alliance,16188
Bulan,Councilor,"Guelas, Renz Aler Guray",Aler,Unites Nationalist Alliance,16119
Bulan,Councilor,"Valeriano, Recto Gutlay",Ka Recto,Liberal Party,14987
Bulan,Councilor,"Gotladera, Crisostomo Gillego",Cris,Liberal Party,14362
Bulan,Councilor,"Geronga, Augusto Golpeo",Guto,Unites Nationalist Alliance,14097
Bulan,Councilor,"Cox, Raynita Cantonjos",Rose,Puwersa ng Masang Pilipino,12704
Bulusan,Mayor,"Halum, Domingo Sesbre",Nani,Liberal Party,6299
Bulusan,Vice-Mayor,"Ragasa, Westmoreland Gutierrez",Bobot,Unites Nationalist Alliance,4426
Bulusan,Councilor,"Gallinera, Ana Marie Nepomuceno",Marie,Liberal Party,6195
Bulusan,Councilor,"Romano, Wennie Rafallo",Weng,Nationalista Party,5791
Bulusan,Councilor,"Fuasa, Maria Teresa Garalde",Marites,Nationalista Party,5056
Bulusan,Councilor,"Frando, Rosie Mendizabal",Rosie,Nationalista Party,5049
Bulusan,Councilor,"Fortades, Reuel Gacosta",Owel,Independent,4843
Bulusan,Councilor,"Fumera, Antonio Baylon",Tony,Unites Nationalist Alliance,4815
Bulusan,Councilor,"Frades, Celestino Fortuno",Cecil,Unites Nationalist Alliance,4592
Bulusan,Councilor,"Din, Reynaldo Doluntap",Rey,Unites Nationalist Alliance,4325
Casiguran,Mayor,"Hamor, Ma. Ester Escasa",Ester,Nationalista PartyC,10902
Casiguran,Vice-Mayor,"Escudero, Ramon Ba",Mon,Nationalista PartyC,8598
Casiguran,Councilor,"Escudero, Dennis Alfonso Lazaro",Dennis,Nationalista PartyC,8396
Casiguran,Councilor,"Abotanatin, David Laguares",David,Nationalista PartyC,6830
Casiguran,Councilor,"Esquivias, Mac Niel Arnes",Bimbo,Nationalista PartyC,6476
Casiguran,Councilor,"Mago, Elma Hagad",Elma,Nationalista PartyC,6333
Casiguran,Councilor,"Hayagan, Joel D.",-,-,5967
Casiguran,Councilor,"Basilan, Angel Dogillo",Angie,Nationalista PartyC,5926
Casiguran,Councilor,"Demate, Macario Cardona",Dodo,Nationalista PartyC,5082
Casiguran,Councilor,"Balbedina, Jason Leocadio",Atong,Independent,4995
Castilla,Mayor,"Bermillo, Olivia Marantal",Padi,Nationalista PartyC,15673
Castilla,Vice-Mayor,"Mendoza, Isagani Belen",Bong,Nationalista PartyC,11807
Castilla,Councilor,"Lorenzano-Navas, Janine Madrideo",Janine,Nationalista PartyC,12103
Castilla,Councilor,"Lleva, Eduardo Jr. Pineda",Jay-R,Independent,9553
Castilla,Councilor,"Hao, Jose Marcayda",Marcayda,Nationalista PartyC,9326
Castilla,Councilor,"Marantal, Salome Llamera",Sally,Liberal Party,8802
Castilla,Councilor,"Asta, Vicente Alama",Ente,Nationalista PartyC,8443
Castilla,Councilor,"Gapido, Pepito Estiller",Peter,Independent,8204
Castilla,Councilor,"Mirandilla, Elmer Ogmar",Elmer,Liberal Party,7273
Castilla,Councilor,"Latagan, Aurora Bermillo",Auring,Nationalista PartyC,7106
Donsol,Mayor,"Alcantara, Josephine Alim",Nini,Nationalista PartyC,8459
Donsol,Vice-Mayor,"Ocaya, Salve Rabulan",Bing,Independent,6982
Donsol,Councilor,"Alim, Victor Villaraza",Vic,Nationalista PartyC,8278
Donsol,Councilor,"Hernandez, Argel De Vera",Gel,Nationalista Party,8096
Donsol,Councilor,"Nato, Nicolas Aquino",Nick,Nationalista PartyC,7836
Donsol,Councilor,"Toledo, Rodell Bulalacao",Dell,Nationalista PartyC,7363
Donsol,Councilor,"Aquino, Raymundo Sto. Tomas",Ray,Nationalista PartyC,7097
Donsol,Councilor,"Aquino, Mary Antoinette Guarin",Tonette,Nationalista Party,7057
Donsol,Councilor,"Bonaobra, Mary Ingrid Pertez",Yed,Nationalista PartyC,7026
Donsol,Councilor,"Abrantes, John Eric Marinda",Nong,Nationalista PartyC,6853
Gubat,Mayor,"Co, Roderick Qui",Nonong,Unites Nationalist Alliance,8758
Gubat,Vice-Mayor,"Pura, Danilo Jao",Dan,Unites Nationalist Alliance,14996
Gubat,Councilor,"Escoto, Sharon Rose Glipo",Sharon,Liberal Party,11190
Gubat,Councilor,"Esperida, Cesar Jr. Domiquel",Usok,Unites Nationalist Alliance,10194
Gubat,Councilor,"Vivo, Dominador Artiaga",Domin,Unites Nationalist Alliance,8142
Gubat,Councilor,"Enano, Jose Arturo Dadia",Joeart,Liberal Party,8065
Gubat,Councilor,"Entico, Ramon Espedido",Monching,Liberal Party,8040
Gubat,Councilor,"Escandor, Kenneth Dogayo",Kenet,Liberal Party,7925
Gubat,Councilor,"Rosales, Alvin Espadilla",Alvin,Unites Nationalist Alliance,7700
Gubat,Councilor,"Encinares, Aiza Embile",Kambal,Unites Nationalist Alliance,7580
Irosin,Mayor,"Ong, Eduardo Jr. Emor",Jun Ong,Unites Nationalist Alliance,12394
Irosin,Vice-Mayor,"Cielo, Alfredo Jr. Jao",Pidoy,Liberal Party,12767
Irosin,Councilor,"Lim, Christian Dig",Cris,Liberal Party,13910
Irosin,Councilor,"Dorotan, Roque Jr. Uy",Nono,Liberal Party,13291
Irosin,Councilor,"Berwega, Eduardo Balingbing",Dong,Nationalista Party,10986
Irosin,Councilor,"Balisnomo, Rabbi Espa",Rabbi,Unites Nationalist Alliance,10859
