city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Altavas,Mayor,"Refol, Denny Sr. Dalida",Bulldog,Liberal Party,7033
Altavas,Vice-Mayor,"Solita, Joly Andres",Toto,Liberal Party,6328
Altavas,Councilor,"Inocencio, Confesor Iii Famoso",Confe,Liberal Party,7149
Altavas,Councilor,"Dalida, Ric D' Cor Mayor",Donald,United Nationalist Alliance,6137
Altavas,Councilor,"Belarmino, Rosario Bayot",Monday,Lakas-Christian Muslim Democrats,5992
Altavas,Councilor,"Refol, Denny Jr. Bulacan",Kano,Liberal Party,5772
Altavas,Councilor,"Villas, Jonathan Son",Athan,United Nationalist Alliance,5669
Altavas,Councilor,"Panadero, Ronnie Ibo",Tazan,Liberal Party,5500
Altavas,Councilor,"Barcelona, Medialin Peniano",Glyn,Liberal Party,5050
Altavas,Councilor,"Oquendo, Roger Sabala",Nonoy,Laban ng Demokratikong Pilipino,5027
Balete,Mayor,"Calizo, Teodoro Jr. Venus",Bobby,Nationalista Party,9347
Balete,Vice-Mayor,"Villaruel, Roman Recidoro",Oma,Liberal Party,8606
Balete,Councilor,"Lachica, Patrick Felipe",Pat,Liberal Party,7868
Balete,Councilor,"Yasa, Sylvia Villanueva",Baby,Liberal Party,7632
Balete,Councilor,"Beltran, Crispino Jr. Palmon",Jun,Nationalista Party,7478
Balete,Councilor,"Bantigue, Jacqueline Fernandez",Jakjak,Liberal Party,7158
Balete,Councilor,"Cleope, Apolinar Cortes",Apol,Nationalista Party,7121
Balete,Councilor,"Feliciano, Ciriaco Tolentino",Acoy,Nationalista Party,6927
Balete,Councilor,"Recidoro, Agnes Del Rosario",Nes,Nationalista Party,6920
Balete,Councilor,"Delos Reyes, Joselito Cortes",Lito,Liberal Party,6582
Banga,Mayor,"Maming, ErlIndependenta Mangilog",LIndependenta,United Nationalist Alliance,10291
Banga,Vice-Mayor,"Redison, Noel Lipana",Boy,Liberal Party,10275
Banga,Councilor,"Macahilig, Stanley Leigh Gonzales",Toto Stanley,Liberal Party,9284
Banga,Councilor,"Fernandez, Joselito Besana",Nonong,United Nationalist Alliance,9174
Banga,Councilor,"Masangya, Manuel Raz",Tawi,United Nationalist Alliance,8147
Banga,Councilor,"Piolo, Rosemarie Seraspi",Rose,United Nationalist Alliance,8002
Banga,Councilor,"Pastrana, Abe Jr. Resado",Jun,Liberal Party,7837
Banga,Councilor,"Imperial, Ronald Ray Dalida",Aimond,Liberal Party,7609
Banga,Councilor,"Maming, Larry Tuma-Ob",Lars,United Nationalist Alliance,7416
Banga,Councilor,"Tupas, Teddy Corcino",Ted,Liberal Party,7036
Batan,Mayor,"Ramos, Delfina Romo",Nene,Liberal Party,8196
Batan,Vice-Mayor,"Reyes, Dante Tulio",Dan,Nationalista Party,7760
Batan,Councilor,"Bautista, William Jr. Raval",Nonong,Nationalista Party,8744
Batan,Councilor,"Parco, Joena Bolivar",Joena,Liberal Party,7139
Batan,Councilor,"Sarceno, Adonis Balbino",Nis,Liberal Party,6334
Batan,Councilor,"Cortes, Myrlin Sucgang",Em,Nationalista Party,5575
Batan,Councilor,"Perlas, Dennis Ambito",Bocay,Liberal Party,5383
Batan,Councilor,"Placer, Medardo Salazar",Medard,Nationalista Party,5337
Batan,Councilor,"Del Rosario, Eric Andrada",Ric,Nationalista Party,4916
Batan,Councilor,"Sugapong, Gloria Pacis",Dede,Nationalista Party,4812
Baruanga,Mayor,"LabIndependentao, Quezon Franco",Zon,Liberal Party,5117
Baruanga,Vice-Mayor,"Dagohoy, Allan Prado",Nonoy,Liberal Party,4697
Baruanga,Councilor,"Malayas, Joeven Qui",Jov,United Nationalist Alliance,5041
Baruanga,Councilor,"Dumaguin, Femy Cadahing",Nene,Liberal Party,4629
Baruanga,Councilor,"Obrique, Dextero Salido",Dex,United Nationalist Alliance,4270
Baruanga,Councilor,"Panganiban, Macario Ostan",Macmac,Liberal Party,4105
Baruanga,Councilor,"Sualog, Victor Brian Delos Reyes",Wawang,Liberal Party,4022
