city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Anini-y,Mayor,"Pollicar, Reynaldo Belleza",Rene,Liberal Party,5338
Anini-y,Vice-Mayor,"Hernaez, Glenn Endoso",Bingbong,United Nationalist Alliance,4731
Anini-y,Councilor,"Pollicar, Maxfil Belleza",Max,Liberal Party,4227
Anini-y,Councilor,"Caze, Mercedes Madulid",Bing,Independent,3858
Anini-y,Councilor,"Fial, Renato Nadong",Nato,Liberal Party,3640
Anini-y,Councilor,"Caze, Magdalina Obillos",Inday Magda,United Nationalist Alliance,3567
Anini-y,Councilor,"Sumaculub, Efren Diana",Dodoy,Liberal Party,3564
Anini-y,Councilor,"Solis, Adviento Orlando Padohinog",Orling,Liberal Party,3445
Anini-y,Councilor,"Campos, Melanie Villasis",Mely,Liberal Party,3210
Anini-y,Councilor,"Hernaez, Salvacion Uy",Neneng Uy,United Nationalist Alliance,3160
Barbaza,Mayor,"Necor, Gerry Condes",Ger,Aksyon Democratic,4884
Barbaza,Vice-Mayor,"Untal, Artchebal Palacios",Nonoy,Liberal Party,4359
Barbaza,Councilor,"Necesario, Ramy Barrientos",To,Independent,5346
Barbaza,Councilor,"Tingson, Joehanes Lawrence Cinco",Jl,United Nationalist Alliance,5309
Barbaza,Councilor,"Esparar, Magnerico Arnaiz",Mags,Independent,4776
Barbaza,Councilor,"Palacios, Pedro Dalumpines",Ding,Independent,4687
Barbaza,Councilor,"Manalo, Pablito Alacapa",Bong,Independent,4585
Barbaza,Councilor,"Magtulis, Eddie Ogatis",Ed,Independent,4538
Barbaza,Councilor,"Inamac, Aly Ogatis",Bebing,Independent,4218
Barbaza,Councilor,"Magtulis, Isidro Alabado",Sid,Independent,4125
Belison,Mayor,"Dela Flor, Darell Bajalan",Toto,Liberal Party,3474
Belison,Vice-Mayor,"Jacaba, Reynaldo Escaner",Acay,United Nationalist Alliance,2726
Belison,councilor,"Otayde, Elfe Quiman",Nene,Independent,3101
Belison,councilor,"Otayde, Jesusito Sr. Untalan",Sitoy,Independent,3041
Belison,councilor,"Lanario, Matilde Gole",Deding Tilde,Independent,2911
Belison,councilor,"Acu, Michelle Ann Morillo",Mitch,United Nationalist Alliance,2850
Belison,councilor,"Elio, Elmer Jumagbas",Toto,United Nationalist Alliance,2827
Belison,councilor,"Barcenal, Josefa Escaner",Becay,United Nationalist Alliance,2738
Belison,councilor,"Gonzaga, Eduardo Quistorio",Eddie,Independent,2722
Belison,councilor,"Baldivino, Helen Escaner",Dadang,United Nationalist Alliance,2672
Bugasong,Mayor,"Pesayco, Bernard Nicopior",Ontoy,Liberal Party,8224
Bugasong,Vice-Mayor,"Pacete, John Lloyd Maguad",Bing Lloyd,Liberal Party,8990
Bugasong,Councilor,"Dela Cruz, Casimira Suyom",Miray,United Nationalist Alliance,7896
Bugasong,Councilor,"Dava, Renante Salcedo",Ontoy,Liberal Party,7536
Bugasong,Councilor,"Escote, Susan Villaruz",Bebing,Liberal Party,7445
Bugasong,Councilor,"Uy Kimpang, Aida Dala",Tita Aids,Liberal Party,7139
Bugasong,Councilor,"Antoy, Gerardo Rios",Gerry,Liberal Party,7106
Bugasong,Councilor,"Pesayco, Geraldine Peroy",Bing,Liberal Party,6519
Bugasong,Councilor,"Fruto, Roberto Jr. Vicedo",Bob,United Nationalist Alliance,6380
Bugasong,Councilor,"Pesayco, Cyril Alonsagay",Benjie,Liberal Party,6051
Caluya,Mayor,"Reyes, Genevive Lim",Ggl,Liberal Party,9213
Caluya,Vice-Mayor,"Egina, Diosdado Laure",Dads,Liberal Party,7718
