city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Cuartero,Mayor,"Mayo, Tito Libo-On",Tito,National Unity Party,7803
Cuartero,Vice-Mayor,"Flores, Roger Francisco",Roger,National Unity Party,7639
Cuartero,Councilor,"Malecosio, Myrna Odiaman",Inday,Liberal Party,7225
Cuartero,Councilor,"Fantilaga, Alexander Farinas",Toy,National Unity Party,6625
Cuartero,Councilor,"Paligumba, Moises Jr. Mayo",-,Liberal Party,6257
Cuartero,Councilor,"Flores, Rosalie Francisco",Inday,National Unity Party,6249
Cuartero,Councilor,"Hijosa, Steve Esgana",Steve,Liberal Party,5804
Cuartero,Councilor,"Openiano, Joemarie Hacermida",Jo,National Unity Party,5649
Cuartero,Councilor,"Palmes, Rozeny Palonpon",Nene,National Unity Party,5646
Cuartero,Councilor,"Francisco, Melvar Escorpion",Bebot,Liberal Party,5436
Dao,Mayor,"Escutin, Joselito Yngcong",Bobo,National Unity Party,11470
Dao,Vice-Mayor,"Eslaban, Loreto Inocencio",Otic,National Unity Party,10064
Dao,Councilor,"Da, Dominico Jr. Aleligay",Panoy,Liberal Party,9356
Dao,Councilor,"Fuentes, Mary Lizabeth Bauson",Nene,National Unity Party,8559
Dao,Councilor,"Escutin, Leon Iii Bauson",Bebe,National Unity Party,8386
Dao,Councilor,"Aleligay, Joseph Perez",Boy,National Unity Party,8215
Dao,Councilor,"Cobrador, Teresa Paro",Tesang,National Unity Party,8079
Dao,Councilor,"Barona, Joel Isada",Tong-Tong,National Unity Party,7637
Dao,Councilor,"Clorion, Mamerto Mateo",Mame,National Unity Party,7551
Dao,Councilor,"Borda, Pacita Flores",Pacit,National Unity Party,7204
Dumalag,Mayor,"Castro, Amado Eriberto Jr. Vicentuan",Odoy,National Unity Party,9598
Dumalag,Vice-Mayor,"Castro, Lilia Hernaez",Nene,National Unity Party,9304
Dumalag,Councilor,"Faduga, Victorio Ledesma",Vic,National Unity Party,10035
Dumalag,Councilor,"Fecundo, Cecilio Fara-On",Celio,National Unity Party,9223
Dumalag,Councilor,"Diaz, Mercedita Facelo",Merci,National Unity Party,9198
Dumalag,Councilor,"Etchen, Henry Franco",Henry,National Unity Party,8953
Dumalag,Councilor,"Farenas, Manuel Oscar Falcis",Oca,National Unity Party,8517
Dumalag,Councilor,"Derramas, Gilbert Faulve",Bert,National Unity Party,7819
Dumalag,Councilor,"Fajardo, Arnold Faeldonea",Tata,National Unity Party,7095
Dumalag,Councilor,"Fuerte, Lina Frio",Lin,Liberal Party,6893
Dumarao,Mayor,"Benjamin, Leslie Warren Alianza",Beboy,Liberal Party,16559
Dumarao,Vice-Mayor,"Arancillo, Edgardo Mirasol",Dodoy,Liberal Party,11254
Dumarao,Councilor,"Tanco, Victor Jr. Lademora",Jr,Liberal Party,14548
Dumarao,Councilor,"Dorado, Fernando Jr. Pilar",Mundot,Liberal Party,11380
Dumarao,Councilor,"Hachuela, Mateo Concepcion",Mati,Liberal Party,11379
Dumarao,Councilor,"Padernal, Abel Jr. Tanco",Abel,Liberal Party,11092
Dumarao,Councilor,"Hallarda, Ariel De Asis",Noknok,Liberal Party,10547
Dumarao,Councilor,"Hare, Fortunato Caldea",Forting,Liberal Party,9115
Dumarao,Councilor,"Basiliano, Abner Onato",Ner,Liberal Party,8644
Dumarao,Councilor,"Hi, Rolando Advincula",Roland,Liberal Party,8453
Ivisan,Mayor,"Yap, Felipe Neri Navarra",Ipe,National Unity Party,8760
Ivisan,Vice-Mayor,"Mestidio, Marita Obrigue",Maritz,National Unity Party,7387
Ivisan,Councilor,"Ugas, Bonifacio Basto",Dagoy,National Unity Party,8390
Ivisan,Councilor,"Yap, Jose Noel Navarra",Nonoy,National Unity Party,8267
Ivisan,Councilor,"San Antonio, Catherine Andrada",Cathy,National Unity Party,6670
Ivisan,Councilor,"Bacinillo, Guidion Oabe",Jun,National Unity Party,6233
Ivisan,Councilor,"Untayao, Hilario Argoncillo",Paeng,Liberal Party,6120
Ivisan,Councilor,"Chapman, Azucena Urdelas",Zeny,Liberal Party,5974
Ivisan,Councilor,"Gicano, Amelita Vasquez",Amy,Liberal Party,5901
Ivisan,Councilor,"Unasin, Ramy Umiten",Ram,National Unity Party,5760
Jamindan,Mayor,"Jinon, Ethel Ricaforte",Manang,National Unity Party,8718
Jamindan,Vice-Mayor,"Montorio, Samson Alcayde",Sam,National Unity Party,8114
Jamindan,Councilor,"Valdemar, Mac Artur Luces",Mac,National Unity Party,11253
Jamindan,Councilor,"Villeza, Gerundio Luces",Alon,National Unity Party,10079
Jamindan,Councilor,"Leonor, Roy Blas De",Toto Roy,Liberal Party,9399
Jamindan,Councilor,"Villasis, Patricio Vergara",Pati,National Unity Party,9262
Jamindan,Councilor,"Vestidas, Lemuel Valguna",Aran,National Unity Party,9171
Jamindan,Councilor,"Laurino, Norberto Jr. Ignacio",Junjun,Liberal Party,6944
Jamindan,Councilor,"Orocio, Antonio Emilio Iii Leonor",Tres,National Unity Party,6912
Jamindan,Councilor,"Moises, Ma. Tinneth Vista",Neth,National Unity Party,6821
Ma-ayon,Mayor,"Borres, Wilfredo Sr. Espinosa",Pedot,Liberal Party,13608
Ma-ayon,Vice-Mayor,"Apolinario, Weldie Jr. Contreras",Tambol,Liberal Party,11980
Ma-ayon,Councilor,"Diaz, Cora Dayao",Cor,Liberal Party,11551
Ma-ayon,Councilor,"Contreras, Rene De Juan",Nono,Liberal Party,10156
Ma-ayon,Councilor,"Derramas, El Mayuga",Nonoy,Liberal Party,10036
Ma-ayon,Councilor,"Dordas, Jane Dador",En-En,Liberal Party,9769
Ma-ayon,Councilor,"Dordas, Elmer Daniel",Mer,Liberal Party,9729
Ma-ayon,Councilor,"Duronio, Wildie Delfin",Weld,Liberal Party,9580
Ma-ayon,Councilor,"Orendez, Maximo Dejasco",Boy,Liberal Party,9144
Ma-ayon,Councilor,"Diamante, Syvil Grace Due",Bicbic,Liberal Party,9121
Mambusao,Mayor,"Labao, Leodegario Jr. Alayon",Jun,National Unity Party,12117
Mambusao,Vice-Mayor,"Alba, Jose Jr. Ong",Joe,National Unity Party,13177
Mambusao,Councilor,"Leal, Wilfredo Estores",Fred,National Unity Party,10844
Mambusao,Councilor,"Lopez, Teodoro Andaya",Teods,Liberal Party,10028
Mambusao,Councilor,"Arevalo, Elmer Perasol",Nonoy,National Unity Party,9949
Mambusao,Councilor,"Bayot-Uy, Maria Rhodora Navarra",Nene Dors,National Unity Party,8770
Mambusao,Councilor,"Kapunan, Cicero Jr. Martinez",Toto,National Unity Party,8234
Mambusao,Councilor,"Buenavista, Richard Lavapiez",Bebot,National Unity Party,8208
Mambusao,Councilor,"Martinez, Eulogio Abalajon",Neneng,National Unity Party,8016
Mambusao,Councilor,"Tupaz, Eddie Lopez",Ed,National Unity Party,7773
Panay,Mayor,"Bermejo, Dante Billanes",Toto Dante,National Unity Party,12568
Panay,Vice-Mayor,"Bernas, Gualberto Iii Billanes",Diutay,National Unity Party,12327
Panay,Councilor,"Deslate-Delicana, Maria Leobeth Bercadez",Neneng Leobeth,National Unity Party,9876
Panay,Councilor,"Baria, Lito Bersabal",Lit,Liberal Party,9090
Panay,Councilor,"Balatayo, Nicomedes Acejas",Boboy,National Unity Party,8845
Panay,Councilor,"Mejia, Christian Theodor Balgos",Jojo Balgos,Liberal Party,8250
Panay,Councilor,"Besana, Rodulfo Beluso",Rudy,National Unity Party,8147
Panay,Councilor,"Arches, Alexander  Jr. Billones",Jojo,National Unity Party,8017
