city_or_municipality,position,name,party_affiliation,votes_obtained
Alcantara,Mayor,"Ca, Fredo Celeste",Independent,4339
Alcantara,Vice-Mayor,"Caburnay, Beatriz Yosores",One Cebu,4221
Alcantara,Councilor,"Lastimoso, Fritz Ando",One Cebu,5205
Alcantara,Councilor,"Lambo, Manolito Lobo",Independent,4805
Alcantara,Councilor,"Lobita, Benjamin Maquiling",One Cebu,4367
Alcantara,Councilor,"Marcellana, Serwin Isugan",Independent,3598
Alcantara,Councilor,"Llenos, Larry Macasaol",Independent,3593
Alcantara,Councilor,"Tapales, Pedpab Landiza",Independent,3449
Alcantara,Councilor,"Basilisco, Margarito Otordoz",One Cebu,3413
Alcantara,Councilor,"Ferraren, Feliciano Sr. Bigtasin",One Cebu,3168
Alcoy,Mayor,"De Los Santos, Nicomedes Antig",One Cebu,5153
Alcoy,Vice-Mayor,"Sestoso, Michael Angelo De Los Santos",One Cebu,5853
Alcoy,Councilor,"Abajon, Jimmy Montalbo",One Cebu,5483
Alcoy,Councilor,"Abajon, Jonathan Montalbo",One Cebu,5120
Alcoy,Councilor,"Plando, Neil Tracy Quitara",One Cebu,4530
Alcoy,Councilor,"Gonzales, Richard Plando",One Cebu,3822
Alcoy,Councilor,"Niere, Pedro Carungay",One Cebu,3660
Alcoy,Councilor,"Duran, Efren  Sr. Lubguban",Independent,3637
Alcoy,Councilor,"Carungay, Roy De Los Santos",One Cebu,3473
Alcoy,Councilor,"Fuentes, Nicolas  Jr. Romanos",Independent,3407
Alegria,Mayor,"Magallon, Verna Villordon",Liberal Party,6212
Alegria,Vice-Mayor,"Rodriguez, Marcial Jr. Ygo",One Cebu,5920
Alegria,Councilor,"Alocillo, Nemia Germino",One Cebu,5747
Alegria,Councilor,"Cuevas, Arnold Mejares",One Cebu,5420
Alegria,Councilor,"Guisadio, Emelita Blanco",One Cebu,5393
Alegria,Councilor,"Donayre, Maria Leticia Pulgo",One Cebu,5393
Alegria,Councilor,"Carreon, Russel Mejares",Liberal Party,5246
Alegria,Councilor,"Villaneza, Alejandro Cuevas",One Cebu,5217
Alegria,Councilor,"Lerio, Diosdado Lao",One Cebu,5076
Alegria,Councilor,"Caba, Emelio Ledama",Liberal Party,5067
Aloguinsan,Mayor,"Moreno, Cynthia Go",One Cebu,9875
Aloguinsan,Vice-Mayor,"Moreno, Augustus Caesar Lim",One Cebu,8961
Aloguinsan,Councilor,"Biton, Mariolito Raganas",One Cebu,7218
Aloguinsan,Councilor,"Gacang, Claudio Cimafranca",One Cebu,6995
Aloguinsan,Councilor,"Secuya, Ernesto Tribunalo",One Cebu,6330
Aloguinsan,Councilor,"Nieves, Joffeylito Pacris",One Cebu,6262
Aloguinsan,Councilor,"Concon, Josephine Tausa",One Cebu,6032
Aloguinsan,Councilor,"La, Ricardo Jr. Mabano",One Cebu,6004
Aloguinsan,Councilor,"Manigos, Nacianzino Almodien",One Cebu,4867
Aloguinsan,Councilor,"Celis, Emilia Luz Babao",One Cebu,4462
Argao,Mayor,"Galeos, Edsel Amatong",Liberal Party,26748
Argao,Vice-Mayor,"Caminero, Stanley Sardido",Liberal Party,22425
Argao,Councilor,"Sesaldo, Allan Mi",Liberal Party,21329
Argao,Councilor,"Flores, Jessa Mae Saquilon",Independent,19897
Argao,Councilor,"Albero, Fedlemido Robledo",Liberal Party,17366
Argao,Councilor,"Almirante-Birondo, Annabelle Catubig",Liberal Party,15661
Argao,Councilor,"Lucero, Mariglen Navales",Independent,15574
Argao,Councilor,"Villamora, Roberto Sr. Villanueva",Liberal Party,15372
Argao,Councilor,"Gealon, Rey Malicay",Liberal Party,14812
Argao,Councilor,"Villacora, Jovanni Flores",Liberal Party,14498
Asturias,Mayor,"Adlawan, Alan Labitad",One Cebu,15588
