city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Almagro,Mayor,"Prudenciado, Kathleen Solante",Kat,Liberal Party,4061
Almagro,Vice-Mayor,"Merino, Hazel Matados",Zel,Liberal Party,4007
Almagro,Councilor,"Novicio, Virginia Monilla",Susan,Liberal Party,3908
Almagro,Councilor,"Canonoy, Henry Calimbo",Eking,Liberal Party,3609
Almagro,Councilor,"Villa, Tito Iii Onrejas",Toyota,Nationalist People's Coalition,3398
Almagro,Councilor,"Matados, Damian Jr. Villa",Dodong,Liberal Party,3360
Almagro,Councilor,"Cornita, Danilo Sr. Branzuela",Danny,Nationalist People's Coalition,3326
Almagro,Councilor,"Villa, Amante Diones",Man,Liberal Party,3261
Almagro,Councilor,"Orbeso, Charlie Alarde",Dodong,Liberal Party,3227
Almagro,Councilor,"Lanada, Baltazar Matados",Nonoy,Liberal Party,3226
Basey,Mayor,"Ponferrada, Igmedio Junji Elero",Junji,Liberal Party,11607
Basey,Vice-Mayor,"Adona, Paul Charles Yancha",Paul,Independent,10146
Basey,Councilor,"Zeta, Honesto Macasaet",Nes,Independent,11778
Basey,Councilor,"Cabantac, Genith Centina",Netnet,Independent,11458
Basey,Councilor,"Festejo, Yvonne Gaddi",Ibon,Independent,10239
Basey,Councilor,"Lancanan, Ramon Viojan",Rams,Independent,9746
Basey,Councilor,"Quilitano, Delma Custodio",Delma,Independent,8003
Basey,Councilor,"Orejola, Joquint Manuel Llena",J-Boy,Independent,7967
Basey,Councilor,"Delovino, Mansueto Macasaet",Monching,Independent,7896
Basey,Councilor,"Abiertas, Alfredo Pacurib",Fred,Independent,7075
Calbayog City,City Mayor,"Aquino, Ronaldo Porlares",Onald,Liberal Party,28421
Calbayog City,City Vice-Mayor,"Rivera, Diego Prudenciado",Diego,Nationalista Party,24472
Calbayog City,Councilor - 1St District,"Uy, Raymund Casi",Monmon,Independent,12960
Calbayog City,Councilor - 1St District,"Ayong, Sylvan Josef Boco",Josef,Nationalista Party,12676
Calbayog City,Councilor - 1St District,"Mestiola, Rosely Ygbuhay",Rose,Nationalista Party,12415
Calbayog City,Councilor - 1St District,"Tan, Jocelyn Amigo",Josie Tan,Nationalista Party,11633
Calbayog City,Councilor - 1St District,"Pasacas, Arturo Durante",Nonoy,Liberal Party,11618
