city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Baungon,Mayor,"Alvarez, Pedro Roa",Adong,Bangon Pilipinas Party,9930
Baungon,Vice-Mayor,"Beja, Enriqueto Edrozo",Paking,Bangon Pilipinas Party,7500
Baungon,Councilor,"Jaraula, Marjorie Cual",Marjo,Independent,8461
Baungon,Councilor,"Montenegro, Albert Bandolis",Bert,Bangon Pilipinas Party,7845
Baungon,Councilor,"Bacarro, Emmanuel Laspinas",Maning,Bangon Pilipinas Party,7595
Baungon,Councilor,"Ydel, Alfredo Valiente",Fred,Independent,6817
Baungon,Councilor,"Bacarro, Gilbert Sr. Larsen",Boy,Independent,6283
Baungon,Councilor,"Rosaci, Paul Anthony Lilangan",Paul,Bangon Pilipinas Party,6084
Baungon,Councilor,"Balatayo, Jose Sr. Dacut",Joe,Bangon Pilipinas Party,5874
Baungon,Councilor,"Acosta, Richard Ibarat",Chard,Bangon Pilipinas Party,5775
Cabanglasan,Mayor,"Inocando, Renante Valdez",Dodong,Aksyon Democratic,7455
Cabanglasan,Vice-Mayor,"Obsioma, Lolita Nellas",Lotlot,Liberal Party,6774
Cabanglasan,Councilor,"Suarez, Nilo David Cuarez",Nilo,Bangon Pilipinas Party,7887
Cabanglasan,Councilor,"Dumagpi, Tomas Estimos",Tommy,Aksyon Democratic,6242
Cabanglasan,Councilor,"Tamayo, Rafael Manzano",Boy,Bangon Pilipinas Party,6086
Cabanglasan,Councilor,"Toyhacao, Mesar Sr. Papong",Kyung,Aksyon Democratic,5733
Cabanglasan,Councilor,"Haligado, Edwin Sr. Furatero",Toto,Independent,5704
Cabanglasan,Councilor,"Taal, Marilou Tayo",Malou,Bangon Pilipinas Party,5657
Cabanglasan,Councilor,"Ba, Albert Balasa",Wawang,Bangon Pilipinas Party,5596
Cabanglasan,Councilor,"Dum-Ogan, Johny Enggay",Jun,Aksyon Democratic,5288
City of Malaybalay,City Mayor,"Zubiri, Ignacio Wuthrich",I,Bangon Pilipinas Party,28123
City of Malaybalay,City Vice-Mayor,"Deticio, Roland Forcado",Bong,Bangon Pilipinas Party,35299
City of Malaybalay,Councilor,"Pabillaran, Jay Warren Ramos",Warren,Nationalista Party,35908
City of Malaybalay,Councilor,"Sangalang, Rendon Parahinog",Jojo,Bangon Pilipinas Party,23855
City of Malaybalay,Councilor,"Damasco, George Sr. Dumaque",Uncle George,Liberal Party,23843
City of Malaybalay,Councilor,"Antipasado, Provo Jr. Balatico",Jun,Nationalista Party,23521
City of Malaybalay,Councilor,"Dinlayan, Lorenzo Jr. Litanon",Junie,Nationalista Party,22687
City of Malaybalay,Councilor,"Monsanto, Hollis Camilotes",Dodong,Aksyon Democratic,21576
City of Malaybalay,Councilor,"Barroso, Anthony Canuto Galenzoga",Otto,Bangon Pilipinas Party,21440
City of Malaybalay,Councilor,"Rosos-Tenorio, Mya Analene Dablo",Mya Rosos,Nationalista Party,17172
City of Malaybalay,Councilor,"Jurolan, Nicolas Capacio",Nick,Liberal Party,16901
City of Malaybalay,Councilor,"Tortola, Louel Melendez",Loy,Liberal Party,16631
Damulog,Mayor,"Tiongco, Romeo Pactain",Romy,Bangon Pilipinas Party,7192
Damulog,Vice-Mayor,"Getigan, Pacomeo Sintino",Dodongpacs,Bangon Pilipinas Party,5837
Damulog,Councilor,"Tagarda, Marino Bagas",Dodo Tagarda,Independent,4725
Damulog,Councilor,"Salmasan, Alberto Galido",Bito,Bangon Pilipinas Party,4506
