city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bacolod,Mayor,"Miquiabas, Joselito Eguac",Nonoy,Nationalist People's Coalition,8890
Bacolod,Vice-Mayor,"Santos, Raymund Cogo",Mon,Nationalist People's Coalition,7218
Bacolod,Councilor,"Marcera, Alfons Janssen Pati-An",Alpoy,Nationalist People's Coalition,6692
Bacolod,Councilor,"Duhaylungsod, Efimaco Vi",Makoy,Nationalist People's Coalition,6288
Bacolod,Councilor,"Antonio, Roy Arvin Tacogue",Arvin,Independent,6238
Bacolod,Councilor,"Mendez, Marie Joy Espinosa",Joy,Nationalist People's Coalition,6074
Bacolod,Councilor,"Canda, Arnulfo Abang",Dodong,Nationalist People's Coalition,5448
Bacolod,Councilor,"Zamora, Archer Calimpong",Ching,Nationalist People's Coalition,4921
Bacolod,Councilor,"Clapano, Gemma Cabangbang",Gemma,Nationalist People's Coalition,4580
Bacolod,Councilor,"Acain, Cresenciano Tejano",Julie,Independent,4350
Baloi,Mayor,"Ali, Hanifa Palao",Hanie,Liberal Party,11849
Baloi,Vice-Mayor,"Ali, Mustapha Mangotara",Taps,Liberal Party,11836
Baloi,Councilor,"Rascal, Arafat Alabao",Aragon,Independent,11948
Baloi,Councilor,"Calandada, Ustadmohsin Imam",Almaida,Liberal Party,8935
Baloi,Councilor,"Rasol, Muhaimin Ali",Mocay,Liberal Party,8737
Baloi,Councilor,"Mackno, Ibrahim Currie",Ever,Liberal Party,7860
Baloi,Councilor,"Patara, Macala Makil",Rex,Independent,7858
Baloi,Councilor,"Imam, Junaidah Abdulganny",Jo,Independent,7674
Baloi,Councilor,"Yahya, Salic Ayoma",Caca-E-Solution,Liberal Party,7671
Baloi,Councilor,"Ali, Qaharoddin Lomondot",Kahar,Liberal Party,7261
Baroy,Mayor,"Olafsson, Rosa Dahab",Inday,Independent,6858
Baroy,Vice-Mayor,"Tagalog, Oscar Cabal",Oca,Independent,7230
Baroy,Councilor,"Basalo, Eric Calamba",Eric,Nationalist People's Coalition,7041
Baroy,Councilor,"Pangasian, Vicente Jr. Ruado",Jun-Jun,Nationalist People's Coalition,6466
Baroy,Councilor,"Canencia, Ricardo Cabatingan",Cardo,Independent,5858
Baroy,Councilor,"Dayo, Alvi Abamonga",Ving,Nationalist People's Coalition,5467
Baroy,Councilor,"Alvia, Zaldy Amparado",Boy Zaldy,Independent,5452
Baroy,Councilor,"Roda, Manuel Datuin",Nonoy,Nationalist People's Coalition,5306
