city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Compostela,Mayor,"Bolo, Lema Poblete",Lema,Liberal Party,17882
Compostela,Vice-Mayor,"Castillo, Reynaldo Quijano",Rey,Liberal Party,17765
Compostela,Councilor,"Tabingo, Elmer Luzano",Tikong,Independent,21918
Compostela,Councilor,"Econar, Rogelio Paco",Roger,Liberal Party,16514
Compostela,Councilor,"Suarez-Jimenez, Haidee Suarez",Haidee,Liberal Party,15701
Compostela,Councilor,"Fabroa, Ian Anga",Ian,Independent,15664
Compostela,Councilor,"Atamosa-Calim, Nena Atamosa",Ate Nenz,Liberal Party,15134
Compostela,Councilor,"Blanco, Juric Gulong",Uyic,Liberal Party,14524
Compostela,Councilor,"Arcales, Teofilo Siento",Pepe,Liberal Party,14481
Compostela,Councilor,"Calimpong, Jornalito Afliccion",Jornet,Liberal Party,13259
Laak San Vicente,Mayor,"Navarro, Reynaldo Bonghanoy",Rey,Liberal Party,20911
Laak San Vicente,Vice-Mayor,"Pacatang, Carlito Aringo",Lito,Liberal Party,18095
Laak San Vicente,Councilor,"Camile, Milagros Yap",Kim Sian,Liberal Party,19372
Laak San Vicente,Councilor,"Bibera, Ramon Salazar",Ramon,Liberal Party,18005
Laak San Vicente,Councilor,"Bontog, Victor Malaran",Vic,Liberal Party,17670
Laak San Vicente,Councilor,"Abellanida, Nestor Labanon",Ating,Liberal Party,17110
Laak San Vicente,Councilor,"Navarro, Ramsha Rhesa Agarano",Shang-Shang,Liberal Party,16629
Laak San Vicente,Councilor,"Dolojan, Victorio Rabanes",Benton,Liberal Party,16051
Laak San Vicente,Councilor,"Sebio, William Amac",Willy,Liberal Party,15628
Laak San Vicente,Councilor,"Duran, Roland Siton",Bambom,Liberal Party,14016
Mabini Dona Alicia,Mayor,"Mu, Amir Bangasin",Mir,Liberal Party,10771
Mabini Dona Alicia,Vice-Mayor,"Dayanghirang, Reynaldo Lechoncito",Rey,Liberal Party,10605
Mabini Dona Alicia,Councilor,"Perez, Isabelo  Jr. Delgado",Boboy,Independent,8794
Mabini Dona Alicia,Councilor,"Osorio, Rolando Layno",Lando,Liberal Party,7539
Mabini Dona Alicia,Councilor,"Mu, Manuel Bangasin",Malil,Liberal Party,7033
Mabini Dona Alicia,Councilor,"Sembrano, Henry Germano",Henry,Liberal Party,6747
Mabini Dona Alicia,Councilor,"Nadela, Rannie Amora",Rani,Liberal Party,6425
Mabini Dona Alicia,Councilor,"Felisilda, Florencio Bandillo",Kew2X,Independent,6255
Mabini Dona Alicia,Councilor,"Morilla, Edgardo Armamento",Gardo,Independent,6130
Mabini Dona Alicia,Councilor,"Dela Cruz, Noli Tizon",Nol,Liberal Party,5738
Maco,Mayor,"Rimando, Alvera Veronica Rabe",Alvie,Liberal Party,19007
Maco,Vice-Mayor,"Rimando, Arthur Carlos Voltaire Rabe",Volter,Liberal Party,22781
Maco,Councilor,"Timogtimog, Raul Caralos",Ratim,Liberal Party,21631
Maco,Councilor,"Sebumpan, Anthony Merlin Mendoza",Titing,Liberal Party,19847
Maco,Councilor,"Amolong, Oscar Caong",Sano,Liberal Party,17053
Maco,Councilor,"Penido, Joel Sevilla",Joel,Liberal Party,16700
Maco,Councilor,"Calzada, Pastor Jr. Barriga",Dodong,Liberal Party,16184
Maco,Councilor,"Ordo, Antonio Callanta",Tony,Liberal Party,15890
Maco,Councilor,"Lopez, Nenita Ymas",Nitz Lopez,Liberal Party,14258
Maco,Councilor,"Aquino, Jose Mabanglo",Joe,Liberal Party,13673
Maragusan San Mariano,Mayor,"Colina, Cesar Sr. Clarion",Loloy,Liberal Party,19595
Maragusan San Mariano,Vice-Mayor,"Colita, Emmanuel Sr. Bolongon",Emmie,Liberal Party,19430
Maragusan San Mariano,Councilor,"Yanong, Keith Balbido",Ging-Ging,Liberal Party,18243
Maragusan San Mariano,Councilor,"Seno, Ariel Sr. Teodoro",Gaw,Liberal Party,18004
Maragusan San Mariano,Councilor,"Abyan, Emmanuel Lolo",Eman,Liberal Party,17713
Maragusan San Mariano,Councilor,"Vendiola, Maricel Colina",Ate Mariz,Liberal Party,17314
Maragusan San Mariano,Councilor,"Sismar, Rodrigo Sr. Pedrita",Drigo,Liberal Party,16043
Maragusan San Mariano,Councilor,"Calunsag, Gilbert Palaca",Bert,Liberal Party,15938
Maragusan San Mariano,Councilor,"Gran, Gerardo Dumagan",Gerry,Liberal Party,14410
Maragusan San Mariano,Councilor,"Varona, Ulysses Sr. Mandalones",Uly,Liberal Party,13043
Mawab,Mayor,"Jampayas, Evalina Julian",Lina,Liberal Party,11935
Mawab,Vice-Mayor,"Comonal, Nicomedes Tuballas",Comie,Independent,7670
Mawab,Councilor,"Medina, Ramil Rebusa",Mil,Independent,9623
Mawab,Councilor,"Carnicer, Rolando Sr. Geolina",Tonton,Independent,8914
Mawab,Councilor,"Sacayan, Charlita Amihan",Neneng,Liberal Party,8513
Mawab,Councilor,"Jermia, Reynaldo Tomo",Boy,Liberal Party,8344
Mawab,Councilor,"Cuasito, Manolito Gohol",Manny,Independent,8281
Mawab,Councilor,"Bitoy, Robert Lim",Bobby,Liberal Party,8172
