city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Banganga,Mayor,"Monday, Arturo Castillo",Turok,Nationalista Party,7712
Banganga,Vice-Mayor,"Olea, Ramona Batao",Micmic,Liberal Party,10374
Banganga,Councilor,"Morales, Gerry Jovilla",Dok Gerry,Independent,7759
Banganga,Councilor,"Monday, Jo-Ann Pudpud",Joan,Nationalista Party,7329
Banganga,Councilor,"Layupan, Modesto Velasco",Moding,Nationalista Party,6773
Banganga,Councilor,"Manguiob, Jayffrey Albinco",Jayfox,Nationalista Party,6711
Banganga,Councilor,"Mangui-Ob, Eufronio Terio",Pastor Poyong,Puwersa ng Masang Pilipino,6494
Banganga,Councilor,"Pasic, Majencio Sango",Majen,Independent,6148
Banganga,Councilor,"Baja, Anthony Dela Salde",Tony,Nationalista Party,6119
Banganga,Councilor,"Morales, Isagani Sr. Aguilon",Ganing,Nationalista Party,5976
Banay Banay,Mayor,"Tambuang, Adalia Lopez",Ada,United Nationalist Alliance,7852
Banay Banay,Vice-Mayor,"Teves, Liezel Salabao",Cel,Nationalista Party,8248
Banay Banay,Councilor,"Alingalan, Flores Matoza",Flong,Nationalista Party,9981
Banay Banay,Councilor,"Geollegue, Eva Tuvilla",Eva,Nationalista Party,9720
Banay Banay,Councilor,"Ladra, Pretcel Gesta",Che-Che,Liberal Party,8625
Banay Banay,Councilor,"Garcia, Marcenio Ceniza",Mars,Liberal Party,7672
Banay Banay,Councilor,"Lamaran, Rabsalon Marohom",Arab,United Nationalist Alliance,7552
Banay Banay,Councilor,"Caminero, Vicente Baquiran",Enting Barako,Liberal Party,7310
Banay Banay,Councilor,"Tambuang, Roger Mabaya",Ger,United Nationalist Alliance,6996
Banay Banay,Councilor,"Papacoy, Ruben Dulay",Ruben,Nationalista Party,6832
Boston,Mayor,"Rosit, Rebecco Sr. Butulan",Rebing,Independent,4177
Boston,Vice-Mayor,"De Jesus, Allen Sarino",Len,Independent,3546
Boston,Councilor,"Rosit, Ramie Butulan",Ram,Independent,3354
Boston,Councilor,"Monredondo, Amie Butulan",Mie,Independent,2945
Boston,Councilor,"Rosit, Rowell Fernandez",Dodong,Independent,2811
Boston,Councilor,"Castres, Grace Vilda Tenorio",Jing,Independent,2664
Boston,Councilor,"Lampig, John Paul Cabrera",Jp,Independent,2576
Boston,Councilor,"Castillones, Nelson Valdez",Nel,Independent,2571
Boston,Councilor,"Pagaduan, Henrey Allan Ragay",Jong,Independent,2507
Boston,Councilor,"Linaza, Juvenil Cabrera",Dondoy,Independent,2451
Caraga,Mayor,"Mori, Alicia Benitez",Alice,Nationalista Party,8906
Caraga,Vice-Mayor,"Sobrecarey, Belshazzar Gagnao",Nonoy,Nationalista Party,8178
Caraga,Councilor,"Polancos, Daisy Jane Banugan",Jenjen,Nationalista Party,6521
Caraga,Councilor,"Cayetano, Vilie Clovis Matucol",Clovis,Liberal Party,6196
Caraga,Councilor,"Burgos, Andresito Santos",Sitoy,Nationalista Party,6059
Caraga,Councilor,"Iturralde, Marilyn Sy",Allen,Nationalista Party,5855
Caraga,Councilor,"Benitez, Melody Anne Santos",Odang,Nationalista Party,5504
Caraga,Councilor,"Silat, Pepito Balilahon",Pitoy,Nationalista Party,5439
Caraga,Councilor,"Zamora, Earlson Dominguez",Son,Nationalista Party,5219
Caraga,Councilor,"Pelayo, Darius Ortiza",Doydoy,Liberal Party,4936
Cateel,Mayor,"Nu, Camilo Toroba",Miloy,Nationalista Party,11109
Cateel,Vice-Mayor,"Castro, Isidro Sibayan",Isid,Nationalista Party,10002
Cateel,Councilor,"Veroy, Patrocenio Iroy",Inyong,Nationalista Party,10725
