city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alamada,Mayor,"Concepcion, Virginia C.",-,United Nationalist Party,10140
Alamada,Vice-Mayor,"Alim, Samuel Andea",Bendol,Independent,8900
Alamada,Councilor,"Fortunado, Edwin Mata",Toto,Liberal Party,10192
Alamada,Councilor,"Se, Anthony Junio",-,Liberal Party,9179
Alamada,Councilor,"Buenafe, James Garcia",Nonoy,Liberal Party,8643
Alamada,Councilor,"Dulos, Gil Gonzales",Nonoy,United Nationalist Party,8443
Alamada,Councilor,"Tamay, Gandawali Pangkatan",Ali,United Nationalist Party,8083
Alamada,Councilor,"Doromal, Noli Samolde",Bobok,Liberal Party,7991
Alamada,Councilor,"Demetillo, Genio Nietes",Nonoy,United Nationalist Party,7559
Alamada,Councilor,"Natial, Ricky Belicano",Ric,Independent,7558
Aleosan,Mayor,"Sorupia, Vicente Jr. Candole",Boy,Liberal Party,9040
Aleosan,Vice-Mayor,"Cabaya, Eduardo Cantomayor",Toto,Liberal Party,7480
Aleosan,Councilor,"Cayang, Felimon Jr. Caballero",Onyok,Liberal Party,6959
Aleosan,Councilor,"Calambro, Hyxil Clarito",Bing,Liberal Party,6521
Aleosan,Councilor,"Cantomayor, Leonida Esgrina",Idak,Liberal Party,6059
Aleosan,Councilor,"Ungkay, Norodin Ampatuan",Rudy,Liberal Party,6020
Aleosan,Councilor,"Cabaya, Efren Vargas",Boboy,Liberal Party,5498
Aleosan,Councilor,"Calambro, Jolito Cabaya",Tonggak,Liberal Party,5318
Aleosan,Councilor,"Salem, Leo Ugsad",Lee,Liberal Party,5305
Aleosan,Councilor,"Clarito, Doris Caalim",Neneng,Nationalist People's Coalition,5234
Antipas,Mayor,"Cadungon, Egidio  Jr. Doloroso",Kap Ekis,Independent,6790
Antipas,Vice-Mayor,"Pedregosa, Rodrigo Ladigohon",Ugoy,Nationalist People's Coalition,5696
Antipas,Councilor,"Pe, Veronica Cadungon",Neneng Veron,Independent,8437
Antipas,Councilor,"Tirado, Buenaventura Puertogalera",Bento,Independent,7841
Antipas,Councilor,"Gabriel, Abraham Condes",Boy,Independent,7516
Antipas,Councilor,"Parcon, Dennis Cadungon",Toto Densoy,Independent,7409
Antipas,Councilor,"Porras, Jerry Cajandig",Mama,Independent,7303
Antipas,Councilor,"Magbanua, Ronnie Salvaleon",Dodong Emok,Independent,6765
Antipas,Councilor,"Cadungon, Ronnie Padura",Tito,Independent,6681
Antipas,Councilor,"Osorio, Teddy Amante",Ted,Independent,6521
Arakan,Mayor,"Rubino, Rene Sr. Villasor",Daboy,Nationalista Party,10776
Arakan,Vice-Mayor,"Anarna-Pangilinan, Jenefier Anarna",Jiji,Nationalista Party,7391
Arakan,Councilor,"Gayatin, Richard Alarba",Bobong,Nationalista Party,8161
Arakan,Councilor,"Montales, Mary Gerlie Tuble",Inday,Nationalista Party,8097
Arakan,Councilor,"Ebon, Aproniano Sr. Ambay",Apron,Nationalista Party,7928
Arakan,Councilor,"Reovoca, Leonardo Santillan",Bobong,Nationalista Party,6686
Arakan,Councilor,"Ambato, Sumerado Tumadin",Sammy,Nationalista Party,6448
Arakan,Councilor,"Bunsoran, Luis Mendug",Luis,Nationalista Party,6401
Arakan,Councilor,"Nasiluan, Josie Villasor",Bebing,Nationalista Party,6352
Arakan,Councilor,"Abanilla, Eva Arsaga",Nening,Independent,6184
Banisilan,Mayor,"Allado, Betty Alisasis",Dedeng,Liberal Party,9256
