city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Baasilisa Rizal,Mayor,"Ecleo, Alan 1 Buray",Ahl,Nationalista Party,5711
Baasilisa Rizal,Vice-Mayor,"Daganasol, Jacinto Elim",Toto,Nationalista Party,4089
Baasilisa Rizal,Councilor,"Olofernes, Wenefredo Ruiz",Wene,Nationalista Party,6188
Baasilisa Rizal,Councilor,"Relator, Jocelyn Bucio",Lyn,Nationalista Party,5908
Baasilisa Rizal,Councilor,"Borja, Cesar Tagoktok",Sar,Nationalista Party,5062
Baasilisa Rizal,Councilor,"Espedilla, Antonio Mamian",Tony,Nationalista Party,4741
Baasilisa Rizal,Councilor,"Roma, Rodrigo Mendez",Digoy,Nationalista Party,4737
Baasilisa Rizal,Councilor,"Saumat, Thelmo Mangopot",Thelmo,Nationalista Party,4586
Baasilisa Rizal,Councilor,"Guntinas, Henry Palma",Henry,Nationalista Party,4269
Baasilisa Rizal,Councilor,"Bangcore, Danilo Sr. Impuesto",Danny,Nationalista Party,3944
Cagdianao,Mayor,"Longos, Marc Adelson Dumdumaya",Dondon,Nationalista Party,5594
Cagdianao,Vice-Mayor,"Ecleo, Ruben Al Borja",Dodong Al,Nationalista Party,5430
Cagdianao,Councilor,"Longos, Adolfo Edillor",Denden,Nationalista Party,4975
Cagdianao,Councilor,"Fermilan, Rufino Jr. Petilo",Joy,Nationalista Party,4823
Cagdianao,Councilor,"Borja, Reyneria Geraldino",Vicvic,Nationalista Party,4539
Cagdianao,Councilor,"Longos, Cleto Fermilan",Cleto,Nationalista Party,4522
Cagdianao,Councilor,"Paco, Edito Maturan",Eddie,Nationalista Party,4440
Cagdianao,Councilor,"Chua, Earl Paqueo",Eng-Eng,Independent,4218
Cagdianao,Councilor,"Eludo, Carlos Ga",Loy,Independent,4213
Cagdianao,Councilor,"Laluna, Leonides Benonguil",Leony,Nationalista Party,4052
Dinagat,Mayor,"Ecleo, Craig _",Craig,Nationalista Party,2557
Dinagat,Vice-Mayor,"Lisondra, Rosalio Ii Entendez",Dokie,Nationalista Party,2375
Dinagat,Councilor,"Bacol, Menchu Geraldino",Chu,Nationalista Party,2628
Dinagat,Councilor,"Ruyeras, Liberato  Sr. Bulabos",Lebie,Nationalista Party,2558
Dinagat,Councilor,"Salarda, Meinrado Polinar",Dodong,Nationalista Party,2494
Dinagat,Councilor,"Edradan, Lilibeth Diegas",Beth,Nationalista Party,2482
Dinagat,Councilor,"Lisondra, Palermo Jr. Entendez",Jun-Jun,Nationalista Party,2461
Dinagat,Councilor,"Eder, Nicol Sr. Moleta",Kulas,Nationalista Party,2436
Dinagat,Councilor,"Dalar, Ferdinand Ondom",Boy,Nationalista Party,2385
Dinagat,Councilor,"Maurillo, Jose Peregrino",Joe,Nationalista Party,2220
Libjo Albor,Mayor,"Llamera, Lamberto Jr. Tan",Sonny,Nationalista Party,6590
Libjo Albor,Vice-Mayor,"Villarosa, Romeo Jr. Batobalonos",Jeje,Nationalista Party,3587
Libjo Albor,Councilor,"Vernante, Judito Bonite",Dito,Nationalista Party,4540
Libjo Albor,Councilor,"Sumayang, Matronillo Villanueva",Mat,Independent,4013
Libjo Albor,Councilor,"Creencia, Maricelle Manto",Cel,Independent,3984
Libjo Albor,Councilor,"Creencia, Mauro Predog",Malong,Nationalista Party,3956
Libjo Albor,Councilor,"Llamera, Celestina Cabiara",Lily,Nationalista Party,3766
Libjo Albor,Councilor,"Garay, Aldrin Boyore",Aldrin,Nationalista Party,3760
Libjo Albor,Councilor,"Malbacias, Rito Felominos",Loloy,Independent,3672
Libjo Albor,Councilor,"Bua, Carlos Pareja",Caloy,Nationalista Party,3453
Loreto,Mayor,"Ladaga-Quijano, Nena Inocente",Nene,Liberal Party,2974
Loreto,Vice-Mayor,"Ladaga, Doandre Bill Abuyme",Doan,Liberal Party,2900
Loreto,Councilor,"San Juan, Erwin Dalan",Erwin,Liberal Party,3231
Loreto,Councilor,"Plarisan, Margelie Aspirin",Margie,Liberal Party,2910
Loreto,Councilor,"Tan, Richard Casten",Beng-On,Liberal Party,2865
Loreto,Councilor,"Gajol, Alfonso Bagalay",Boy,Liberal Party,2788
Loreto,Councilor,"Luib, Gaudencio Jr. Estoque",Ejun,Liberal Party,2616
Loreto,Councilor,"Daguinod, Raul Odron",Raul,Liberal Party,2538
Loreto,Councilor,"Adlawan, Ali Patayon",Ali,Liberal Party,2515
Loreto,Councilor,"Pelismino, Dario Gumato",Brod,Liberal Party,2282
San Jose,Mayor,"Ecleo, Allan Ii Buray",Allan Ii,Nationalista Party,6683
San Jose,Vice-Mayor,"Bagunas, Mario Dagale",Mar,Nationalista Party,5557
San Jose,Councilor,"Libor, Rochelyn Sumbilon",Lyn-Lyn,Nationalista Party,5774
San Jose,Councilor,"Ecleo, Gracelyn Buray",Grace,Nationalista Party,5234
San Jose,Councilor,"Labigan, Rafael Argabio",Kaing,Nationalista Party,5147
San Jose,Councilor,"Ecleo, Jessie Dagairag",Jess,Nationalista Party,4753
San Jose,Councilor,"Olaco, Ricardo Jr. Esmeralda",Ariel,Nationalista Party,4558
San Jose,Councilor,"Medallo, Cristino Sr. Villacarlos",Nonoy,Nationalista Party,4370
San Jose,Councilor,"Sepe, Epifanio Sr. Gumaod",Fanny,Nationalista Party,4127
San Jose,Councilor,"Reponte, Rodrigo Olvis",Rudy,Nationalista Party,3634
Tubajon,Mayor,"Vargas, Romeo Constantino Luib",Meo,Liberal Party,3476
Tubajon,Vice-Mayor,"Pedrablanca, Simplicia Pelegrino",Fely,Liberal Party,3385
Tubajon,Councilor,"Vargas, R C Charlemagne Dela Cerna",Men,Liberal Party,3057
Tubajon,Councilor,"Agbo, Jorvie Bermoy",Jojo,Liberal Party,2997
Tubajon,Councilor,"Lasco, Marvin Modelo",Susot,Liberal Party,2983
Tubajon,Councilor,"Pelismino, Annabel Pinat",Ann Pinat,Liberal Party,2969
Tubajon,Councilor,"A, Glenn Cabajes",Glenn,Liberal Party,2773
Tubajon,Councilor,"Punay, Lennie Arana",Len,Liberal Party,2770
Tubajon,Councilor,"Tan, Sandy Pesical",Bobo,Liberal Party,2725
Tubajon,Councilor,"Daytoc, Carlito Torotoro",Carling,Liberal Party,2286
