city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Algeria,Mayor,"Esma, Dominador Jr. Guiral",Yoyoy,Liberal Party,5440
Algeria,Vice-Mayor,"Uriarte, Uldarico  Jr. Saubon",Boboy,Liberal Party,4711
Algeria,Councilor,"Paz, Ma. Theresa Eledia",Eledia,Nationalista Party,4617
Algeria,Councilor,"Odjinar, Ernesto Sr. Cordero",Boy,Liberal Party,3807
Algeria,Councilor,"Silvosa, Erlinda Benemerito",Lyn,Liberal Party,3600
Algeria,Councilor,"Dagcuta, Arnold Ladaga",Arnold,Liberal Party,3436
Algeria,Councilor,"Bacud, Gerry Zamora",Sasang,Liberal Party,3359
Algeria,Councilor,"Sagaral, Nimfa Naul",Nims,Nationalista Party,3208
Algeria,Councilor,"Jalasan, Josie Castillon",Tata,Independent,3089
Algeria,Councilor,"Ranay, Reynaldo Beltran",Dodong,Liberal Party,3029
Bacuag,Mayor,"Cebedo, Sheila Mae Orquina",Sheila,Liberal Party,6578
Bacuag,Vice-Mayor,"Manliguis, Columbano Jr. Jadol",Baby,Liberal Party,6225
Bacuag,Councilor,"Tadifa, Constancio Jr. Galeon",Boy,Liberal Party,5058
Bacuag,Councilor,"Orquina, Christopher Paulo",Dodo,Liberal Party,4987
Bacuag,Councilor,"Abucejo, Neco Go",Nec,Liberal Party,4937
Bacuag,Councilor,"Tantoy, Cedric Romulo Madelo",Boy,Liberal Party,4823
Bacuag,Councilor,"Chua, Eddie Ugay",Ed,Liberal Party,4810
Bacuag,Councilor,"Caba, Johnerie Ugay",Johnlalang,Independent,4779
Bacuag,Councilor,"Galindo, Clemence Galeon",Dondon,Liberal Party,4490
Bacuag,Councilor,"Tino, Marciana Lampad",Sana,Liberal Party,3974
Burgos,Mayor,"Arcena, Emmanuel Nogaliza",Emie,Liberal Party,1529
Burgos,Vice-Mayor,"Neir, Janit Silisana",Nit,Independent,1458
Burgos,Councilor,"Virtudazo, Marlon Malinao",Dasoy,Liberal Party,2003
Burgos,Councilor,"Celeste, Federico  Jr. Nogaliza",Jun,Liberal Party,1891
