NEDA UPDATES ON THE ECONOMY,,,,,,,,,,,,,,,,,,,,,
As of 30 May 2012,,,,,,,,,,,,,,,,,,,,,
I.   REAL SECTOR,,,,,Latest ,,Preceding,,Year to,,Same Quarter,,III.  MONETARY AND,,Latest ,,Preceding,,Year to,Same Month,
,,,,,Quarter,,Quarter,,Date,,Year Ago ,,     BANKING SECTOR (%),,Month,,Month,,     Date,Year Ago,
,A.,National Income (% g.r.) (NSCB),,,,,,,,,,,A.,Growth of U/KBs Outstanding Loans/a,17.7,(Mar '12),16.1,(Feb '12),17.7,18,(Mar '11)
,,GNI,,,3.5,(Q4 '11),2.1,(Q3 '11),2.6,FY '11,5.6,(Q4 '10),B.,NPL to total loans ratio,2.4,(Mar '12),2.3,(Feb '12),2.4,3,(Mar '11)
,,GDP,,,3.7,,3.6,,3.7,,6.1,,C.,M3 Growth /b,5.6,(Mar '12),7.2,(Feb '12),5.6,10.3,(Mar '11)
,,,Agriculture,,-2.5,,2.1,,2.6,,4.1,,IV. PRICES,,Latest ,,Preceding,,Year to,Same Month,
,,,Industry,,2.5,,0.8,,1.9,,6.5,,,,Month,,Month,,      Date,Year Ago,
,,,Services,,5.9,,5.4,,5,,6.4,,A.,Headline Inflation Rate (%) (NSO)/c,3,(Apr '12),2.6,(Mar '12),3,4.8,(Apr '11)
,B.,Manufacturing (MISSI-NSO),,,Latest ,,Preceding,,Year to,,Same Month,,,  Food and Non-Alcoholic Beverages,1.8,,1.4,,2,6.2,
,,(2000 - based),,,Month,,Month,,Date,,Year Ago ,,,  Non-Food,3.9,,3.6,,4,3.6,
,,Value of Production(% g.r.),,,11,(Mar '12),9.5,(Feb '12),8.2,(Q1 '12),11,(Mar '11),,NCR,2.5,,2.7,,2.8,3.3,
,,Volume of Production(% g.r.),,,8.2,,6.5,,5.4,,8.2,,,AONCR,3.2,,2.6,,3.2,5.1,
,,Value of Sales(% g.r.),,,-1.9,,-1.6,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,0.1,,10.5,,B.,"Lending Rate (Low, %)",5.8,(Apr '12),5.8,(Mar '12),5.7,5.4,(Apr '11)
,,Volume of Sales(% g.r.),,,-4.4,,-4.3,,-2.5,,11.2,,,,Latest ,,                Preceding,,Year to,                      Same Week,
,,Weighted Ave. Capacity Utilization (%),,,83.6,,83.4,,83.3,,83.2,,,,Week,,               Week,,   Date,                      Year Ago,
,C.,Electrical Consumption (% g.r.),,,Latest ,,Preceding,,Year to,,Same Month,,C.,BSP Overnight Borrowing Policy Rates(RP),6,(28 May '12),6,(21 May '12),6,6.5,(27 May 11)
,,(Meralco kWh Sales),,,Month,,Month,,Date,,Year Ago ,,D.,BSP Overnight Lending Policy Rates(RRP),4,(28 May '12),4,(21 May '12),4,4.5,(27 May 11)
,,Residential,,,13,(Mar '12),7.1,(Feb '12),8.8,(Jan-Mar '12),-8.7,(Mar '11),E.,91-Day T-Bill Rate (%),2.2,(02 May '12),0.9,(04 Apr '12),1.8,0.6,(04 May '11)
,,Commercial,,,11,,6.3,,8.5,,-1.9,,F.,"Forex (Average, P:$1)",43.5,(30 May '12),43.1,(16 May '12),42.9,43.3,(30 May '11)
,,Industrial,,,16.9,,11.5,,13.3,,-0.8,,G.,PSEi,"5,023.11",(29 May '12),"4,958.43",(15 May '12),"4,930.10","4,295.20",(30 May '11)
,,Others,,,-10,,-10,,-10.3,,1.7,,V. EXTERNAL ACCOUNTS (BSP/NSO),,                  Latest ,,                Preceding,,Year to,                     Same Month/Quarter,
,,Total,,,13.3,,8,,9.9,,-3.7,,,,               Month/Quarter,,                 Month/Quarter,,   Date,                     Year Ago,
,D.,Building Permits ( % g.r.) (NSO),,,Latest ,,Preceding,,Year to,,Same Quarter,,A.,Merchandise Exports (% g.r.),-0.8, (Mar '12) ,12.8, (Feb '12) ,4.8,4.2,(Mar '11)
,,,,,Quarter ,,Quarter,,Date,,Year Ago ,,, - Electronic Products/d (% g.r.),1.1,,15.8,,5.5,-7.3,
,,Number of Permits,,,7.6,(Q4 '11),5.4,(Q3'11),0.5,(FY '11),-24.6,Q4 '10,B.,Merchandise Imports (% g.r.),-3.3, (Mar '12) ,2.5, Feb '12) ,-1.5,21.9,Mar '11)
,,Value of Construction,,,-8.4,,-10,,1.8,,16.1,,,- Raw mat. & intermediate goods (% g. r.),-33.1,,-20.3,,-25,76,
,E.,Investment Indicators (% g.r.),,,Latest ,,Preceding,,Year to,,Same Period,,,- Capital goods (% g. r.),5.4,,52.5,,15.5,-3.8,
,,,,,Period,,Period,,Date,,Year Ago ,,C.,Current Account ($ M),"1,808",(Q4 '11),"2,391",(Q3 '11),"7,078","2,391",(Q4 '10)
,,Total Approved Foreign Direct Investment,,,42.2,(Q4 '11),32,(Q3 '11),30.6,(Q1-Q4 '11),61,(Q4 '10),D.,Capital & Financial Accounts ($ M),-981,(Q4 '11),"2,483",(Q3 '11),"5,228","5,349",(Q4 '10)
,,,BOI Investment,,-86.3,,17.2,,4.1,,114.8,,,"- Direct Investments, net'",461,,-78,,"1,253",403,
,,,PEZA Investment,,38.1,,20.2,,36.2,,37.5,,E.,Balance of Payments ($ M),-79,(Apr '12),-209,(Mar '12),"1,164","1,084",(Apr '11)
,,,SBMA Investment,,"23,237.20",,681.7,,282.4,,-80.6,,F.,Gross International Reserves ($ M),"75,965",(Apr '12),"76,129",(Mar '12),"75,965","68,489",(Apr '11)
,,,CDC Investment,,-90.1,,"1,141.20",,-28.4,,478.8,,,- Months' worth of imports,11.4,,11.4,,11.4,10.1,
II.  EMPLOYMENT (NSO-LFS),,,,,Latest ,,Preceding,,Year to,,Same Period,,G.,Total External Debt ($ M),"61,711",(Q4 '11),"62,431",(Q3 '11),"61,711","60,048",(Q4 '10)
     AND WAGES,,,,,Period,,Period,,Date,,Year Ago ,,,- of which: Total Short Term',"7,013",,"7,147",,"7,013","6,295",
,A.,Unemployment Rate (%)/f new definition,,,7.2,(Jan '12),6.4,(Oct '11),7.2,(Jan '12),7.4,(Jan '11),,                 Total Private Sector,"14,079",,"14,552",,"14,079","13,851",
