Agency Name,Name of Department/Agency/Office
Title or Full Data Name,Title of the data item
Description of Data,Description of the data item
Online Publication,Yes/No
File Format,"CSV, XLS, SHP, KML, TXT, PDF, DOC, etc."
Location or Download URL,Location of published data or URL for direct download
Disclosive,"For unpublished items, whether it contains information that cannot be disclosed or it cannot be disclosed because of fees and other restrictions"
Original Data Owner,Agency or office that origninally owns the data. All processed data are owned by the agency that processed the data
Data Maintainer,Unit responsible for the data
Date Released,The date when the data item was initially released (YYYY-MM-DD)
Frequency of Update,"Annually, Biannually, Quarterly, Monthly"
