region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,29,28,29,27,29,17,13,9,14,21,22,25,263
CAR,Baguio,Corp. Air,4,9,10,1,3,-,-,-,-,-,-,-,27
CAR,Baguio,G. Aviation,30,58,68,31,25,16,12,16,11,23,44,48,382
CAR,Baguio,Military,34,28,66,6,39,19,2,13,4,23,14,55,303
I (Ilocos Norte),Laoag (International),Far East Trans,13,15,13,13,14,12,14,13,14,12,13,13,159
I (Ilocos Norte),Laoag (International),China S. Air,13,11,13,13,14,12,14,17,12,13,13,10,155
I (Ilocos Norte),Laoag (International),C.R. Airways,28,25,33,29,28,24,31,28,25,28,25,33,337
I (Ilocos Norte),Laoag (International),PEAC,-,-,-,-,-,-,-,24,29,17,52,51,173
I (Ilocos Norte),Laoag (International),Deerjet,-,6,-,-,-,-,-,-,-,-,-,-,6
I (Ilocos Norte),Laoag (Domestic),PAL,17,16,21,21,22,22,18,17,17,18,17,19,225
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,-,-,-,1,-,-,-,-,-,-,-,-,1
I (Ilocos Norte),Laoag (Domestic),Air Philippines,-,-,-,2,-,-,-,-,-,-,-,-,2
I (Ilocos Norte),Laoag (Domestic),Paco,24,15,29,26,36,12,9,4,10,8,9,11,193
I (Ilocos Norte),Laoag (Domestic),Chemtrad,21,18,18,39,36,10,1,1,1,-,-,-,145
I (Ilocos Norte),Laoag (Domestic),G. Aviation,23,25,22,19,50,15,8,10,4,5,11,9,201
I (Ilocos Norte),Laoag (Domestic),Military,10,4,8,10,2,3,-,-,8,2,13,2,62
I (Ilocos Norte),Lingayen,G. Aviation,21,32,-,14,13,5,20,7,15,17,15,10,169
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,Asian Spirit,-,-,-,1,17,-,12,14,9,10,-,20,83
I (Ilocos Norte),Vigan,Chemtrad,-,-,-,-,-,-,-,-,-,7,-,-,-
I (Ilocos Norte),Vigan,G. Aviation,26,27,29,16,27,31,2,7,11,10,45,-,-
II (Cagayan Valley),Bagabag,G. Aviation,36,45,35,38,24,27,62,41,46,31,26,21,432
II (Cagayan Valley),Bagabag,Military,-,-,-,-,-,-,-,-,-,1,-,-,1
II (Cagayan Valley),Basco,Asian Spirit,16,22,16,38,32,34,17,13,32,34,15,38,307
II (Cagayan Valley),Basco,Seair,-,2,-,-,-,-,-,-,-,-,-,-,2
II (Cagayan Valley),Basco,Chemtrad,42,30,53,196,145,70,14,21,6,24,10,22,633
II (Cagayan Valley),Basco,Paco,46,40,50,102,102,77,26,16,63,56,20,67,665
II (Cagayan Valley),Basco,G. Aviation,-,3,4,-,-,-,2,-,4,-,-,-,13
II (Cagayan Valley),Basco,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Cauayan,G. Aviation,81,141,77,100,65,64,62,49,48,71,47,40,845
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Palanan,Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,0
