airport,night_landing_capabilities
Clark International Airport,Yes
Francisco Bangoy International Airport,Yes
Kalibo International Airport,Yes
Laoag International Airport,Yes
Mactan-Cebu International Airport,Yes
Ninoy Aquino International Airport,Yes
Puerto Princesa International Airport,Yes
Subic Bay International Airport,No
Tambler International Airport,Yes
Zamboanga International Airport,Yes
Bacolod-Silay Airport,Yes
Butuan Airport,Yes
Iloilo Airport,Yes
Laguindingan Airport,Yes
Tacloban Airport,Yes
