region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
NCR,NAIA,International,8228,7216,7814,15992,16056,15146,15406,15698,15060,15592,15432,16626,164266
NCR,NAIA,Domestic,12588,11316,11316,25574,26454,23324,22414,23414,20938,23306,23192,24008,247844
NCR,NAIA,General Aviation,2640,2662,12494,5418,5912,4834,4206,4732,4138,5054,4792,4788,61670
I (Ilocos Region),Laoag (International),Cebu Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Laoag (International),China S. Air,18,6,6,0,2,0,0,0,0,0,0,0,32
I (Ilocos Region),Laoag (International),Mandarin Airlines,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Laoag (International),HK Express,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Laoag (International),Air Macao,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Laoag (Domestic),PAL,90,80,80,102,108,104,108,102,76,98,104,118,1170
I (Ilocos Region),Laoag (Domestic),Air Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Laoag (Domestic),Cebu Pacific,64,56,56,62,62,64,64,66,56,66,64,62,742
I (Ilocos Region),Laoag (Domestic),Aeroflite av. Corp,0,0,0,0,0,0,0,0,60,0,0,0,60
I (Ilocos Region),Laoag (Domestic),Far East Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Laoag (Domestic),WCC Skypasada,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Laoag (Domestic),General Aviation,66,102,0,296,96,112,68,74,38,122,94,114,1182
I (Ilocos Region),Laoag (Domestic),Military,2,0,0,2,0,0,0,0,12,0,2,0,18
I (Ilocos Region),Lingayen,General Aviation,4554,3692,4310,4058,3898,3642,3738,4210,3682,3702,4356,2322,46164
I (Ilocos Region),Lingayen,Military,0,0,0,0,0,0,0,0,70,0,0,0,70
I (Ilocos Region),San Fernando,General Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Region),Vigan,Lion Air,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Vigan,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Region),Vigan,North South Air,0,22,22,0,12,12,10,10,8,0,0,0,96
I (Ilocos Region),Vigan,General Aviation,0,328,380,366,386,0,214,278,370,332,200,0,2854
I (Ilocos Region),Vigan,Military,0,0,0,0,4,6,0,0,14,32,0,0,56
II (Cagayan Valley),Bagabag,General Aviation,0,0,6,0,2,6,0,6,0,6,0,12,38
II (Cagayan Valley),Bagabag,Cyclone,0,4,0,6,0,0,0,0,4,0,0,0,14
II (Cagayan Valley),Bagabag,Military,0,0,0,0,0,0,0,0,0,2,0,0,2
II (Cagayan Valley),Basco,PAL,62,56,62,124,124,60,54,42,42,44,62,100,832
II (Cagayan Valley),Basco,WCC Skypasada,32,22,28,44,54,28,30,22,28,34,38,48,408
II (Cagayan Valley),Basco,Northsky Air,60,42,38,52,28,12,6,8,6,6,30,40,328
II (Cagayan Valley),Basco,Sky Jet,2,24,34,36,32,28,20,18,14,26,0,28,262
II (Cagayan Valley),Basco,USMC,2,0,0,0,0,0,0,0,0,0,0,0,2
II (Cagayan Valley),Basco,Military,4,0,0,4,4,0,0,4,0,0,2,0,18
II (Cagayan Valley),Basco,General Aviation,0,4,10,20,0,2,0,2,0,2,0,0,40
II (Cagayan Valley),Cauayan,Cebu Pacific,26,24,0,26,26,30,32,36,32,36,32,34,334
II (Cagayan Valley),Cauayan,General Aviation,6,6,0,26,42,8,10,4,4,4,6,36,152
II (Cagayan Valley),Cauayan,Northsky Air,0,0,0,0,0,2,0,0,0,0,0,0,2
II (Cagayan Valley),Cauayan,PAL,0,0,0,0,2,0,0,0,0,0,0,0,2
II (Cagayan Valley),Cauayan,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0
II (Cagayan Valley),Cauayan,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
II (Cagayan Valley),Cauayan,Cyclone Airways,182,194,0,260,392,304,256,228,164,136,182,112,2410
II (Cagayan Valley),Cauayan,Cyclone Flying,26,36,0,18,10,72,10,34,2,20,70,54,352
II (Cagayan Valley),Cauayan,WCC Skypasada,52,28,0,62,42,26,0,0,0,0,2,0,212
