flight,particular,numberof_flights_inbound,inbound_pounds,inbound_kilograms,inbound_tons,number_of_flights_outbound,outbound_pounds,outbound_kilograms,outbound_tons
UPS Flights,January ,152,7947871,3612668.64,3612.67,156,8041763,3655346.82,3655.35
UPS Flights,February,157,9006133,4093696.82,4093.7,157,9256850.91,4207659.5,4207.66
UPS Flights,March,166,10984575,4992988.64,4992.99,167,11451026.03,5205011.83,5205.01
UPS Flights,April,167,10913586,4960720.91,4960.72,168,11200913,5091324.09,5091.32
UPS Flights,May,169,11373397,5169725.91,5169.73,168,11525576.51,5238898.41,5238.9
UPS Flights,June,168,12050858,5477662.73,5477.66,168,11521037,5236835,5236.84
UPS Flights,July,179,13371418,6077917.27,6077.92,180,12637494,5744315.45,5744.32
UPS Flights,August,168,12945208,5884185.45,5884.19,167,11835670,5379850,5379.85
UPS Flights,September,163,12709809,5777185.91,5777.19,164,12177866.59,5535393.9,5535.39
UPS Flights,October,163,11789566,5358893.64,5358.89,163,11657432,5298832.73,5298.83
UPS Flights,November,160,12104532,5502060,5502.06,160,11975236,5443289.09,5443.29
UPS Flights,December,161,13035161,5925073.18,5925.07,161,11851720,5387145.45,5387.15
UPS Flights,Total,1973,138232114,62832779.09,62832.78,1979,135132585,61423902.29,61423.9
YRE Flights,January ,22,405093,184133.18,184.13,22,95519,43417.73,43.42
YRE Flights,February,24,313390,142450,142.45,24,120582,54810,54.81
YRE Flights,March,26,424325,192875,192.88,26,122526,55693.64,55.69
YRE Flights,April,25,472584,214810.91,214.81,25,97908,44503.64,44.5
YRE Flights,May,23,394273,179215,179.22,23,119058,54117.27,54.12
YRE Flights,June,18,338974,154079.09,154.08,18,153185,69629.55,69.63
YRE Flights,July,25,469750,213522.73,213.52,25,114812,52187.27,52.19
YRE Flights,August,25,442956,201343.64,201.34,25,119402,54273.64,54.27
YRE Flights,September,25,454917,206780.45,206.78,25,113549,51613.18,51.61
YRE Flights,October,20,411678,187126.36,187.13,20,110326,50148.18,50.15
YRE Flights,November,25,410986,186811.82,186.81,25,112567,51166.82,51.17
YRE Flights,December,25,577385,262447.73,262.45,25,150077,68216.82,68.22
YRE Flights,Total,283,5116311,2325595.91,2325.6,283,1429511,649777.73,649.78
PEAC International Flights,January ,4,121587.4,55267,55.27,5,137112.8,62324,62.32
PEAC International Flights,February,4,92081,41855,41.86,3,78104.4,35502,35.5
PEAC International Flights,March,7,230934,104970,104.97,8,207284,94220,94.22
PEAC International Flights,April,4,85276.4,38762,38.76,4,82750.8,37614,37.61
PEAC International Flights,May,3,65021,29555,29.56,3,69102,31410,31.41
PEAC International Flights,June,1,34861.2,15846,15.85,1,31576.6,14353,14.35
PEAC International Flights,July,5,64829.6,29468,29.47,4,42235.6,19198,19.2
PEAC International Flights,August,2,67916.2,30871,30.87,2,68173.6,30988,30.99
PEAC International Flights,September,3,60352.6,27433,27.43,3,67603.8,30729,30.73
PEAC International Flights,October,7,219109,99595,99.6,7,130686.6,59403,59.4
PEAC International Flights,November,8,242534.6,110243,110.24,8,202417.6,92008,92.01
PEAC International Flights,December,7,133091.2,60496,60.5,7,120524.8,54784,54.78
PEAC International Flights,Total,55,1417594.2,644361,644.36,55,1237572.6,562533,562.53
PEAC Domestic Flights,January,20,212806,96730,96.73,19,161975,73625,73.63
PEAC Domestic Flights,February,20,182366.8,82894,82.89,21,160608.8,73004,73
PEAC Domestic Flights,March,20,264814,120370,120.37,20,224160.2,101891,101.89
PEAC Domestic Flights,April,21,343307.8,156049,156.05,21,236572.6,107533,107.53
PEAC Domestic Flights,May,23,328059.6,149118,149.12,22,272463.4,123847,123.85
PEAC Domestic Flights,June,21,355995.2,161816,161.82,21,395764.6,179893,179.89
PEAC Domestic Flights,July,46,478161.2,217346,217.35,45,487425.4,221557,221.56
PEAC Domestic Flights,August,21,338683.4,153947,153.95,21,435738.6,198063,198.06
PEAC Domestic Flights,September,19,329927.4,149967,149.97,20,531242.8,241474,241.47
PEAC Domestic Flights,October,23,404848.4,184022,184.02,22,559655.8,254389,254.39
PEAC Domestic Flights,November,20,320315.6,145598,145.6,20,473836,215380,215.38
PEAC Domestic Flights,December,22,199696.2,90771,90.77,22,307342.2,139701,139.7
PEAC Domestic Flights,Total,276,3758981.6,1708628,1708.63,274,4246785.4,1930357,1930.36
Grand Total,Grand Total,2587,148525000.8,67511364,67511.36,2591,142046454,64566570.02,64566.57
