date,class,aircraft_registration,aircraft_model,place_of_occurrence,type_of_occurrence,fatalities,major_injuries,minor_injuries
1/3/14,Accident,RP-C3533,Cessna 172S,"Diosdado Macapagal International Airport, Angeles City Pampanga",Hard landing,-,-,-
1/25/14,Accident,RP-C8835,Cessna 152,"Loakan Airport, Baguio City",Hard landing,-,-,-
2/6/14,Accident,RP-R5388,Grumman Agcat G164B,"Tadeco Airstrip II, Panabo, Davao Del Norte",Collision with an electric post during flight,-,-,-
2/6/14,Accident,RP-R1750,Turbo Thrush S2RT,"Dapco Airstrip, Panabo, Danao Del Norte",Runway excursion,-,-,-
2/15/14,Incident,RP-C3195,A319-111,Butuan National Airport,Runway excursion (taxi),-,-,-
2/16/14,Accident,RP-C993,Cessna 172N,Barradas Airport Batangas,Departure stall,-,4,-
3/4/14,Accident,RP-R1420,Piper Pawnee Brave-36-375,"Farming Town Aerodrome FADI Airstrip, Sto. Tomas, Davao Del Norte",Inflight fire,-,-,-
3/6/14,Accident,RP-C1025,Cessna 152,Nueva Ecija,Crash landing,-,-,1
3/7/14,Accident,RP-R3024,Grumman Agcat G164A,"Purok Macopa, Visayan Village, Tagum City, Davao Del Norte",Power-on stall,-,-,1
4/5/14,Accident,RP-R3100,PA-36-375,"Purok 6 Kaptipunan, Municipality of Kapalong, Davao Del Norte",Collion with electric cable wires during flight,-,-,-
4/10/14,Accident,RP-C1745,Cessna 152,Plaridel Airstrip,Departure stall,-,-,1
4/19/14,Accident,RP-R146,Cessna/A188 Ag-Truck,"Brgy. Tagnanan, Mabini, Compostella Valley",Engine failure,-,-,-
4/27/14,Accident,RP-C1974,Baron BE55 - Beechcraft BE55,"1.5 Kilometers of Runway 27, Bagabag Airport, Nueva Vizcaya",In-Flight break up,4,-,-
5/4/14,Accident,RP-C8847,Cessna 152,"Paniqui Tarlac - Parrique Airstrip, Brgy. Abogado, Panique Tarlac",Engine failure,-,-,-
6/3/14,Accident,RP-R5837,Agcat 164A,"MD Panabo Agri-Ventures Aerodrome Panabo City, Davao Del Norte",Runaway overrun rejected take-off,-,-,-
6/27/14,Accident,RP-R1957,Cessna A188 Agwagon,"Dacudao Banana Plantation, Davao City",Crash landing,-,-,-
7/1/14,Accident,RP-C30331,DHC-8-402,Surigao Airport,Crash landing,-,-,-
7/2/14,Serious Incident,RP-C6989,Cessna 150,"Plaridel National Airport, Brgy. Lumang Bayan, Plaridel, Bulacan",Crash landing,-,-,-
7/15/14,Incident,RP-C1737,Cessna 172,Subic International Airport,Collision with hangar wall,-,-,-
8/5/14,Incident,HZ-AIX,Boeing 747-468,Ninoy Aquino International Airport (NAIA),Taxiway excursion,-,-,-
8/6/14,Accident,RP-R5859,Agcat G-164A,"Purok 2-2A Sampao, Kapalong Davao Del Norte",Engine failure,-,-,-
8/9/14,Incident,RP-C8993,Airbus 320,190 Nautical Miles to Manila,Pre-emptive descent,-,-,-
8/13/14,Incident,RP-C8078,Cessna 172L,Subic International Airport,Flat tire spot during landing,-,-,-
8/20/14,Accident,RP-C6932,Cessna 172M,"San Fernando Airport, La Union",Crash landing,-,-,-
8/22/14,Accident,RP-C1360,Cessna 2017,"Brgy. Talisay, Barrio Calalagan, Batangas",Ditching,-,-,-
8/22/14,Accident,RP-C984,BE-H18s,Manila Domestic Airport,Belly landing,-,-,-
9/1/14,Accident,RP-C1117,Baron B58,"Sangley Airport, Cavite City",Belly landing,-,-,-
10/1/14,Incident,RP-R5388,Grumman Agcat G-164A,"Brgy. Kasilak, Panabo, Davao Del Norte",Collision with guy wire,-,-,-
10/17/14,Accident,RP-C7555,Cessna 172K,"Brgy. Laoac, 3.5 Kms. From Binaionan Airport",Fuel starvation,-,-,-
10/23/14,Accident,RP-R2505,Ayres Thrush Commander S2RT,"Brgy. Tag-upo, Maragusan Aerodrome, Compostella Valley, Davao",Loss of control,-,-,-
10/29/14,Accident,RP-C2346,Twin Commander 560A,"Surigao Airport, Surigao City",Material failure,-,-,-
12/14/14,Accident,RP-C2287,Dornier 228-202K,"Aman Pulo Resort, Pamalican Island",Collapsed left main landing gear,-,-,-
12/17/14,Serious Incident,RP-C1320,BN-2A-21,"Basco Airport, Batanes",Runway excursion,-,-,-
12/18/14,Accident,RP-C6881,PA-23-250,"Brooke's Point, Palawan",Collapsed nose landing gear,-,-,-
12/19/14,Accident,RP-C8864,Cessna 152,OMNI Aviation Runway 02,Runway overshoot,-,-,-
12/30/14,Serious Incident,RP-C8972,Airbus 320-216,Kalibo International Airport,Runway excursion,-,-,-
