classification,region,project,2010,2011,2012,2013,2014
Aviation,IV-B (MIMAROPA),Puerto Princesa Airport Development Project,0,0,0,798823,1700000
Aviation,VII (Central Visayas),New Bohol (Panglao) Airport Development Project,0,0,0,867112,1718004
Aviation,X (Northern Mindanao),Laguindingan Airport Development Project,1707608,1978889,235628,0,278720
Aviation,Nationwide,"New Communications, Navigation, and Surveillance / Air Traffic Management Systems Development Project",1555535,2612707,2384362,0,1507167
Maritime,Nationwide,Maritime Disaster Response Helicopter Acquisition Project,0,1560567,3397984,465935,0
Maritime,Nationwide,Maritime Safety Capability Improvement Project,0,0,0,1500000,2087400
Railways,IV-A (CALABARZON),LRT Line 2 East Extension (Masinag),0,0,0,0,265477
Railways,IV-B (MIMAROPA),LRT Line 1 Cavite Extension,0,0,0,3772291,5172291
Road,VII (Central Visayas),Cebu Bus Rapid Transit (BRT) Project,0,0,0,975000,0
Total,Total,Total,3263143,6152163,6017974,8379161,12729059
