region,province,city_or_municipality,2012
I (Ilocos Region),Ilocos Norte,Adams,0
I (Ilocos Region),Ilocos Norte,Bacarra,1
I (Ilocos Region),Ilocos Norte,Badoc,1
I (Ilocos Region),Ilocos Norte,Bangui,1
I (Ilocos Region),Ilocos Norte,Batac,3
I (Ilocos Region),Ilocos Norte,Burgos,2
I (Ilocos Region),Ilocos Norte,Carasi,0
I (Ilocos Region),Ilocos Norte,Currimao,0
I (Ilocos Region),Ilocos Norte,Dingras,1
I (Ilocos Region),Ilocos Norte,Dumalneg,0
I (Ilocos Region),Ilocos Norte,Banna (Espiritu),1
I (Ilocos Region),Ilocos Norte,Laoag City (Capital),7
I (Ilocos Region),Ilocos Norte,Marcos,3
I (Ilocos Region),Ilocos Norte,Nueva Era,2
I (Ilocos Region),Ilocos Norte,Pagudpud,2
I (Ilocos Region),Ilocos Norte,Paoay,1
I (Ilocos Region),Ilocos Norte,Pasuquin,2
I (Ilocos Region),Ilocos Norte,Piddig,3
I (Ilocos Region),Ilocos Norte,Pinili,0
I (Ilocos Region),Ilocos Norte,San Nicolas,0
I (Ilocos Region),Ilocos Norte,Sarrat,0
I (Ilocos Region),Ilocos Norte,Solsona,1
I (Ilocos Region),Ilocos Norte,Vintar,1
I (Ilocos Region),Ilocos Norte,Total Ilocos Norte,32
I (Ilocos Region),Ilocos Sur,Alilem,0
I (Ilocos Region),Ilocos Sur,Banayoyo,1
I (Ilocos Region),Ilocos Sur,Bantay,1
I (Ilocos Region),Ilocos Sur,Burgos,1
I (Ilocos Region),Ilocos Sur,Cabugao,3
I (Ilocos Region),Ilocos Sur,Candon,1
I (Ilocos Region),Ilocos Sur,Caoayan,3
I (Ilocos Region),Ilocos Sur,Cervantes,1
I (Ilocos Region),Ilocos Sur,Galimuyod,0
I (Ilocos Region),Ilocos Sur,Gregorio Del Pilar (Concepcion),0
I (Ilocos Region),Ilocos Sur,Lidlidda,0
I (Ilocos Region),Ilocos Sur,Magsingal,2
I (Ilocos Region),Ilocos Sur,Nagbukel,0
I (Ilocos Region),Ilocos Sur,Narvacan,0
I (Ilocos Region),Ilocos Sur,Quirino (Angkaki),1
I (Ilocos Region),Ilocos Sur,Salcedo (Baugen),0
I (Ilocos Region),Ilocos Sur,San Emilio,0
I (Ilocos Region),Ilocos Sur,San Esteban,0
I (Ilocos Region),Ilocos Sur,San Ildefonso,0
I (Ilocos Region),Ilocos Sur,San Juan (Lapog),3
I (Ilocos Region),Ilocos Sur,San Vicente,1
I (Ilocos Region),Ilocos Sur,Santa,2
I (Ilocos Region),Ilocos Sur,Santa Catalina,3
I (Ilocos Region),Ilocos Sur,Santa Cruz,0
I (Ilocos Region),Ilocos Sur,Santa Lucia,1
I (Ilocos Region),Ilocos Sur,Santa Maria,2
I (Ilocos Region),Ilocos Sur,Santiago,1
I (Ilocos Region),Ilocos Sur,Santo Domingo,1
I (Ilocos Region),Ilocos Sur,Sigay,0
I (Ilocos Region),Ilocos Sur,Sinait,0
I (Ilocos Region),Ilocos Sur,Sugpon,0
I (Ilocos Region),Ilocos Sur,Suyo,0
I (Ilocos Region),Ilocos Sur,Tagudin,0
I (Ilocos Region),Ilocos Sur,Vigan (Capital),2
I (Ilocos Region),Ilocos Sur,Total Ilocos Sur,30
I (Ilocos Region),La Union,Agoo,1
I (Ilocos Region),La Union,Aringay,1
I (Ilocos Region),La Union,Bacnotan,2
I (Ilocos Region),La Union,Bagulin,0
I (Ilocos Region),La Union,Balaoan,2
I (Ilocos Region),La Union,Bangar,0
I (Ilocos Region),La Union,Bauang,0
I (Ilocos Region),La Union,Burgos,2
I (Ilocos Region),La Union,Caba,0
I (Ilocos Region),La Union,Luna,0
I (Ilocos Region),La Union,Naguilian,6
I (Ilocos Region),La Union,Pugo,1
I (Ilocos Region),La Union,Rosario,3
I (Ilocos Region),La Union,City of San Fernando (Capital),1
I (Ilocos Region),La Union,San Gabriel,1
I (Ilocos Region),La Union,San Juan,0
I (Ilocos Region),La Union,Santo Tomas,0
I (Ilocos Region),La Union,Santol,0
I (Ilocos Region),La Union,Sudipen,0
I (Ilocos Region),La Union,Tubao,0
I (Ilocos Region),La Union,Total La Union,20
I (Ilocos Region),Pangasinan,Agno,2
I (Ilocos Region),Pangasinan,Aguilar,0
I (Ilocos Region),Pangasinan,Alaminos,3
I (Ilocos Region),Pangasinan,Alcala,0
I (Ilocos Region),Pangasinan,Anda,0
I (Ilocos Region),Pangasinan,Asingan,0
I (Ilocos Region),Pangasinan,Balungao,3
I (Ilocos Region),Pangasinan,Bani,2
I (Ilocos Region),Pangasinan,Basista,0
I (Ilocos Region),Pangasinan,Bautista,0
I (Ilocos Region),Pangasinan,Bayambang,4
I (Ilocos Region),Pangasinan,Binalonan,1
I (Ilocos Region),Pangasinan,Binmaley,0
I (Ilocos Region),Pangasinan,Bolinao,2
I (Ilocos Region),Pangasinan,Bugallon,0
I (Ilocos Region),Pangasinan,Burgos,1
I (Ilocos Region),Pangasinan,Calasiao,5
I (Ilocos Region),Pangasinan,Dagupan City,1
I (Ilocos Region),Pangasinan,Dasol,0
I (Ilocos Region),Pangasinan,Infanta,1
I (Ilocos Region),Pangasinan,Labrador,1
I (Ilocos Region),Pangasinan,Lingayen (Capital),2
I (Ilocos Region),Pangasinan,Mabini,1
I (Ilocos Region),Pangasinan,Malasiqui,7
I (Ilocos Region),Pangasinan,Manaoag,1
I (Ilocos Region),Pangasinan,Mangaldan,2
I (Ilocos Region),Pangasinan,Mangatarem,4
I (Ilocos Region),Pangasinan,Mapandan,1
I (Ilocos Region),Pangasinan,Natividad,0
I (Ilocos Region),Pangasinan,Pozzorubio,1
I (Ilocos Region),Pangasinan,Rosales,2
I (Ilocos Region),Pangasinan,San Carlos City,1
I (Ilocos Region),Pangasinan,San Fabian,6
I (Ilocos Region),Pangasinan,San Jacinto,0
I (Ilocos Region),Pangasinan,San Manuel,1
I (Ilocos Region),Pangasinan,San Nicolas,0
I (Ilocos Region),Pangasinan,San Quintin,3
I (Ilocos Region),Pangasinan,Santa Barbara,0
I (Ilocos Region),Pangasinan,Santa Maria,1
I (Ilocos Region),Pangasinan,Santo Tomas,3
I (Ilocos Region),Pangasinan,Sison,4
I (Ilocos Region),Pangasinan,Sual,2
I (Ilocos Region),Pangasinan,Tayug,1
I (Ilocos Region),Pangasinan,Umingan,4
I (Ilocos Region),Pangasinan,Urbiztondo,2
I (Ilocos Region),Pangasinan,City of Urdaneta,3
I (Ilocos Region),Pangasinan,Villasis,0
I (Ilocos Region),Pangasinan,Laoac,3
I (Ilocos Region),Pangasinan,Total Pangasinan,81
I (Ilocos Region),No City/Municipality Reported,No City/Municipality Reported,0
I (Ilocos Region),Total Ilocos Region,Total Ilocos Region,163
II (Cagayan Valley),Batanes,Basco (Capital),0
II (Cagayan Valley),Batanes,Itbayat,0
II (Cagayan Valley),Batanes,Ivana,0
II (Cagayan Valley),Batanes,Sabtang,0
II (Cagayan Valley),Batanes,Total Batanes, -   
II (Cagayan Valley),Cagayan,Abulug,1
II (Cagayan Valley),Cagayan,Alcala,3
II (Cagayan Valley),Cagayan,Allacapan,1
II (Cagayan Valley),Cagayan,Amulung,0
II (Cagayan Valley),Cagayan,Aparri,0
II (Cagayan Valley),Cagayan,Baggao,4
II (Cagayan Valley),Cagayan,Ballesteros,1
II (Cagayan Valley),Cagayan,Buguey,0
II (Cagayan Valley),Cagayan,Calayan,0
II (Cagayan Valley),Cagayan,Camalaniugan,2
II (Cagayan Valley),Cagayan,Claveria,3
II (Cagayan Valley),Cagayan,Enrile,0
II (Cagayan Valley),Cagayan,Gattaran,1
II (Cagayan Valley),Cagayan,Gonzaga,0
II (Cagayan Valley),Cagayan,Iguig,0
II (Cagayan Valley),Cagayan,Lal-Lo,0
II (Cagayan Valley),Cagayan,Lasam,1
II (Cagayan Valley),Cagayan,Pamplona,0
II (Cagayan Valley),Cagayan,Penablanca,2
II (Cagayan Valley),Cagayan,Piat,0
II (Cagayan Valley),Cagayan,Rizal,0
II (Cagayan Valley),Cagayan,Sanchez-Mira,0
II (Cagayan Valley),Cagayan,Santa Ana,0
II (Cagayan Valley),Cagayan,Santa Praxedes,0
II (Cagayan Valley),Cagayan,Santa Teresita,0
II (Cagayan Valley),Cagayan,Santo Nino (Faire),0
II (Cagayan Valley),Cagayan,Solana,4
II (Cagayan Valley),Cagayan,Tuao,1
II (Cagayan Valley),Cagayan,Tuguegarao (Capital),5
II (Cagayan Valley),Cagayan,Total Cagayan,29
II (Cagayan Valley),Isabela,Alicia,2
II (Cagayan Valley),Isabela,Angadanan,0
II (Cagayan Valley),Isabela,Aurora,1
II (Cagayan Valley),Isabela,Benito Soliven,0
II (Cagayan Valley),Isabela,Burgos,3
II (Cagayan Valley),Isabela,Cabagan,0
II (Cagayan Valley),Isabela,Cabatuan,2
II (Cagayan Valley),Isabela,Cauayan,3
II (Cagayan Valley),Isabela,Cordon,0
II (Cagayan Valley),Isabela,Divilican,0
II (Cagayan Valley),Isabela,Echague,2
II (Cagayan Valley),Isabela,Gamu,0
II (Cagayan Valley),Isabela,Ilagan (Capital),8
II (Cagayan Valley),Isabela,Jones,1
II (Cagayan Valley),Isabela,Luna,2
II (Cagayan Valley),Isabela,Maconacon,0
II (Cagayan Valley),Isabela,Delfin Albano (Magsaysay),0
II (Cagayan Valley),Isabela,Mallig,1
II (Cagayan Valley),Isabela,Naguilian,2
II (Cagayan Valley),Isabela,Palanan,0
II (Cagayan Valley),Isabela,Quezon,0
II (Cagayan Valley),Isabela,Quirino,3
II (Cagayan Valley),Isabela,Ramon,4
II (Cagayan Valley),Isabela,Reina Mercedes,0
II (Cagayan Valley),Isabela,Roxas,9
II (Cagayan Valley),Isabela,San Agustin,3
II (Cagayan Valley),Isabela,San Guillermo,0
II (Cagayan Valley),Isabela,San Isidro,0
II (Cagayan Valley),Isabela,San Manuel,0
II (Cagayan Valley),Isabela,San Mariano,1
II (Cagayan Valley),Isabela,San Mateo,3
II (Cagayan Valley),Isabela,San Pablo,1
II (Cagayan Valley),Isabela,Santa Maria,0
II (Cagayan Valley),Isabela,City of Santiago,2
II (Cagayan Valley),Isabela,Santo Tomas,2
II (Cagayan Valley),Isabela,Tumauini,2
II (Cagayan Valley),Isabela,Total Isabela,57
II (Cagayan Valley),Nueva Vizcaya,Ambaguio,1
II (Cagayan Valley),Nueva Vizcaya,Aritao,1
II (Cagayan Valley),Nueva Vizcaya,Bagabag,6
II (Cagayan Valley),Nueva Vizcaya,Bambang,2
II (Cagayan Valley),Nueva Vizcaya,Bayombong (Capital),0
II (Cagayan Valley),Nueva Vizcaya,Diadi,0
II (Cagayan Valley),Nueva Vizcaya,Dupax Del Norte,2
II (Cagayan Valley),Nueva Vizcaya,Dupax Del Sur,0
II (Cagayan Valley),Nueva Vizcaya,Kasibu,0
II (Cagayan Valley),Nueva Vizcaya,Kayapa,0
II (Cagayan Valley),Nueva Vizcaya,Quezon,2
II (Cagayan Valley),Nueva Vizcaya,Santa Fe,0
II (Cagayan Valley),Nueva Vizcaya,Solano,1
II (Cagayan Valley),Nueva Vizcaya,Villaverde,1
II (Cagayan Valley),Nueva Vizcaya,Alfonso Castaneda,0
II (Cagayan Valley),Nueva Vizcaya,Total Nueva Vizcaya,16
II (Cagayan Valley),Quirino,Aglipay,1
II (Cagayan Valley),Quirino,Cabarroguis (Capital),1
II (Cagayan Valley),Quirino,Diffun,0
II (Cagayan Valley),Quirino,Maddela,0
II (Cagayan Valley),Quirino,Saguday,2
II (Cagayan Valley),Quirino,Nagtipunan,0
II (Cagayan Valley),Quirino,Total Quirino,4
II (Cagayan Valley),No City/Municipality Reported,No City/Municipality Reported,0
II (Cagayan Valley),Total Cagayan Valley,Total Cagayan Valley,106
III (Central Luzon),Bataan,Abucay,2
III (Central Luzon),Bataan,Bagac,0
III (Central Luzon),Bataan,Balanga (Capital),9
III (Central Luzon),Bataan,Dinalupihan,0
III (Central Luzon),Bataan,Hermosa,0
III (Central Luzon),Bataan,Limay,0
III (Central Luzon),Bataan,Mariveles,2
III (Central Luzon),Bataan,Morong,0
III (Central Luzon),Bataan,Orani,2
III (Central Luzon),Bataan,Orion,3
III (Central Luzon),Bataan,Pilar,5
III (Central Luzon),Bataan,Samal,5
III (Central Luzon),Bataan,Total Bataan,28
III (Central Luzon),Bulacan,Angat,0
III (Central Luzon),Bulacan,Balagtas (Bigaa),4
III (Central Luzon),Bulacan,Baliuag,1
III (Central Luzon),Bulacan,Bocaue,1
III (Central Luzon),Bulacan,Bulacan,3
III (Central Luzon),Bulacan,Bustos,1
III (Central Luzon),Bulacan,Calumpit,0
III (Central Luzon),Bulacan,Guiguinto,5
III (Central Luzon),Bulacan,Hagonoy,2
III (Central Luzon),Bulacan,Malolos  (Capital),2
III (Central Luzon),Bulacan,Marilao,4
III (Central Luzon),Bulacan,Meycauayan,0
III (Central Luzon),Bulacan,Norzagaray,1
III (Central Luzon),Bulacan,Obando,0
III (Central Luzon),Bulacan,Pandi,4
III (Central Luzon),Bulacan,Paombong,0
III (Central Luzon),Bulacan,Plaridel,7
III (Central Luzon),Bulacan,Pulilan,0
III (Central Luzon),Bulacan,San Ildefonso,0
III (Central Luzon),Bulacan,San Jose Del Monte,10
III (Central Luzon),Bulacan,San Miguel,1
III (Central Luzon),Bulacan,San Rafael,0
III (Central Luzon),Bulacan,Santa Maria,1
III (Central Luzon),Bulacan,Dona Remedios Trinidad,0
III (Central Luzon),Bulacan,Total Bulacan,47
III (Central Luzon),Nueva Ecija,Aliaga,2
III (Central Luzon),Nueva Ecija,Bongabon,0
III (Central Luzon),Nueva Ecija,Cabanatuan City,10
III (Central Luzon),Nueva Ecija,Cabiao,0
III (Central Luzon),Nueva Ecija,Carranglan,0
III (Central Luzon),Nueva Ecija,Cuyapo,5
III (Central Luzon),Nueva Ecija,Gabaldon (Bitulok & Sabani),0
III (Central Luzon),Nueva Ecija,Gapan,1
III (Central Luzon),Nueva Ecija,General Mamerto Natividad,1
III (Central Luzon),Nueva Ecija,General Tinio (Papaya),0
III (Central Luzon),Nueva Ecija,Guimba,1
III (Central Luzon),Nueva Ecija,Jaen,1
III (Central Luzon),Nueva Ecija,Laur,2
III (Central Luzon),Nueva Ecija,Licab,1
III (Central Luzon),Nueva Ecija,Llanera,1
III (Central Luzon),Nueva Ecija,Lupao,0
III (Central Luzon),Nueva Ecija,Munoz,1
III (Central Luzon),Nueva Ecija,Nampicuan,0
III (Central Luzon),Nueva Ecija,Palayan City (Capital),0
III (Central Luzon),Nueva Ecija,Pantabangan,0
III (Central Luzon),Nueva Ecija,Penaranda,0
III (Central Luzon),Nueva Ecija,Quezon,0
III (Central Luzon),Nueva Ecija,Rizal,1
III (Central Luzon),Nueva Ecija,San Antonio,1
III (Central Luzon),Nueva Ecija,San Isidro,1
III (Central Luzon),Nueva Ecija,San Jose City,3
