selected_accounts_c,selected_accounts_d,selected_accounts_e,2001_March,2001_June,2001_Sept,2001_Dec
 ASSETS, ASSETS, ASSETS,"3,281.13","3,335.47","3,385.30","3,475.73"
 ASSETS, ASSETS,Cash and Due from Banks,319.495,313.548,306.885,331.998
 ASSETS, ASSETS,Loan Portfolio (net) 2/,"1,678.68","1,650.80","1,686.69","1,704.77"
 ASSETS, ASSETS,Investments (net),750.493,815.29,828.627,880.012
 ASSETS, ASSETS,Other Assets,532.456,555.83,563.093,558.954
 LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL,"3,281.13","3,335.47","3,385.30","3,475.73"
Liabilities,Liabilities,Liabilities,"2,828.34","2,882.25","2,916.45","3,011.27"
    Deposit Liabilities,    Deposit Liabilities,    Deposit Liabilities,"2,217.56","2,245.41","2,282.02","2,353.46"
    Deposit Liabilities,        Peso Liabilities,        Peso Liabilities,"1,576.08","1,589.10","1,626.46","1,654.76"
    Deposit Liabilities,        Peso Liabilities,            Demand and NOW,237.76,260.962,271.74,276.044
    Deposit Liabilities,        Peso Liabilities,            Savings,"1,223.38","1,207.36","1,232.78","1,255.77"
    Deposit Liabilities,        Peso Liabilities,            Time,114.934,120.778,121.939,122.951
    Deposit Liabilities,        Foreign Currency,        Foreign Currency,641.486,656.309,655.562,698.697
    Bills Payable,    Bills Payable,    Bills Payable,326.008,358.782,337.192,357.256
    Bills Payable,            Deposit Substitutes,            Deposit Substitutes,3.68,3.957,3.441,4.224
    Bills Payable,            Others,            Others,322.328,354.825,333.751,353.032
    Special Financing,    Special Financing,    Special Financing,1.852,1.673,1.598,1.591
    Special Financing,            Time Certificates of Deposits - SF,            Time Certificates of Deposits - SF,0.648,0.489,0.433,0.415
    Special Financing,            Special Time Deposits,            Special Time Deposits,1.204,1.184,1.165,1.176
    Unsecured Subordinated Debt,    Unsecured Subordinated Debt,    Unsecured Subordinated Debt,0,0,0,0
    Other Liabilities,    Other Liabilities,    Other Liabilities,282.918,276.386,295.633,298.967
Capital Accounts,Capital Accounts,Capital Accounts,452.783,453.224,468.854,464.455
    Capital Stock,    Capital Stock,    Capital Stock,215.535,219.886,221.12,215.163
    Assigned Capital,    Assigned Capital,    Assigned Capital,12.786,12.786,12.786,12.786
"    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies",45.882,45.915,47.315,47.178
"    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits",178.58,174.637,187.633,189.328
CONSOLIDATED STATEMENT OF CONDITION,,,,,,
    Philippine Banking System as of end of periods indicated: 2002,,,,,,
    in billion pesos,,,,,,
,,,,,,
"1/ Adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,
2/ Inclusive of Interbank Loans Receivable,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,
"Source: Supervisory Reports and Studies Office, Supervision and Examination Sector",,,,,,
,,,,,,
Updated as of 12 March 2004,,,,,,
