selected_accounts_a,selected_accounts_b,selected_accounts_c,selected_accounts_d,selected_accounts_e,2003_March,2003_June,2003_Sept,2003_Dec,,,
 ASSETS, ASSETS, ASSETS, ASSETS, ASSETS,"3,466.91","3,529.80","3,548.25","3,661.14",,,
 ASSETS, ASSETS, ASSETS, ASSETS,Cash and Due from Banks,295.182,296.731,251.721,285.079,,,
 ASSETS, ASSETS, ASSETS, ASSETS,Loan Portfolio (net) 2/,"1,699.35","1,759.58","1,793.95","1,820.84",,,
 ASSETS, ASSETS, ASSETS, ASSETS,Investments (net),906.801,899.433,937.325,990.506,,,
 ASSETS, ASSETS, ASSETS, ASSETS,Other Assets,565.584,574.059,565.253,564.708,,,
 LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL,"3,466.91","3,529.80","3,548.25","3,661.14",,,
 LIABILITIES AND CAPITAL,Liabilities,Liabilities,Liabilities,Liabilities,"2,998.69","3,053.88","3,066.77","3,181.76",,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,    Deposit Liabilities,    Deposit Liabilities,"2,352.91","2,392.30","2,404.22","2,469.19",,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,        Peso Liabilities,"1,639.99","1,670.86","1,663.69","1,709.94",,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,            Demand and NOW,280.073,289.718,288.483,300.398,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,            Savings,"1,234.34","1,236.34","1,217.81","1,246.35",,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,            Time,125.582,144.797,157.395,163.19,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Foreign Currency,        Foreign Currency,712.922,721.445,740.539,759.246,,,
 LIABILITIES AND CAPITAL,Liabilities,    Bills Payable,    Bills Payable,    Bills Payable,347.949,330.635,321.602,381.017,,,
 LIABILITIES AND CAPITAL,Liabilities,    Bills Payable,            Deposit Substitutes,            Deposit Substitutes,4.756,3.773,5.686,8.227,,,
 LIABILITIES AND CAPITAL,Liabilities,    Bills Payable,            Others,            Others,343.193,326.862,315.917,372.791,,,
 LIABILITIES AND CAPITAL,Liabilities,    Special Financing,    Special Financing,    Special Financing,1.239,1.219,1.178,0.973,,,
 LIABILITIES AND CAPITAL,Liabilities,    Special Financing,            Time Certificates of Deposits - SF,            Time Certificates of Deposits - SF,0.398,0.393,0.387,0.391,,,
 LIABILITIES AND CAPITAL,Liabilities,    Special Financing,            Special Time Deposits,            Special Time Deposits,0.841,0.826,0.791,0.583,,,
 LIABILITIES AND CAPITAL,Liabilities,    Other Liabilities,    Other Liabilities,    Other Liabilities,0,0,29.361,35.136,,,
 LIABILITIES AND CAPITAL,Capital Accounts,Capital Accounts,Capital Accounts,Capital Accounts,296.59,329.721,310.403,295.449,,,
 LIABILITIES AND CAPITAL,Capital Accounts,    Capital Stock,    Capital Stock,    Capital Stock,468.224,475.923,481.483,479.376,,,
 LIABILITIES AND CAPITAL,Capital Accounts,    Assigned Capital,    Assigned Capital,    Assigned Capital,215.94,218.776,216.439,219.234,,,
 LIABILITIES AND CAPITAL,Capital Accounts,"    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies",12.786,12.785,12.785,12.786,,,
 LIABILITIES AND CAPITAL,Capital Accounts,"    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits",47.156,47.285,47.256,47.277,,,
 LIABILITIES AND CAPITAL,Capital Accounts,"    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits",&  Undivided Profits,192.342,197.077,205.003,200.08,,,
,,,,,,,,,,,
,,,,,,,,,,,
CONSOLIDATED STATEMENT OF CONDITION,,,,,,,,,,,
    Philippine Banking System as of end of periods indicated: 2003,,,,,,,,,,,
    in billion pesos,,,,,,,,,,,
,,,,,,,,,,,
   r/ Revised,,,,,,,,,,,
,"1/ Adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,,,,
,2/ Inclusive of Interbank Loans Receivable,,,,,,,,,,
,Note: Details may not add up to totals due to rounding-off,,,,,,,,,,
,"Source: Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,
,,,,,,,,,,,
Updated as of 29 December 2005,,,,,,,,,,,
