Selected Accounts ,Selected Accounts ,Selected Accounts ,Selected Accounts ,2008_March,2008_June,2008_September,2008_December
 Asset Accounts 1/,,,,"5,088.345 ","5,322.995 ","5,378.152 ","5,675.681 "
 Asset Accounts 1/,Cash and Due from Banks,,,762.903 ,790.587 ,810.514 ,834.879 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,,"1,211.316 ","1,232.911 ","1,288.881 ","1,403.678 "
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Held for Trading (HFT),,195.204 ,137.517 ,158.636 ,207.831 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,,17.490 ,13.725 ,15.148 ,12.084 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",,691.937 ,760.771 ,743.790 ,495.674 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS Debt Securities,671.822 ,738.339 ,719.606 ,478.379 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     Unamortized Discount/Premium,14.415 ,16.923 ,18.862 ,11.502 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Debt Securities Net of Amortization,686.237 ,755.261 ,738.468 ,489.880 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Equity Securities,5.700 ,5.510 ,5.322 ,5.794 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,,205.364 ,210.877 ,246.806 ,483.302 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,1.167 ,1.757 ,2.034 ,5.251 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",HTM Financial Assets - Net of Amortization,,206.532 ,212.634 ,248.840 ,488.553 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,,103.721 ,112.170 ,126.569 ,203.240 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,(11.518),(11.614),(12.878),(12.535)
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans -Net of Amortization,,92.204 ,100.555 ,113.691 ,190.704 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Investment in Non-Markeatable Equity Securities (INMES),,7.950 ,7.709 ,8.776 ,8.832 
 Asset Accounts 1/,Accumulated Market Gain (Losses) -Financial Assets,,,5.839 ,(33.654),(23.556),(13.935)
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,,,11.362 ,11.719 ,18.823 ,21.143 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-AFS ,,2.347 ,0.583 ,5.445 ,5.735 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-HTM,,0.938 ,0.932 ,1.162 ,1.222 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,,5.249 ,7.142 ,8.033 ,9.912 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses- INMES,,2.828 ,3.062 ,4.183 ,4.274 
 Asset Accounts 1/,Financial Assets -Net of Allowance for Credit Losses,,,"1,205.793 ","1,187.538 ","1,246.502 ","1,368.601 "
 Asset Accounts 1/,"Equity Investments In Subsidiaries, Assoc. & Joint Vent.",,,113.043 ,110.926 ,111.863 ,103.192 
 Asset Accounts 1/,"Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent",,,0.711 ,0.693 ,0.670 ,0.659 
 Asset Accounts 1/,"Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)",,,112.332 ,110.233 ,111.192 ,102.533 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",,,"2,547.924 ","2,767.353 ","2,752.667 ","2,924.443 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables, gross (net of amortization)",,"2,322.811 ","2,466.714 ","2,549.569 ","2,686.872 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans to Bangko Sentral ng Pilipinas,,4.750 ,6.462 ,8.145 ,2.465 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Interbank Loans Receivable ,,324.387 ,361.472 ,279.871 ,241.688 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables -Others,,"2,008.295 ","2,115.130 ","2,278.333 ","2,459.920 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",,Unamortized Discount and Other Deferred Credits,14.621 ,16.350 ,16.780 ,17.201 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables - Others - Net of Amortization,,"1,993.674 ","2,098.779 ","2,261.553 ","2,442.719 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions",,225.113 ,300.639 ,203.098 ,237.570 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,,,117.199 ,121.501 ,122.178 ,123.124 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Interbank Loans Receivable,,0.005 ,0.080 ,1.228 ,1.696 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans and Receivables -Other,,90.783 ,94.182 ,93.012 ,92.055 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-LRARA,,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,General Loan Loss Provision (GLLP),,26.411 ,27.240 ,27.938 ,29.373 
 Asset Accounts 1/,"Total Loan Portfolio, Net of Allowance for Credit Losses",,,"2,430.725 ","2,645.852 ","2,630.489 ","2,801.319 "
 Asset Accounts 1/,Total ROPA,,,206.328 ,202.874 ,204.112 ,195.330 
 Asset Accounts 1/,Total ROPA,Sales Contract Receivable,,26.054 ,25.470 ,25.294 ,23.347 
