Selected Accounts ,Selected Accounts ,Selected Accounts ,Selected Accounts ,Mar-11,Jun-11,Sep-11,Dec-11
 Asset Accounts 1/, Asset Accounts 1/, Asset Accounts 1/, Asset Accounts 1/,"6,799.455 ","7,020.978 ","7,050.104 ","7,335.624 "
 Asset Accounts 1/,Cash and Due from Banks,,,"1,308.204 ","1,227.188 ","1,300.961 ","1,361.317 "
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,,"1,722.347 ","1,712.629 ","1,692.663 ","1,650.561 "
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Held for Trading (HFT),,179.620 ,196.583 ,193.920 ,154.403 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,,7.610 ,6.618 ,8.699 ,9.553 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",,768.980 ,798.084 ,789.484 ,868.095 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS Debt Securities,740.895 ,766.348 ,754.925 ,824.081 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     Unamortized Discount/Premium,19.800 ,23.297 ,26.623 ,32.859 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Debt Securities Net of Amortization,760.695 ,789.645 ,781.548 ,856.940 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Equity Securities,8.284 ,8.439 ,7.936 ,11.155 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,,554.548 ,506.953 ,501.652 ,444.778 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,10.752 ,5.974 ,3.986 ,4.566 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",HTM Financial Assets - Net of Amortization,,565.301 ,512.927 ,505.638 ,449.344 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,,202.809 ,199.691 ,195.514 ,171.857 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,(26.456),(25.362),(24.659),(23.853)
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans -Net of Amortization,,176.352 ,174.329 ,170.855 ,148.004 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Investment in Non-Markeatable Equity Securities (INMES),,24.485 ,24.089 ,24.068 ,21.163 
 Asset Accounts 1/,Accumulated Market Gain (Losses) -Financial Assets,,,12.582 ,26.752 ,20.867 ,48.254 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,,,26.645 ,25.066 ,25.121 ,24.833 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-AFS ,,6.044 ,4.386 ,3.906 ,3.394 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-HTM,,1.007 ,0.559 ,0.511 ,0.483 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,,15.864 ,16.276 ,16.912 ,17.167 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses- INMES,,3.730 ,3.845 ,3.791 ,3.789 
 Asset Accounts 1/,Financial Assets -Net of Allowance for Credit Losses,,,"1,708.284 ","1,714.314 ","1,688.409 ","1,673.982 "
 Asset Accounts 1/,"Equity Investments In Subsidiaries, Assoc. & Joint Vent.",,,135.880 ,139.963 ,145.091 ,152.977 
 Asset Accounts 1/,"Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent",,,1.388 ,1.382 ,1.382 ,1.412 
 Asset Accounts 1/,"Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)",,,134.492 ,138.580 ,143.709 ,151.565 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",,,"3,255.156 ","3,551.418 ","3,542.581 ","3,761.898 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables, gross (net of amortization)",,"3,023.214 ","3,256.007 ","3,299.428 ","3,466.939 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans to Bangko Sentral ng Pilipinas,,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Interbank Loans Receivable ,,197.884 ,209.392 ,188.527 ,156.350 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables -Others,,"2,850.776 ","3,073.784 ","3,138.386 ","3,338.971 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",,Unamortized Discount and Other Deferred Credits,25.445 ,27.169 ,27.485 ,28.382 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables - Others - Net of Amortization,,"2,825.331 ","3,046.615 ","3,110.901 ","3,310.589 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions",,231.942 ,295.411 ,243.153 ,294.958 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,,,145.545 ,146.629 ,147.589 ,145.453 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Interbank Loans Receivable,,1.569 ,0.551 ,0.576 ,0.617 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans and Receivables -Other,,107.134 ,108.325 ,108.749 ,103.805 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-LRARA,,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,General Loan Loss Provision (GLLP),,36.843 ,37.753 ,38.264 ,41.030 
 Asset Accounts 1/,"Total Loan Portfolio, Net of Allowance for Credit Losses",,,"3,109.611 ","3,404.789 ","3,394.992 ","3,616.445 "
 Asset Accounts 1/,Total ROPA,,,167.723 ,165.598 ,162.199 ,156.654 
