roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
I.,CURRENT OPERATING EXPENDITURES,,,,,,
,,,,,,,
A.,PERSONAL SERVICES,,,,,,
,,,,,,,
,I.  Civilian Personnel,,,,,,
,,,,,,,
,     Permanent Positions,,,,,,
,               Salaries,129097345,124410514,124455056,152225116,,
,               Reclassification of Positions,0,566185,564015,112763,,
,               Creation of New Positions,0,6039036,5839270,6501532,1,
,,,,,,,
,          Total Salaries and other Lump-sums,129097345,131015735,130858341,158839411,1,
,,,,,,,
,          Other Compensation Common to All,,,,,,
,               Personnel Economic Relief Allowance,4876072,5280799,5283595,5367744,,
,               Additional Compensation,14395934,15772793,15771184,16033278,,
,               Representation Allowance,2273758,2462070,2468246,2496788,,
,               Overtime Pay,539687,0,0,0,,
,               Year-end Bonus,15386383,14794212,14796729,17057375,,
,               Clothing and Uniform Allowance,3300645,3526173,3526113,3582897,,
,               Step Increments for Length of Service,0,320059,320670,380575,,
,               Productivity Incentive Benefits,1609114,1763266,1763728,1792248,,
,               Honoraria,1193112,824710,822343,819053,,
,               PEP/PerB/EA/CNA,11772317,0,0,0,1,
,,,,,,,
,          Total Other Compensation Common to All,55347022,44744082,44752608,47529958,1,
,,,,,,,
,          Other Compensation for Specific Groups,,,,,,
,               Lump-sum for Personal Services,455526,995577,948217,602681,,
,               Conversion to Master Teachers,0,7108,7108,79215,,
,               Magna Carta of Public Health Workers,1830201,712254,712254,708522,,
,               Magna Carta for Science and Technology per R.A. 8439,193519,174383,176338,174383,,
,               Subsistence Allowance,215289,590945,592127,49326,,
,               Laundry Allowance,2335,2389,2804,2794,,
,               Quarters Allowance,2329,2615,2615,2607,,
,               Bicycle Allowance,344,464,464,464,,
,               Special Duty Allowance,26874,26741,26741,27936,,
,               Overseas Allowance,3296578,4060810,4066310,4399003,,
,               Allowance of PAO Lawyers and Employees Assigned in Night Courts,576,576,576,576,,
,               RATA of Sectoral/Alternate Sectoral Representatives,1873,1873,1873,1873,,
,               Allowance of Attorney's de Officio,39,5486,5486,5486,,
,               Inquest Allowance,29890,35819,35819,55537,,
,               Medical Benefits,4800,0,0,0,,
,               Lump-sum for Merit Promotion of UPS,0,0,0,40000,,
,               Hardship Allowance,0,189679,189679,189679,,
,               Hazard Pay,284277,73030,73030,72780,,
,               Night Differential Pay,21697,17789,17789,17789,,
,               Private Messenger Fee,598,820,820,670,,
,               Technical Incentive Allowance,17802,15912,15912,24487,,
,               Per Diems for Meetings,3844634,118813,118813,86687,,
,               Longevity Pay,59597,145557,145557,160554,,
,               Lump-sum for Compensation Differential,0,41027936,41027936,30419913,,
,               Lump-sum for NBC 308,2188,4772,4772,6041,,
,               Implementation of Equivalents Record Form,0,5681,5681,136118,,
,               Others,656236,93191,72575,0,,
,               Special Allowance for Judges and Justices,131214,165000,165000,165000,,
,               Special Allowance,159964,121500,121500,137907,,
,               Lumpsum for Upgrading of Positions,0,124747,124747,22311,1,
,,,,,,,
,          Total Other Compensation for Specific Groups,11238380,48721467,48662543,37590339,1,
,,,,,,,
,          Other Benefits,,,,,,
,               Retirement and Life Insurance Premiums,15971847,15207186,15207186,18645494,,
,               Retirement Benefits,6853805,8101713,8101293,8600107,,
,               Terminal Leave Benefits,9148991,13680318,13786495,17772288,,
,               PAG-IBIG Contributions,936286,1061737,1061696,1078984,,
,               Medicare Premiums,1107820,981253,981377,1612205,,
,               Employees Compensation Insurance Premiums,774498,1003969,1003457,1042324,1,
,,,,,,,
,          Total Other Benefits,34793247,40036176,40141504,48751402,1,
,,,,,,,
,"     Total Compensation, Permanent Positions",230475994,264517460,264414996,292711110,1,
,,,,,,,
,     Non-Permanent Positions,,,,,,
,"          Contractual, Casual and Emergency Personnel",3690828,3867533,3875999,3948441,,
,          Substitute Teachers,700593,675912,676416,759889,1,
,,,,,,,
,     Total Compensation Non-Permanent Positions,4391421,4543445,4552415,4708330,1,
,,,,,,,
,"     Total Compensation, Civilian Personnel",234867415,269060905,268967411,297419440,1,
,,,,,,,
,II. Military/Uniformed Personnel,,,,,,
,,,,,,,
,"               Base Pay, Military",20158214,16140344,16140344,17777342,,
,"               Base Pay, Uniformed Personnel",26724847,21668225,21668225,24429578,1,
,,,,,,,
,          Total Basic Pay,46883061,37808569,37808569,42206920,1,
,,,,,,,
,,,,,,,
,          Other Compensation Common to All,,,,,,
,               Personnel Economic Relief Allowance,1645726,1675740,1675740,1699746,,
,               Additional Compensation,4934063,5065020,5065020,5155038,,
,               Year-end Benefits,4443191,4547857,4547857,4939105,,
,               Productivity Incentive Benefits,542739,556780,556780,564782,,
,               Clothing Allowance,861954,898153,898153,923467,,
,               Longevity Pay,684096,10256464,10256464,11255617,,
,               Subsistence Allowance,7462715,7481725,7481725,11350799,,
,               Laundry Allowance,98255,107295,107295,109467,,
,               Hazard Pay,511120,395921,395921,815108,,
,               Quarters Allowance,1369561,1498798,1498798,1523322,1,
,,,,,,,
,          Total Other Compensation Common to All,22553420,32483753,32483753,38336451,1,
,,,,,,,
,          Other Compensation for Specific Groups,,,,,,
,               Lump-sum for Creation of New Positions,0,838318,1038084,1089462,,
,               Other Subsistence Allowances,117119,148220,148220,167330,,
,               Allowances for Personnel Stationed Abroad,20000,20000,20000,20000,,
,               Special Clothing Allowances,1058823,1262805,1262805,1515317,,
,               Specialist's Pay,3543,19888,19888,19888,,
,               Other Hazard Duty Pay,656186,754250,754250,769970,,
,               Combat Incentive Pay,0,0,0,10000,,
,               Incentive Pay,2710,115951,115951,115951,,
,               Sea Duty Pay,96937,123727,123727,126931,,
,               Instructor's Duty Pay,149690,171829,171829,171829,,
,               Reservist's Pay,200063,221265,221265,221265,,
,               Medal of Valor Award,7200,7200,7200,7200,,
,               Reenlistment Pay,83855,14555,14555,14555,,
,               Hospitalization Expenses,1880,56654,56654,56654,,
,               Magna Carta Benefits of Public Health Workers,1399,3157,3157,3937,,
,               Parachutist Pay,154756,154756,154756,154756,,
,               LOI 63 (AFA),0,181485,181485,181485,,
,               Flying Pay,214549,167420,167420,167420,1,
,,,,,,,
,          Total Other Compensation for Specific Groups,2768710,4261480,4461246,4813950,1,
,,,,,,,
,          Other Benefits,,,,,,
,               Terminal Leave,119507,0,0,0,,
,               PAG-IBIG Contributions,327384,335509,335509,340310,,
,               Health Insurance Premiums,318698,314288,314288,319146,,
,               Special Group Term Insurance,10631,20102,20102,20390,,
,               Employees Compensation Insurance Premiums (ECIP),306185,317130,317130,330358,1,
,,,,,,,
,          Total Other Benefits,1082405,987029,987029,1010204,1,
,,,,,,,
,"     Total Compensation, Military/Uniformed Personnel",73287596,75540831,75740597,86367525,1,
,,,,,,,
,,,,,,,
,     Sub-Total Personal Services,308155011,344601736,344708008,383786965,1,
,,,,,,,
,     Other Personal Services,,,,,,
,"          Pensions, Military",26387112,30319597,30319597,34838873,,
,"          Pensions, Uniformed Personnel",6174792,7988367,7882095,9918175,,
,"          Pensions, Civilian",378118,513683,513683,548857,,
,          Other Police Benefits,653118,574722,574722,634722,1,
,,,,,,,
,     Total Other Personal Services,33593140,39396369,39290097,45940627,1,
,,,,,,,
,TOTAL PERSONAL SERVICES,341748151,383998105,383998105,429727592,1,
,,,,,,,
B.,Maintenance and Other Operating Expenses,,,,,,
,,,,,,,
,               002  Travelling Expenses,6076144,6737698,6740940,7660299,,
,               003  Communication Expenses,1991571,2731388,2745080,3527249,,
,               004  Repair and Maintenance,23465563,23932186,23950772,24784633,,
,               006  Transportation and Delivery Expenses,2057183,497927,493077,580932,,
,               007  Supplies and Materials,39637080,36978205,36967620,50848388,,
,               008  Rents,6884653,6503370,6510069,5468264,,
,               009  Interests,267819128,269909914,269910432,302753986,,
,               010  Subsidies and Donations,258500797,271385311,271447868,317484734,,
,               014  Utility Expenses,6442858,7473864,7483391,8458572,,
,               017  Training and Scholarship Expenses,6209303,9782980,9785778,9376396,,
,               018  Extraordinary and Miscellaneous Expenses,722854,648893,652634,691852,,
,               019  Confidential and Intelligence Expenses,2515225,1330829,1360829,1337629,,
,"               021  Taxes, Insurance Premiums and Other Fees",11567767,13462542,13464984,24681381,,
,               029  Professional Services,15964613,14506426,14399283,18024355,,
,               117  Printing and Binding Expenses,1871709,1262470,1259574,1407887,,
,               118  Advertising Expenses,609565,668584,669580,1125873,,
,               119  Representation Expenses,1143332,1078380,1057299,1304555,,
,               121  Storage Expenses,1943,1411,1411,2912,,
,               122  Subscription Expenses,171309,271513,271013,277534,,
,               123  Survey Expenses,448632,869503,864593,1205848,,
,               124  Membership Dues and Contributions to Organizations,1814181,74920,74973,85122,,
,               126  Awards and Indemnities,40446,51156,48420,54412,,
,               127  Rewards and Other Claims,106296,12312,12162,10832,1,
,,,,,,,
,TOTAL MAINTENANCE AND OTHER OPERATING EXPENSES,656062152,670171782,670171782,781153645,1,
,,,,,,,
,TOTAL CURRENT OPERATING EXPENDITURES,997810303,1054169887,1054169887,1210881237,1,
,,,,,,,
II.,CAPITAL OUTLAYS,,,,,,
,,,,,,,
,               031  Investment Outlay,3877724,3042639,3020027,6710949,,
,               032  Loans Outlay,8901413,286154,286154,1116862,,
,               033  Livestock and Crops Outlay,173112,272674,272674,690519,,
,               034  Land and Land Improvements Outlay,12127661,7678366,7582175,5651091,,
