particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"128,999,609","46,883,061","4,280,214","2,188","455,526","9,147,744","119,507","6,279,688","3,844,634","15,960,213","935,613","327,384","1,106,720","318,698","773,810","306,185","539,671","3,464,829","15,371,120","378,118","32,561,904","42,872,219","25,985,879","340,914,534"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"1,219,562",0,"258,329",0,"455,526","407,869",0,"33,210",0,"147,928","6,719",0,"9,013",0,"5,410",0,0,"35,231","132,270",0,0,"196,700",0,"2,907,767"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"298,394",0,"37,861",0,"256,386","15,779",0,"2,440",0,"37,531","1,787",0,"3,766",0,541,0,0,"13,441","35,179",0,0,"46,490",0,"749,595"
               Senate Electoral Tribunal,"20,515",0,226,0,"6,165",698,0,0,0,"2,449",126,0,252,0,119,0,0,"1,595","2,279",0,0,"11,496",0,"45,920"
          Commission on Appointments,"46,855",0,"5,114",0,0,"4,004",0,"1,111",0,"5,563",236,0,563,0,234,0,0,"5,671","4,714",0,0,"15,504",0,"89,569"
          House of Representatives,"830,614",0,"215,128",0,"192,975","386,019",0,"29,659",0,"99,674","4,433",0,"4,155",0,"4,384",0,0,"10,051","87,688",0,0,"109,260",0,"1,974,040"
               House Electoral Tribunal,"23,184",0,0,0,0,"1,369",0,0,0,"2,711",137,0,277,0,132,0,0,"4,473","2,410",0,0,"13,950",0,"48,643"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"764,454",0,"256,630",0,0,"60,959",0,"15,024",0,"94,396","6,890",0,"7,034",0,"5,453",0,0,"37,129","88,922",234,0,"392,010",0,"1,729,135"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"764,454",0,"256,630",0,0,"60,959",0,"15,024",0,"94,396","6,890",0,"7,034",0,"5,453",0,0,"37,129","88,922",234,0,"392,010",0,"1,729,135"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"14,413",0,"4,223",0,0,23,0,0,0,"1,731",90,0,81,0,84,0,0,957,"1,645",0,0,"3,946",0,"27,193"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"2,478,112",0,"124,817",0,0,"110,433",0,"2,369",0,"295,479","18,332",0,"22,557",0,"16,664",0,0,"201,635","279,500",9,0,"697,564",0,"4,247,471"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,259,934",0,"124,817",0,0,"108,426",0,"2,369",0,"270,272","16,594",0,"20,174",0,"16,078",0,0,"189,531","253,117",9,0,"632,645",0,"3,893,966"
          National Commission on Indigenous Peoples,"218,178",0,0,0,0,"2,007",0,0,0,"25,207","1,738",0,"2,383",0,586,0,0,"12,104","26,383",0,0,"64,919",0,"353,505"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"1,632,538",0,"33,919",0,0,"61,353",0,"1,715",0,"198,402","12,759",0,"16,469",0,"10,455",0,43,"33,038","195,268",0,0,"486,762",0,"2,682,721"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
